dataset,variant,attack,metric,mean,sd,ci95_low,ci95_high,attack_seeds
ecg,dp_eps16,calibrated_gaussian_reconstruction_likelihood,evaluation_accuracy,0.4295,0.013285330255586435,0.42219999999999996,0.4377,10
ecg,dp_eps16,calibrated_gaussian_reconstruction_likelihood,evaluation_balanced_accuracy,0.4295,0.013285330255586418,0.42190000000000005,0.43784999999999996,10
ecg,dp_eps16,calibrated_gaussian_reconstruction_likelihood,evaluation_membership_advantage,-0.14100000000000001,0.026570660511172847,-0.15539999999999998,-0.12440000000000002,10
ecg,dp_eps16,calibrated_gaussian_reconstruction_likelihood,evaluation_tpr_at_calibrated_threshold,0.5292,0.049346394667358094,0.5052975,0.5625,10
ecg,dp_eps16,calibrated_gaussian_reconstruction_likelihood,evaluation_fpr_at_calibrated_threshold,0.6702,0.04045793425824462,0.6471,0.6942,10
ecg,dp_eps16,calibrated_gaussian_reconstruction_likelihood,tpr_at_fpr_0.001,0.019899999999999998,0.016251153805191803,0.011,0.0299,10
ecg,dp_eps16,calibrated_gaussian_reconstruction_likelihood,tpr_at_fpr_0.01,0.0722,0.007941452428030193,0.0677,0.07709999999999999,10
ecg,dp_eps16,calibrated_gaussian_reconstruction_likelihood,tpr_at_fpr_0.05,0.0975,0.012094535037684493,0.09069999999999999,0.1048,10
ecg,dp_eps16,multi_draw_mean_objective,evaluation_auc,0.4475461,0.012853245050267364,0.44013413000000007,0.4551144900000001,10
ecg,dp_eps16,multi_draw_mean_objective,evaluation_accuracy,0.4784,0.03483596481288331,0.45659875,0.49820124999999993,10
ecg,dp_eps16,multi_draw_mean_objective,evaluation_balanced_accuracy,0.47840000000000005,0.03483596481288331,0.45620000000000005,0.49835,10
ecg,dp_eps16,multi_draw_mean_objective,evaluation_membership_advantage,-0.043199999999999995,0.06967192962576663,-0.087,-0.008495000000000063,10
ecg,dp_eps16,multi_draw_mean_objective,evaluation_tpr_at_calibrated_threshold,0.7833,0.2060890045047959,0.6539,0.9076025,10
ecg,dp_eps16,multi_draw_mean_objective,evaluation_fpr_at_calibrated_threshold,0.8265,0.13734162596322436,0.7407,0.905,10
ecg,dp_eps16,multi_draw_mean_objective,tpr_at_fpr_0.001,0.0402,0.006124631508189787,0.036699999999999997,0.043899999999999995,10
ecg,dp_eps16,multi_draw_mean_objective,tpr_at_fpr_0.01,0.053200000000000004,0.005808040403899867,0.0499,0.05670000000000001,10
ecg,dp_eps16,multi_draw_mean_objective,tpr_at_fpr_0.05,0.08439999999999999,0.007214183560490019,0.0802,0.08869999999999999,10
ecg,dp_eps16,multi_draw_reconstruction,evaluation_auc,0.3843822,0.015091272710116621,0.37626598125000005,0.39401489999999995,10
ecg,dp_eps16,multi_draw_reconstruction,evaluation_accuracy,0.42164999999999997,0.011372603532661778,0.4154,0.42855125,10
ecg,dp_eps16,multi_draw_reconstruction,evaluation_balanced_accuracy,0.42164999999999997,0.01137260353266177,0.41500000000000004,0.4284,10
ecg,dp_eps16,multi_draw_reconstruction,evaluation_membership_advantage,-0.1567,0.022745207065323562,-0.17000250000000006,-0.14379750000000005,10
