dataset,variant,attack_seed,exact_match_rate,near_duplicate_rate_0_001,near_duplicate_rate_0_01,dcr_mean,dcr_median,dcr_p01,dcr_p05,nndr_mean,nndr_median,train_to_holdout_dcr_ratio_median
ecg,countergan,101,0.0,0.0,0.0,0.07817543866815972,0.07793050059033312,0.04602349838581552,0.05109950689840819,0.9467968019231675,0.9672464113889321,0.5793515683250179
ecg,dp_eps16,101,0.0,0.0,0.0,0.07664154022139258,0.07543526171640695,0.04392558682917999,0.05006985430116054,0.9578886562924321,0.9741430991323194,0.4811730415298492
ecg,dp_eps8,101,0.0,0.0,0.0,0.07737043033046989,0.07728987009811979,0.0368035170594576,0.045627647144940116,0.9561613066755912,0.9709139815801648,0.4578809476257385
ecg,dp_eps4,101,0.0,0.0,0.0,0.08383364043410296,0.08151521380673518,0.04806244558770402,0.055086417951151,0.9519056314135386,0.9654838460398099,0.48745485218817725
ecg,dp_eps2,101,0.0,0.0,0.0,0.08374436117164016,0.08304811083394861,0.04867163375303243,0.05534577590611,0.9544130858868874,0.972031559976301,0.5186952330086214
ecg,countergan,202,0.0,0.0,0.0,0.07762567349084736,0.07625568697919766,0.0440217909258828,0.05071735021470516,0.9462799199578225,0.9629175020025424,0.5714086693167729
ecg,dp_eps16,202,0.0,0.0,0.0,0.07764097875393285,0.0767522950628966,0.04265616291136317,0.050088421709783656,0.9571978486083651,0.9739087708807026,0.4939875371065319
ecg,dp_eps8,202,0.0,0.0,0.0,0.07753968737152693,0.0771282380646517,0.03992506155380742,0.045628760033253175,0.9568517958502685,0.9710628939986836,0.4509131942782679
ecg,dp_eps4,202,0.0,0.0,0.0,0.0839430881649593,0.08186610682544357,0.046523253710999794,0.05588796959443244,0.9561443470087472,0.9697450177869168,0.5010155283242025
ecg,dp_eps2,202,0.0,0.0,0.0,0.08432743542269856,0.08391346479737805,0.04705380428848696,0.05441286912227754,0.9555175076182224,0.9738417577466272,0.5145686723543066
ecg,countergan,303,0.0,0.0,0.0,0.07870827556139803,0.0778587459501481,0.04454984580134791,0.05061578482853418,0.9469023249670021,0.9641821004480823,0.5723772529120534
ecg,dp_eps16,303,0.0,0.0,0.0,0.07743368008491043,0.07583287605225833,0.04315666820331841,0.05006876656945455,0.9600697665016016,0.975121896515948,0.47344257271757734
ecg,dp_eps8,303,0.0,0.0,0.0,0.07749081649727926,0.0765562101397367,0.03761578531739369,0.046298971529987826,0.9591395057447676,0.97402567026767,0.4375177626059095
ecg,dp_eps4,303,0.0,0.0,0.0,0.0850623461542575,0.08263907773088508,0.048431821981971886,0.05604182973571426,0.9535806707821252,0.9686669987468581,0.4858485946100308
ecg,dp_eps2,303,0.0,0.0,0.0,0.08518830063441729,0.08350695401902405,0.04677999084730154,0.0550425220042028,0.9547661624491262,0.9717007074931644,0.515671094886772
ecg,countergan,404,0.0,0.0,0.0,0.07843635777551389,0.07723468883059695,0.045240688281526185,0.05101878301150007,0.9457116621539943,0.9646398015883643,0.5660489919945082
ecg,dp_eps16,404,0.0,0.0,0.0,0.07678436270639742,0.07432578870430531,0.044161579294166135,0.05082651822741479,0.9577831555108968,0.9755345836331171,0.4723520682121316
ecg,dp_eps8,404,0.0,0.0,0.0,0.07696691555741067,0.07573206636389994,0.03810587154237799,0.0441032022379043,0.9541623734653695,0.9695160574175035,0.44600706343535035
ecg,dp_eps4,404,0.0,0.0,0.0,0.08394692461417852,0.08195307204990743,0.047449744193907316,0.05642716098331033,0.9538828917100248,0.9684951836208249,0.5076801085229712
ecg,dp_eps2,404,0.0,0.0,0.0,0.08448602961093608,0.08322675939620358,0.046890505688110054,0.05585697049031221,0.9572791659239976,0.9734034068706809,0.5152008653383569
ecg,countergan,505,0.0,0.0,0.0,0.07847162420655455,0.07753769099983335,0.043928782551278966,0.050709301766441076,0.9411508587545611,0.9648632705747486,0.5685438521651269
ecg,dp_eps16,505,0.0,0.0,0.0,0.07797155488359794,0.07731586303743176,0.04408384341241855,0.04968892612620308,0.957749466748747,0.9747232863757398,0.4847887421262012
ecg,dp_eps8,505,0.0,0.0,0.0,0.07828043883083692,0.07730165538543507,0.03836621486997418,0.045448713696605025,0.9535612513041953,0.9707685773443098,0.4472122199649169
ecg,dp_eps4,505,0.0,0.0,0.0,0.08517174524123214,0.08240114287595252,0.046071465504788967,0.0573147150693848,0.9532646989885949,0.9709739655302296,0.5036640352532529
