method,candidate_budget,direction,n_query_seed_runs,mean_valid_cfe_yield_at_k,mean_full_k_success,mean_robust_yield_at_k,mean_rounds_to_k10_or_cap,median_rounds_to_k10_or_cap,mean_candidates_to_k10_or_cap,mean_time_to_k10_or_cap_seconds
proposed_dp_eps2_sparse_diverse,128,no_disease_to_disease,100,0.214,0.07,0.20900000000000002,1.0,1.0,128.0,0.016875259980024565
proposed_dp_eps2_sparse_diverse,256,disease_to_no_disease,100,0.8240000000000001,0.77,0.807,1.6,2.0,204.8,0.03887910114996885
proposed_dp_eps2_sparse_diverse,256,no_disease_to_disease,100,0.384,0.25,0.374,1.93,2.0,247.04,0.03457608809002522
proposed_dp_eps2_sparse_diverse,512,disease_to_no_disease,100,0.879,0.85,0.848,2.03,2.0,259.84,0.04752275286995428
proposed_dp_eps2_sparse_diverse,512,no_disease_to_disease,100,0.545,0.42,0.524,3.33,4.0,426.24,0.06102274707005563
proposed_dp_eps2_sparse_diverse,1024,disease_to_no_disease,100,0.904,0.88,0.8759999999999999,2.58,2.0,330.24,0.0570918041099776
proposed_dp_eps2_sparse_diverse,1024,no_disease_to_disease,100,0.606,0.53,0.579,5.44,7.0,696.32,0.09473274081999988
proposed_dp_eps4_sparse_diverse,128,disease_to_no_disease,100,0.578,0.33,0.5710000000000001,1.0,1.0,128.0,0.02043723694999244
proposed_dp_eps4_sparse_diverse,128,no_disease_to_disease,100,0.147,0.04,0.141,1.0,1.0,128.0,0.01585592161997738
proposed_dp_eps4_sparse_diverse,256,disease_to_no_disease,100,0.84,0.76,0.8220000000000001,1.66,2.0,212.48,0.03798618970001371
proposed_dp_eps4_sparse_diverse,256,no_disease_to_disease,100,0.261,0.15,0.25,1.95,2.0,249.6,0.032582743879975166
proposed_dp_eps4_sparse_diverse,512,disease_to_no_disease,100,0.8690000000000001,0.84,0.8370000000000001,2.08,2.0,266.24,0.04578201676999925
proposed_dp_eps4_sparse_diverse,512,no_disease_to_disease,100,0.41100000000000003,0.34,0.397,3.51,4.0,449.28,0.0589082907899774
proposed_dp_eps4_sparse_diverse,1024,disease_to_no_disease,100,0.907,0.88,0.872,2.65,2.0,339.2,0.058874344350015234
proposed_dp_eps4_sparse_diverse,1024,no_disease_to_disease,100,0.546,0.47,0.517,5.8,8.0,742.4,0.09496687817000747
proposed_dp_eps8_sparse_diverse,128,disease_to_no_disease,100,0.584,0.3,0.579,1.0,1.0,128.0,0.019472029360040322
