profile,group_off,feature_off,base_fraction,proximity_weight,sparsity_weight,diversity_weight,query_number,returned,reference_valid_returned,returned_validity,conditional_returned_validity,valid_cfe_yield_at_k,completeness_at_k,coverage_at_1,full_k_success,proximity,sparsity,diversity,plausibility,plausibility_distance,plausibility_inlier_rate,target_data_support,local_surrogate_fidelity,fidelity,fidelity_oracle_evaluations,constraint_validity,mean_target_logit_margin,minimum_target_logit_margin,robust_validity,robust_cfe_fraction_95,robust_completeness_at_k,robust_full_k_success,changed_set_dice,runtime_seconds,generation_time_to_k_or_cap_seconds,time_to_full_k_seconds,time_per_returned_cfe_seconds,candidate_evaluations,candidate_throughput_per_second,rounds_used,k1_achieved,rounds_to_k1,rounds_to_k1_or_cap,candidates_to_k1,candidates_to_k1_or_cap,time_to_k1_seconds,time_to_k1_or_cap_seconds,k3_achieved,rounds_to_k3,rounds_to_k3_or_cap,candidates_to_k3,candidates_to_k3_or_cap,time_to_k3_seconds,time_to_k3_or_cap_seconds,k5_achieved,rounds_to_k5,rounds_to_k5_or_cap,candidates_to_k5,candidates_to_k5_or_cap,time_to_k5_seconds,time_to_k5_or_cap_seconds,k10_achieved,rounds_to_k10,rounds_to_k10_or_cap,candidates_to_k10,candidates_to_k10_or_cap,time_to_k10_seconds,time_to_k10_or_cap_seconds,group_sparsity,worst_direction_yield,best_direction_yield,worst_direction_coverage,worst_direction_robustness,direction_yield_gap
balanced,0.06,0.03,0.5,0.15,0.45,4.0,3.5,9.25,9.25,1.0,1.0,0.925,0.925,1.0,0.875,0.07691936986520886,0.7034722222222223,0.062120465212501585,0.35463442779194115,0.35463442779194115,0.7375,0.5925,0.8891317016317016,0.8891317016317016,79.0,1.0,0.3233981393277645,0.11420408636331558,0.9916666666666667,0.9875,0.9125,0.75,0.988829365079365,0.2700662378748575,0.2700662378748575,0.28955007842835456,0.02951311167499284,1024.0,4331.923818919566,8.0,1.0,2.25,2.25,288.0,288.0,0.040386005874779585,0.040386005874779585,1.0,2.5,2.5,320.0,320.0,0.044818169374707395,0.044818169374707395,0.875,2.142857142857143,2.875,274.2857142857143,368.0,0.040642413142580026,0.05226678362475923,0.875,2.857142857142857,3.5,365.7142857142857,448.0,0.06253564971406636,0.07142336562480978,0.7034722222222223,0.85,1.0,1.0,0.85,0.15000000000000002
diverse,0.06,0.03,0.65,0.1,0.55,7.0,3.5,8.375,8.375,1.0,1.0,0.8375,0.8375,1.0,0.75,0.08972854120656848,0.6611111111111112,0.0635420463513583,0.36839870202700103,0.36839870202700103,0.6375,0.55,0.9213610463610464,0.9213610463610464,77.125,1.0,0.3635489344596863,0.11763722822070122,1.0,1.0,0.8375,0.75,0.9879365079365079,0.21786530337510612,0.21786530337510612,0.25024357983344697,0.0290846398125268,1024.0,5277.720809848725,8.0,1.0,2.625,2.625,336.0,336.0,0.04232624837493404,0.04232624837493404,0.875,2.142857142857143,2.875,274.2857142857143,368.0,0.03696212442849044,0.04660347574997559,0.875,2.2857142857142856,3.0,292.57142857142856,384.0,0.03975441428558822,0.04904672937493615,0.75,1.8333333333333333,3.375,234.66666666666666,432.0,0.040173377333303506,0.060300902374933685,0.6611111111111112,0.675,1.0,1.0,0.675,0.32499999999999996
sparse,0.08,0.04,0.5,0.1,0.72,3.0,3.5,8.25,8.25,1.0,1.0,0.825,0.825,1.0,0.75,0.07339758006855845,0.726388888888889,0.06012607098091394,0.34442994593237036,0.34442994593237036,0.675,0.5725,0.894376456876457,0.894376456876457,77.0,1.0,0.3202574644237757,0.11555361934006214,1.0,1.0,0.825,0.75,0.9876984126984127,0.25045731112493286,0.25045731112493286,0.2926825894999941,0.03340560927497336,1024.0,4799.4449113841165,8.0,1.0,2.25,2.25,288.0,288.0,0.0368339577498773,0.0368339577498773,0.875,1.8571428571428572,2.625,237.71428571428572,336.0,0.03201298328557251,0.04287901299983332,0.75,1.3333333333333333,3.0,170.66666666666666,384.0,0.02591309383327219,0.05037162887481372,0.75,1.8333333333333333,3.375,234.66666666666666,432.0,0.04094860333331477,0.06164826099984566,0.726388888888889,0.65,1.0,1.0,0.65,0.35
sparse_diverse,0.07,0.035,0.55,0.1,0.66,6.0,3.5,8.375,8.375,1.0,1.0,0.8375,0.8375,1.0,0.75,0.07981925643980503,0.7090277777777778,0.06547409784980118,0.3560305045382199,0.3560305045382199,0.56875,0.5800000000000001,0.8962865837865838,0.8962865837865838,77.25,1.0,0.32257447578012943,0.11818714160472155,1.0,1.0,0.8375,0.75,0.9881415343915343,0.24042283562471312,0.24042283562471312,0.2811321881663389,0.029661571622883305,1024.0,4978.68187760816,8.0,1.0,2.375,2.375,304.0,304.0,0.03848158587481976,0.03848158587481976,1.0,2.875,2.875,368.0,368.0,0.04670918612475816,0.04670918612475816,0.75,1.3333333333333333,3.0,170.66666666666666,384.0,0.025852830166362157,0.04895547199976136,0.75,2.1666666666666665,3.625,277.3333333333333,464.0,0.04789423399961379,0.06548652487470008,0.7090277777777778,0.675,1.0,1.0,0.675,0.32499999999999996
utility_balanced,0.04,0.02,0.75,0.15,0.35,2.0,3.5,8.75,8.75,1.0,1.0,0.875,0.875,0.875,0.875,0.07543665569807802,0.7428571428571429,0.06621116027235985,0.34925510152315514,0.34925510152315514,0.6857142857142857,0.6,0.9220779220779222,0.9220779220779222,70.875,1.0,0.38929456898144316,0.13220830687454768,1.0,1.0,0.875,0.875,0.9859486016628873,0.1890577502499582,0.1890577502499582,0.19980561914287268,0.019980561914287265,1024.0,5743.990481639707,8.0,0.875,1.7142857142857142,2.5,219.42857142857142,320.0,0.02976025471421703,0.04026159474983615,0.875,1.7142857142857142,2.5,219.42857142857142,320.0,0.02976025471421703,0.04026159474983615,0.875,1.8571428571428572,2.625,237.71428571428572,336.0,0.032189374571446806,0.0423870746249122,0.875,2.4285714285714284,3.125,310.85714285714283,400.0,0.04669474928570188,0.05507927749988539,0.7428571428571429,0.75,1.0,0.75,0.75,0.25
