direction,difficulty_stratum,n_factuals,probability_min,probability_mean,probability_max,absolute_logit_mean
disease_to_no_disease,high_confidence,33,0.7147635817527771,0.7849155519947861,0.9750118255615234,1.3738395951010964
disease_to_no_disease,medium_confidence,33,0.6145608425140381,0.6630579829216003,0.7116013765335083,0.6788831895047968
disease_to_no_disease,near_boundary,34,0.5030644536018372,0.5588539628421559,0.6028718948364258,0.23729406031506026
no_disease_to_disease,high_confidence,33,0.0019742553122341633,0.0165764838880436,0.03879205137491226,4.331750638557203
no_disease_to_disease,medium_confidence,33,0.03987588360905647,0.089255690574646,0.16163179278373718,2.3996271364616626
no_disease_to_disease,near_boundary,34,0.16766075789928436,0.30857958469320745,0.49647167325019836,0.8559809618848649
