query_id,query_group_id,local_test_index,method,method_label,method_seed,run_seed,robustness_seed,generator_training_seed,search_plausibility_source,candidate_budget,direction,difficulty_stratum,query_class,desired_class,query_probability,absolute_query_logit,returned,reference_valid_returned,returned_validity,conditional_returned_validity,valid_cfe_yield_at_k,completeness_at_k,coverage_at_1,full_k_success,proximity,sparsity,diversity,plausibility,plausibility_distance,plausibility_inlier_rate,target_data_support,local_surrogate_fidelity,fidelity,fidelity_oracle_evaluations,constraint_validity,mean_target_logit_margin,minimum_target_logit_margin,robust_validity,robust_cfe_fraction_95,robust_completeness_at_k,robust_full_k_success,changed_set_dice,runtime_seconds,generation_time_to_k_or_cap_seconds,time_to_full_k_seconds,time_per_returned_cfe_seconds,candidate_evaluations,candidate_throughput_per_second,rounds_used,k1_achieved,rounds_to_k1,rounds_to_k1_or_cap,candidates_to_k1,candidates_to_k1_or_cap,time_to_k1_seconds,time_to_k1_or_cap_seconds,k3_achieved,rounds_to_k3,rounds_to_k3_or_cap,candidates_to_k3,candidates_to_k3_or_cap,time_to_k3_seconds,time_to_k3_or_cap_seconds,k5_achieved,rounds_to_k5,rounds_to_k5_or_cap,candidates_to_k5,candidates_to_k5_or_cap,time_to_k5_seconds,time_to_k5_or_cap_seconds,k10_achieved,rounds_to_k10,rounds_to_k10_or_cap,candidates_to_k10,candidates_to_k10_or_cap,time_to_k10_seconds,time_to_k10_or_cap_seconds,group_sparsity
0,2,3889,uniform_random,Uniform constrained random,11,5125795,12125795,,none_generator_only,512,disease_to_no_disease,near_boundary,1,0,0.9897541403770447,4.570582866668701,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.07994382083415985,0.2,0.10774246603250504,0.6265944963749978,0.6265944963749978,0.0,0.04,0.7878787878787878,0.7878787878787878,81,1.0,8.310871124267578,2.1027278900146484,1.0,1.0,1.0,1.0,0.9619079073271927,0.37950521299899265,0.37950521299899265,0.37950521299899265,0.037950521299899266,512,1349.125077766347,8,1.0,1.0,1.0,64.0,64.0,0.0467345099987142,0.0467345099987142,1.0,1.0,1.0,64.0,64.0,0.0467345099987142,0.0467345099987142,1.0,1.0,1.0,64.0,64.0,0.0467345099987142,0.0467345099987142,1.0,1.0,1.0,64.0,64.0,0.0467345099987142,0.0467345099987142,0.2
0,2,3889,genetic_cfe,Budget-matched genetic CFE,11,5125795,12125795,,none_generator_only,512,disease_to_no_disease,near_boundary,1,0,0.9897541403770447,4.570582866668701,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.05751172453165054,0.4666666666666667,0.07573326677083969,0.6462406488315023,0.6462406488315023,0.0,0.0,0.7575757575757576,0.7575757575757576,81,1.0,6.267776012420654,0.8848528861999512,0.9875,0.9,0.9,0.0,0.9302693242542144,0.4316299849997449,0.4316299849997449,0.4316299849997449,0.04316299849997449,512,1186.2011857223092,8,1.0,1.0,1.0,64.0,64.0,0.046556452000004356,0.046556452000004356,1.0,1.0,1.0,64.0,64.0,0.046556452000004356,0.046556452000004356,1.0,1.0,1.0,64.0,64.0,0.046556452000004356,0.046556452000004356,1.0,1.0,1.0,64.0,64.0,0.046556452000004356,0.046556452000004356,0.4666666666666667
0,2,3889,dice_gradient_style,Custom DiCE-style gradient,11,5125795,12125795,,none_generator_only,512,disease_to_no_disease,near_boundary,1,0,0.9897541403770447,4.570582866668701,1,1,1.0,1.0,0.1,0.1,1.0,0.0,0.0547584593296051,0.0,0.0,0.5038230225989409,0.5038230225989409,0.0,0.0,0.9230769230769231,0.9230769230769231,65,1.0,11.276481628417969,11.276481628417969,1.0,1.0,0.1,0.0,0.9892857142857143,0.11423509900123463,0.11423509900123463,,0.11423509900123463,512,4481.984998275061,1,1.0,1.0,1.0,512.0,512.0,0.11423509900123463,0.11423509900123463,0.0,,1.0,,512.0,,0.11423509900123463,0.0,,1.0,,512.0,,0.11423509900123463,0.0,,1.0,,512.0,,0.11423509900123463,0.0
0,2,3889,wachter_style,Custom Wachter-style gradient,11,5125795,12125795,,none_generator_only,512,disease_to_no_disease,near_boundary,1,0,0.9897541403770447,4.570582866668701,1,1,1.0,1.0,0.1,0.1,1.0,0.0,0.05559324100613594,0.0,0.0,0.5005582694373455,0.5005582694373455,0.0,0.0,0.9230769230769231,0.9230769230769231,65,1.0,11.284544944763184,11.284544944763184,1.0,1.0,0.1,0.0,0.9892857142857143,0.11130834199866513,0.11130834199866513,,0.11130834199866513,512,4599.834934259826,1,1.0,1.0,1.0,512.0,512.0,0.11130834199866513,0.11130834199866513,0.0,,1.0,,512.0,,0.11130834199866513,0.0,,1.0,,512.0,,0.11130834199866513,0.0,,1.0,,512.0,,0.11130834199866513,0.0
1,2,6618,uniform_random,Uniform constrained random,11,6125798,13125798,,none_generator_only,512,disease_to_no_disease,near_boundary,1,0,0.6559956073760986,0.6454996466636658,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.06745239347219467,0.32777777777777783,0.0974046140909195,0.4690194048891073,0.4690194048891073,0.1,0.16,0.7575757575757576,0.7575757575757576,81,1.0,5.6785783767700195,0.5547285079956055,0.9875,0.9,0.9,0.0,0.9433965050115504,0.4065043910013628,0.4065043910013628,0.4065043910013628,0.040650439100136285,512,1259.51899003788,8,1.0,1.0,1.0,64.0,64.0,0.04684357600126532,0.04684357600126532,1.0,1.0,1.0,64.0,64.0,0.04684357600126532,0.04684357600126532,1.0,1.0,1.0,64.0,64.0,0.04684357600126532,0.04684357600126532,1.0,1.0,1.0,64.0,64.0,0.04684357600126532,0.04684357600126532,0.32777777777777783
1,2,6618,genetic_cfe,Budget-matched genetic CFE,11,6125798,13125798,,none_generator_only,512,disease_to_no_disease,near_boundary,1,0,0.6559956073760986,0.6454996466636658,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.050644636154174805,0.5444444444444445,0.07323846220970154,0.42612710487059735,0.42612710487059735,0.0,0.14,0.696969696969697,0.696969696969697,81,1.0,5.109193325042725,2.0789055824279785,1.0,1.0,1.0,1.0,0.9019199990615643,0.43438881000110996,0.43438881000110996,0.43438881000110996,0.04343888100011099,512,1178.6675628193364,8,1.0,1.0,1.0,64.0,64.0,0.04602148300000408,0.04602148300000408,1.0,1.0,1.0,64.0,64.0,0.04602148300000408,0.04602148300000408,1.0,1.0,1.0,64.0,64.0,0.04602148300000408,0.04602148300000408,1.0,1.0,1.0,64.0,64.0,0.04602148300000408,0.04602148300000408,0.5444444444444445
1,2,6618,dice_gradient_style,Custom DiCE-style gradient,11,6125798,13125798,,none_generator_only,512,disease_to_no_disease,near_boundary,1,0,0.6559956073760986,0.6454996466636658,1,1,1.0,1.0,0.1,0.1,1.0,0.0,0.0375232994556427,0.2222222222222222,0.0,0.29098728306612737,0.29098728306612737,0.0,0.2,0.9230769230769231,0.9230769230769231,65,1.0,10.763879776000977,10.763879776000977,1.0,1.0,0.1,0.0,0.9913793103448276,0.1281579079986841,0.1281579079986841,,0.1281579079986841,512,3995.0714551712026,1,1.0,1.0,1.0,512.0,512.0,0.1281579079986841,0.1281579079986841,0.0,,1.0,,512.0,,0.1281579079986841,0.0,,1.0,,512.0,,0.1281579079986841,0.0,,1.0,,512.0,,0.1281579079986841,0.2222222222222222
1,2,6618,wachter_style,Custom Wachter-style gradient,11,6125798,13125798,,none_generator_only,512,disease_to_no_disease,near_boundary,1,0,0.6559956073760986,0.6454996466636658,1,1,1.0,1.0,0.1,0.1,1.0,0.0,0.03744270280003548,0.2222222222222222,0.0,0.28662897252810754,0.28662897252810754,0.0,0.2,0.9230769230769231,0.9230769230769231,65,1.0,10.63283634185791,10.63283634185791,1.0,1.0,0.1,0.0,1.0,0.11215969800105086,0.11215969800105086,,0.11215969800105086,512,4564.919566698574,1,1.0,1.0,1.0,512.0,512.0,0.11215969800105086,0.11215969800105086,0.0,,1.0,,512.0,,0.11215969800105086,0.0,,1.0,,512.0,,0.11215969800105086,0.0,,1.0,,512.0,,0.11215969800105086,0.2222222222222222
2,2,7840,uniform_random,Uniform constrained random,11,7125801,14125801,,none_generator_only,512,disease_to_no_disease,near_boundary,1,0,0.9382082223892212,2.7202017307281494,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.07169611752033234,0.22222222222222218,0.09071651101112366,0.49626705420268014,0.49626705420268014,0.0,0.0,0.8181818181818182,0.8181818181818182,81,1.0,4.991405963897705,0.45020341873168945,0.9625,0.9,0.9,0.0,0.9446406389852037,0.3908315179996862,0.3908315179996862,0.3908315179996862,0.039083151799968616,512,1310.027406746687,8,1.0,1.0,1.0,64.0,64.0,0.046593906999987666,0.046593906999987666,1.0,1.0,1.0,64.0,64.0,0.046593906999987666,0.046593906999987666,1.0,1.0,1.0,64.0,64.0,0.046593906999987666,0.046593906999987666,1.0,1.0,1.0,64.0,64.0,0.046593906999987666,0.046593906999987666,0.22222222222222218
2,2,7840,genetic_cfe,Budget-matched genetic CFE,11,7125801,14125801,,none_generator_only,512,disease_to_no_disease,near_boundary,1,0,0.9382082223892212,2.7202017307281494,10,10,1.0,1.0,1.0,1.0,1.0,1.0,0.06219637393951416,0.4666666666666666,0.07683709263801575,0.4884277772288028,0.4884277772288028,0.1,0.0,0.7575757575757576,0.7575757575757576,81,1.0,7.232455253601074,0.6777148246765137,0.9875,0.9,0.9,0.0,0.8980319494672033,0.4581255899993266,0.4581255899993266,0.4581255899993266,0.04581255899993266,512,1117.5974692894858,8,1.0,1.0,1.0,64.0,64.0,0.04609187700043549,0.04609187700043549,1.0,1.0,1.0,64.0,64.0,0.04609187700043549,0.04609187700043549,1.0,1.0,1.0,64.0,64.0,0.04609187700043549,0.04609187700043549,1.0,1.0,1.0,64.0,64.0,0.04609187700043549,0.04609187700043549,0.4666666666666666
