round,candidates,candidates_cumulative,feasible_candidates,margin_valid_candidates,archive_size,round_elapsed_seconds,cumulative_elapsed_seconds,proposal_adapts_to_oracle,acceptance_denominator_kind,query_id,method,method_seed,run_seed,robustness_seed,generator_training_seed,candidate_budget,direction,optimization_steps,gradient_restarts,final_unique_candidate_pool,backward_steps
3,64,192,64,26,74,0.05093431400018744,0.1448904799999582,False,all independently sampled candidates,2,uniform_random,11,7125801,14125801,,512,disease_to_no_disease,,,,
4,64,256,64,25,99,0.047218054000040866,0.19210853399999905,False,all independently sampled candidates,2,uniform_random,11,7125801,14125801,,512,disease_to_no_disease,,,,
5,64,320,64,25,124,0.04623925200030499,0.23834778600030404,False,all independently sampled candidates,2,uniform_random,11,7125801,14125801,,512,disease_to_no_disease,,,,
6,64,384,64,30,154,0.049297707999357954,0.287645493999662,False,all independently sampled candidates,2,uniform_random,11,7125801,14125801,,512,disease_to_no_disease,,,,
7,64,448,64,28,182,0.050895696000225144,0.33854118999988714,False,all independently sampled candidates,2,uniform_random,11,7125801,14125801,,512,disease_to_no_disease,,,,
8,64,512,64,29,211,0.049703970000336994,0.38824516000022413,False,all independently sampled candidates,2,uniform_random,11,7125801,14125801,,512,disease_to_no_disease,,,,
1,64,64,64,25,25,0.04609187700043549,0.04609187700043549,True,all genetic population candidates,2,genetic_cfe,11,7125801,14125801,,512,disease_to_no_disease,,,,
2,64,128,64,49,72,0.0478207129999646,0.09391259000040009,True,all genetic population candidates,2,genetic_cfe,11,7125801,14125801,,512,disease_to_no_disease,,,,
3,64,192,64,59,130,0.05303737699978228,0.14694996700018237,True,all genetic population candidates,2,genetic_cfe,11,7125801,14125801,,512,disease_to_no_disease,,,,
4,64,256,64,56,183,0.05531896700085781,0.20226893400104018,True,all genetic population candidates,2,genetic_cfe,11,7125801,14125801,,512,disease_to_no_disease,,,,
5,64,320,64,55,236,0.06581845199980307,0.26808738600084325,True,all genetic population candidates,2,genetic_cfe,11,7125801,14125801,,512,disease_to_no_disease,,,,
6,64,384,64,58,292,0.06277351799872122,0.33086090399956447,True,all genetic population candidates,2,genetic_cfe,11,7125801,14125801,,512,disease_to_no_disease,,,,
7,64,448,64,56,347,0.0619537290003791,0.39281463299994357,True,all genetic population candidates,2,genetic_cfe,11,7125801,14125801,,512,disease_to_no_disease,,,,
8,64,512,64,54,395,0.06198481899991748,0.45479945199986105,True,all genetic population candidates,2,genetic_cfe,11,7125801,14125801,,512,disease_to_no_disease,,,,
1,512,512,16,16,2,0.11979555600009917,0.11979555600009917,True,final restart pool only,2,dice_gradient_style,11,7125801,14125801,,512,disease_to_no_disease,31.0,16.0,16.0,31.0
1,512,512,16,16,1,0.10987277999993239,0.10987277999993239,True,final restart pool only,2,wachter_style,11,7125801,14125801,,512,disease_to_no_disease,31.0,16.0,16.0,31.0
1,64,64,64,31,31,0.0449470690000453,0.0449470690000453,False,all independently sampled candidates,3,uniform_random,11,8125804,15125804,,512,disease_to_no_disease,,,,
2,64,128,64,29,60,0.045677144998990116,0.09062421399903542,False,all independently sampled candidates,3,uniform_random,11,8125804,15125804,,512,disease_to_no_disease,,,,
3,64,192,64,21,81,0.043068554001365555,0.13369276800040097,False,all independently sampled candidates,3,uniform_random,11,8125804,15125804,,512,disease_to_no_disease,,,,
4,64,256,64,34,115,0.04858602299827908,0.18227879099868005,False,all independently sampled candidates,3,uniform_random,11,8125804,15125804,,512,disease_to_no_disease,,,,
5,64,320,64,32,147,0.04725109200080624,0.2295298829994863,False,all independently sampled candidates,3,uniform_random,11,8125804,15125804,,512,disease_to_no_disease,,,,
6,64,384,64,33,180,0.04881057500097086,0.27834045800045715,False,all independently sampled candidates,3,uniform_random,11,8125804,15125804,,512,disease_to_no_disease,,,,
7,64,448,64,38,218,0.052146834999803104,0.33048729300026025,False,all independently sampled candidates,3,uniform_random,11,8125804,15125804,,512,disease_to_no_disease,,,,
8,64,512,64,34,252,0.051416425998468185,0.38190371899872844,False,all independently sampled candidates,3,uniform_random,11,8125804,15125804,,512,disease_to_no_disease,,,,
1,64,64,64,31,31,0.0460921359990607,0.0460921359990607,True,all genetic population candidates,3,genetic_cfe,11,8125804,15125804,,512,disease_to_no_disease,,,,
2,64,128,64,49,76,0.049997996000456624,0.09609013199951733,True,all genetic population candidates,3,genetic_cfe,11,8125804,15125804,,512,disease_to_no_disease,,,,
3,64,192,64,55,127,0.05120660600005067,0.147296737999568,True,all genetic population candidates,3,genetic_cfe,11,8125804,15125804,,512,disease_to_no_disease,,,,
4,64,256,64,58,182,0.052393006000784226,0.19968974400035222,True,all genetic population candidates,3,genetic_cfe,11,8125804,15125804,,512,disease_to_no_disease,,,,
5,64,320,64,64,244,0.0577429619988834,0.2574327059992356,True,all genetic population candidates,3,genetic_cfe,11,8125804,15125804,,512,disease_to_no_disease,,,,
6,64,384,64,57,296,0.05682399100078328,0.3142566970000189,True,all genetic population candidates,3,genetic_cfe,11,8125804,15125804,,512,disease_to_no_disease,,,,
