query_id,local_test_index,query_class,desired_class,direction,difficulty_stratum,baseline_seed,run_seed,method,implementation,K,margin,native_random_sample_size,native_genetic_maxiterations,returned,reference_valid_returned,returned_validity,conditional_returned_validity,valid_cfe_yield_at_k,completeness_at_k,coverage_at_1,full_k_success,proximity,sparsity,diversity,plausibility,plausibility_distance,plausibility_inlier_rate,target_data_support,local_surrogate_fidelity,fidelity,fidelity_oracle_evaluations,constraint_validity,mean_target_logit_margin,minimum_target_logit_margin,robust_validity,robust_cfe_fraction_95,robust_completeness_at_k,robust_full_k_success,changed_set_dice,runtime_seconds,generation_time_to_k_or_cap_seconds,time_to_full_k_seconds,time_per_returned_cfe_seconds,candidate_evaluations,candidate_throughput_per_second,rounds_used,k1_achieved,rounds_to_k1,rounds_to_k1_or_cap,candidates_to_k1,candidates_to_k1_or_cap,time_to_k1_seconds,time_to_k1_or_cap_seconds,k3_achieved,rounds_to_k3,rounds_to_k3_or_cap,candidates_to_k3,candidates_to_k3_or_cap,time_to_k3_seconds,time_to_k3_or_cap_seconds,k5_achieved,rounds_to_k5,rounds_to_k5_or_cap,candidates_to_k5,candidates_to_k5_or_cap,time_to_k5_seconds,time_to_k5_or_cap_seconds,k10_achieved,rounds_to_k10,rounds_to_k10_or_cap,candidates_to_k10,candidates_to_k10_or_cap,time_to_k10_seconds,time_to_k10_or_cap_seconds,algorithm_status,implementation_error,native_iterations
140,43354,0,1,no_disease_to_disease,medium_confidence,11,9242159,official_dice_genetic,official dice-ml==0.12,10,0.1,,300.0,0,0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0,,,,,,0.0,0.0,,20.001005025999802,20.001005025999802,,,,0.0,0,0.0,,0.0,,0.0,,20.001005025999802,0.0,,0.0,,0.0,,20.001005025999802,0.0,,0.0,,0.0,,20.001005025999802,0.0,,0.0,,0.0,,20.001005025999802,timeout,,300
141,45732,0,1,no_disease_to_disease,medium_confidence,11,9243065,official_dice_random,official dice-ml==0.12,10,0.1,10000.0,,3,3,1.0,1.0,0.3,0.3,1.0,0.0,0.0926390066742897,0.7037037037037038,0.03307643160223961,0.2552721703627617,0.2552721703627617,0.6666666666666666,0.13333333333333333,,,0,1.0,0.3394829332828522,0.19125932455062866,1.0,1.0,0.3,0.0,0.9916666666666667,1.392247566000151,1.392247566000151,,0.46408252200005035,,0.0,0,0.0,,0.0,,0.0,,1.392247566000151,0.0,,0.0,,0.0,,1.392247566000151,0.0,,0.0,,0.0,,1.392247566000151,0.0,,0.0,,0.0,,1.392247566000151,ok,,1
141,45732,0,1,no_disease_to_disease,medium_confidence,11,9243159,official_dice_genetic,official dice-ml==0.12,10,0.1,,300.0,0,0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0,,,,,,0.0,0.0,,20.00152030800018,20.00152030800018,,,,0.0,0,0.0,,0.0,,0.0,,20.00152030800018,0.0,,0.0,,0.0,,20.00152030800018,0.0,,0.0,,0.0,,20.00152030800018,0.0,,0.0,,0.0,,20.00152030800018,timeout,,300
142,47005,0,1,no_disease_to_disease,medium_confidence,11,9244065,official_dice_random,official dice-ml==0.12,10,0.1,10000.0,,5,5,1.0,1.0,0.5,0.5,1.0,0.0,0.06307608634233475,0.7999999999999999,0.039127200841903687,0.23429469343294773,0.23429469343294773,0.2,0.16,,,0,1.0,0.19685426354408264,0.12376488745212555,1.0,1.0,0.5,0.0,0.9949999999999999,1.0906895759999315,1.0906895759999315,,0.21813791519998632,,0.0,0,0.0,,0.0,,0.0,,1.0906895759999315,0.0,,0.0,,0.0,,1.0906895759999315,0.0,,0.0,,0.0,,1.0906895759999315,0.0,,0.0,,0.0,,1.0906895759999315,ok,,1
142,47005,0,1,no_disease_to_disease,medium_confidence,11,9244159,official_dice_genetic,official dice-ml==0.12,10,0.1,,300.0,0,0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0,,,,,,0.0,0.0,,20.00107445599997,20.00107445599997,,,,0.0,0,0.0,,0.0,,0.0,,20.00107445599997,0.0,,0.0,,0.0,,20.00107445599997,0.0,,0.0,,0.0,,20.00107445599997,0.0,,0.0,,0.0,,20.00107445599997,timeout,,300
143,49870,0,1,no_disease_to_disease,medium_confidence,11,9245065,official_dice_random,official dice-ml==0.12,10,0.1,10000.0,,1,1,1.0,1.0,0.1,0.1,1.0,0.0,0.0659296065568924,0.7777777777777778,0.0,0.24446320335279073,0.24446320335279073,1.0,0.2,,,0,1.0,0.1553909033536911,0.1553909033536911,1.0,1.0,0.1,0.0,0.9,1.3077265450001505,1.3077265450001505,,1.3077265450001505,,0.0,0,0.0,,0.0,,0.0,,1.3077265450001505,0.0,,0.0,,0.0,,1.3077265450001505,0.0,,0.0,,0.0,,1.3077265450001505,0.0,,0.0,,0.0,,1.3077265450001505,ok,,1
143,49870,0,1,no_disease_to_disease,medium_confidence,11,9245159,official_dice_genetic,official dice-ml==0.12,10,0.1,,300.0,0,0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0,,,,,,0.0,0.0,,20.001019485000143,20.001019485000143,,,,0.0,0,0.0,,0.0,,0.0,,20.001019485000143,0.0,,0.0,,0.0,,20.001019485000143,0.0,,0.0,,0.0,,20.001019485000143,0.0,,0.0,,0.0,,20.001019485000143,timeout,,300
144,51125,0,1,no_disease_to_disease,medium_confidence,11,9246065,official_dice_random,official dice-ml==0.12,10,0.1,10000.0,,4,4,1.0,1.0,0.4,0.4,1.0,0.0,0.09558487683534622,0.6944444444444446,0.08243925869464874,0.3886475592310208,0.3886475592310208,0.25,0.15000000000000002,,,0,1.0,0.3052891790866852,0.27095362544059753,1.0,1.0,0.4,0.0,0.9924107142857144,1.3077015640001264,1.3077015640001264,,0.3269253910000316,,0.0,0,0.0,,0.0,,0.0,,1.3077015640001264,0.0,,0.0,,0.0,,1.3077015640001264,0.0,,0.0,,0.0,,1.3077015640001264,0.0,,0.0,,0.0,,1.3077015640001264,ok,,1
144,51125,0,1,no_disease_to_disease,medium_confidence,11,9246159,official_dice_genetic,official dice-ml==0.12,10,0.1,,300.0,0,0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0,,,,,,0.0,0.0,,20.001428435000435,20.001428435000435,,,,0.0,0,0.0,,0.0,,0.0,,20.001428435000435,0.0,,0.0,,0.0,,20.001428435000435,0.0,,0.0,,0.0,,20.001428435000435,0.0,,0.0,,0.0,,20.001428435000435,timeout,,300
145,54758,0,1,no_disease_to_disease,medium_confidence,11,9247065,official_dice_random,official dice-ml==0.12,10,0.1,10000.0,,2,2,1.0,1.0,0.2,0.2,1.0,0.0,0.08698391914367676,0.7222222222222223,0.043478261679410934,0.2728623629574215,0.2728623629574215,1.0,0.30000000000000004,,,0,1.0,0.3153248131275177,0.15153266489505768,1.0,1.0,0.2,0.0,0.9910714285714286,1.2967944899996837,1.2967944899996837,,0.6483972449998419,,0.0,0,0.0,,0.0,,0.0,,1.2967944899996837,0.0,,0.0,,0.0,,1.2967944899996837,0.0,,0.0,,0.0,,1.2967944899996837,0.0,,0.0,,0.0,,1.2967944899996837,ok,,1
