method,direction,algorithm_status,n_factuals
official_dice_genetic,disease_to_no_disease,timeout,100
official_dice_genetic,no_disease_to_disease,timeout,100
official_dice_random,disease_to_no_disease,no_cf,11
official_dice_random,disease_to_no_disease,ok,89
official_dice_random,no_disease_to_disease,no_cf,33
official_dice_random,no_disease_to_disease,ok,67
