dataset,variant,metric,mean,sd,ci95_low,ci95_high,attack_seeds
heartplus,countergan,exact_match_rate,0.0,0.0,0.0,0.0,10
heartplus,countergan,near_duplicate_rate_0_001,0.0001,0.0003162277660168,0.0,0.0003,10
heartplus,countergan,near_duplicate_rate_0_01,0.001,0.0012472191289246,0.0003,0.0018,10
heartplus,countergan,dcr_mean,0.1289066960939844,0.001577437774536,0.1279975888455138,0.1298545632486694,10
heartplus,countergan,dcr_median,0.1223764605926375,0.0013376465155616,0.1216149858887181,0.1231893677030577,10
heartplus,countergan,dcr_p01,0.0301606919252959,0.0018405805584286,0.029077786357556,0.0312719192428008,10
heartplus,countergan,dcr_p05,0.0561128785026366,0.0015536649221733,0.0552439445246158,0.0570569841167456,10
heartplus,countergan,nndr_mean,0.8567841468583316,0.0040504196657545,0.8544758753275864,0.8592053861667899,10
heartplus,countergan,nndr_median,0.8960176765396511,0.0040967864862602,0.8937563803571462,0.8985187402762072,10
heartplus,countergan,train_to_holdout_dcr_ratio_median,0.9813423714341388,0.0073752544665353,0.9769372145375148,0.9854444602325716,10
heartplus,dp_eps16,exact_match_rate,0.0,0.0,0.0,0.0,10
heartplus,dp_eps16,near_duplicate_rate_0_001,0.0039,0.002183269719175,0.0026,0.0052,10
heartplus,dp_eps16,near_duplicate_rate_0_01,0.0353,0.0049001133773731,0.0322,0.0381,10
heartplus,dp_eps16,dcr_mean,0.1006571666637724,0.0011506815099494,0.0999870964833122,0.1013142705807877,10
heartplus,dp_eps16,dcr_median,0.0902700166251438,0.0027262242664782,0.0886656610477241,0.0918564321246683,10
heartplus,dp_eps16,dcr_p01,0.0029203087275163,0.0008642071059775,0.0024601618333618,0.0034564365459335,10
heartplus,dp_eps16,dcr_p05,0.0152090676158791,0.0019151351042631,0.0141107139168913,0.0163395546694873,10
heartplus,dp_eps16,nndr_mean,0.8075506399388486,0.0036851879734463,0.8052464507122844,0.8095497587300365,10
heartplus,dp_eps16,nndr_median,0.8678093441856388,0.0053622128337893,0.8648422968407351,0.8710890935594741,10
heartplus,dp_eps16,train_to_holdout_dcr_ratio_median,0.999464081281906,0.0135560051768903,0.9920529005946996,1.0077605137752412,10
heartplus,dp_eps2,exact_match_rate,0.0,0.0,0.0,0.0,10
heartplus,dp_eps2,near_duplicate_rate_0_001,0.0016,0.0009660917830792,0.001,0.0021999999999999,10
heartplus,dp_eps2,near_duplicate_rate_0_01,0.0241,0.0037549966711037,0.0218999999999999,0.0263,10
heartplus,dp_eps2,dcr_mean,0.1019544088473588,0.0017800509639095,0.1008557699395458,0.1029565161496519,10
heartplus,dp_eps2,dcr_median,0.0867976202222301,0.0030546344508758,0.0850948400662208,0.0886581208682987,10
heartplus,dp_eps2,dcr_p01,0.0048822606197618,0.0008449448509342,0.0043621911572739,0.0053726319274745,10
heartplus,dp_eps2,dcr_p05,0.0182241762994436,0.0008197667878579,0.0178210462688916,0.0187767150271406,10
heartplus,dp_eps2,nndr_mean,0.8170571515228028,0.0053605759645728,0.8137644532388806,0.8200112679328613,10
heartplus,dp_eps2,nndr_median,0.8697339257183815,0.0076097209399012,0.8648704522056455,0.8737101644319865,10
heartplus,dp_eps2,train_to_holdout_dcr_ratio_median,0.9847133896161904,0.0123386227569312,0.9772497559330444,0.9915973211098712,10
heartplus,dp_eps4,exact_match_rate,0.0,0.0,0.0,0.0,10
heartplus,dp_eps4,near_duplicate_rate_0_001,0.0052,0.0020976176963403,0.004,0.0064999999999999,10
heartplus,dp_eps4,near_duplicate_rate_0_01,0.0403999999999999,0.0059104427358137,0.0367975,0.0436999999999999,10
heartplus,dp_eps4,dcr_mean,0.1005252696487891,0.0012506935540707,0.0998192900754182,0.1013068067145758,10
heartplus,dp_eps4,dcr_median,0.0896914108684266,0.0032791902936096,0.0877537387520679,0.0915669590700651,10
heartplus,dp_eps4,dcr_p01,0.0022914641392159,0.0009482192281327,0.0017663250806284,0.0028869193392263,10
heartplus,dp_eps4,dcr_p05,0.013614555057928,0.0021445944059128,0.0123698786637638,0.0149184711920212,10
heartplus,dp_eps4,nndr_mean,0.8049940707475868,0.0037470013412429,0.8028557845630596,0.807273319050742,10
heartplus,dp_eps4,nndr_median,0.8636863853882663,0.0054143302487744,0.8606289371278176,0.8669191954658584,10
heartplus,dp_eps4,train_to_holdout_dcr_ratio_median,1.0148204607576348,0.0130093284202055,1.0080211400644707,1.0230664819535669,10
heartplus,dp_eps8,exact_match_rate,0.0,0.0,0.0,0.0,10
heartplus,dp_eps8,near_duplicate_rate_0_001,0.0065,0.0021730674684008,0.0053,0.0078999999999999,10
heartplus,dp_eps8,near_duplicate_rate_0_01,0.0472999999999999,0.003233505150074,0.0452999999999999,0.049,10
heartplus,dp_eps8,dcr_mean,0.0924507270211861,0.001895250324583,0.0913181616154886,0.0935254439822631,10
heartplus,dp_eps8,dcr_median,0.0755989199909365,0.0023113836531076,0.0742880915124481,0.0769726216862762,10
heartplus,dp_eps8,dcr_p01,0.0015508056162045,0.0004012397623629,0.0013185206959947,0.0017819055200809,10
heartplus,dp_eps8,dcr_p05,0.0107620385283948,0.0008334198836834,0.0103322095918347,0.0113060421803588,10
heartplus,dp_eps8,nndr_mean,0.8005613171686079,0.0054299270164098,0.7974168893322584,0.8037939563105543,10
heartplus,dp_eps8,nndr_median,0.8677296382732879,0.0077137121200216,0.8633128719738596,0.8724656404181157,10
heartplus,dp_eps8,train_to_holdout_dcr_ratio_median,0.993512724510915,0.0131733430851646,0.9855176787376276,1.000573576971124,10
