method,direction,candidate_budget,success_rate,rounds_to_k_or_cap,time_to_k_or_cap,candidates_to_k_or_cap,K
countergan_one_shot,no_disease_to_disease,512,0.46,1.0,0.01619253092996587,512.0,3
countergan_one_shot,no_disease_to_disease,1024,0.43,1.0,0.025611560449960963,1024.0,3
countergan_sparse_diverse_no_dp,disease_to_no_disease,128,0.76,1.0,0.017924006290004398,128.0,3
countergan_sparse_diverse_no_dp,disease_to_no_disease,256,0.85,1.24,0.022351666170061436,158.72,3
countergan_sparse_diverse_no_dp,disease_to_no_disease,512,0.9,1.5,0.025743429520025528,192.0,3
countergan_sparse_diverse_no_dp,disease_to_no_disease,1024,0.93,1.84,0.030950823070043043,235.52,3
countergan_sparse_diverse_no_dp,no_disease_to_disease,128,0.57,1.0,0.018792455470074857,128.0,3
countergan_sparse_diverse_no_dp,no_disease_to_disease,256,0.62,1.44,0.02518691053999646,184.32,3
countergan_sparse_diverse_no_dp,no_disease_to_disease,512,0.66,2.18,0.0362323212600586,279.04,3
countergan_sparse_diverse_no_dp,no_disease_to_disease,1024,0.68,3.47,0.05533285283997429,444.16,3
dice_gradient_style,disease_to_no_disease,128,0.0,1.0,0.020511078859999542,128.0,3
dice_gradient_style,disease_to_no_disease,256,0.0,1.0,0.03642130957994596,256.0,3
dice_gradient_style,disease_to_no_disease,512,0.54,1.0,0.06752446097994834,512.0,3
dice_gradient_style,disease_to_no_disease,1024,0.62,1.0,0.13076307949008878,1024.0,3
dice_gradient_style,no_disease_to_disease,128,0.0,1.0,0.020188862149980197,128.0,3
dice_gradient_style,no_disease_to_disease,256,0.0,1.0,0.03641119444000651,256.0,3
dice_gradient_style,no_disease_to_disease,512,0.17,1.0,0.06763272855995638,512.0,3
dice_gradient_style,no_disease_to_disease,1024,0.29,1.0,0.13076029511001253,1024.0,3
genetic_cfe,disease_to_no_disease,128,0.08,1.0,0.00631500646004497,128.0,3
genetic_cfe,disease_to_no_disease,256,0.22,1.94,0.012432377240011193,248.32,3
genetic_cfe,disease_to_no_disease,512,0.43,3.38,0.02157443569001771,432.64,3
genetic_cfe,disease_to_no_disease,1024,0.69,5.12,0.03275417611997909,655.36,3
genetic_cfe,no_disease_to_disease,128,0.08,1.0,0.006171704400012459,128.0,3
genetic_cfe,no_disease_to_disease,256,0.08,1.94,0.012070461330113176,248.32,3
genetic_cfe,no_disease_to_disease,512,0.16,3.7,0.0229898144699564,473.6,3
genetic_cfe,no_disease_to_disease,1024,0.32,6.87,0.042868732699980684,879.36,3
proposed_countergan,disease_to_no_disease,128,0.04,1.0,0.009297867690047496,128.0,3
proposed_countergan,disease_to_no_disease,256,0.82,1.96,0.01868789586996172,250.88,3
proposed_countergan,disease_to_no_disease,512,0.89,2.33,0.021254091160008103,298.24,3
proposed_countergan,disease_to_no_disease,1024,0.91,2.64,0.026300642370006243,337.92,3
proposed_countergan,no_disease_to_disease,128,0.38,1.0,0.00900630716001615,128.0,3
proposed_countergan,no_disease_to_disease,256,0.58,1.61,0.013687082879941954,206.08,3
proposed_countergan,no_disease_to_disease,512,0.64,2.41,0.019634051150051166,308.48,3
proposed_countergan,no_disease_to_disease,1024,0.68,3.71,0.02867588772001909,474.88,3
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,128,0.8,1.0,0.019382241470038933,128.0,3
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,256,0.87,1.22,0.023035435539977698,156.16,3
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,512,0.91,1.47,0.027010541050003667,188.16,3
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,1024,0.92,1.87,0.03311590969997269,239.36,3
proposed_dp_eps16_sparse_diverse,no_disease_to_disease,128,0.15,1.0,0.015398213080015922,128.0,3
proposed_dp_eps16_sparse_diverse,no_disease_to_disease,256,0.29,1.84,0.028010411300001578,235.52,3
proposed_dp_eps16_sparse_diverse,no_disease_to_disease,512,0.48,3.13,0.04679480839000462,400.64,3
proposed_dp_eps16_sparse_diverse,no_disease_to_disease,1024,0.59,5.05,0.07476912547004759,646.4,3
proposed_dp_eps2_sparse_diverse,disease_to_no_disease,128,0.82,1.0,0.023160307479965923,128.0,3
proposed_dp_eps2_sparse_diverse,disease_to_no_disease,256,0.86,1.21,0.026640706889993454,154.88,3
proposed_dp_eps2_sparse_diverse,disease_to_no_disease,512,0.89,1.42,0.029520071259948964,181.76,3
proposed_dp_eps2_sparse_diverse,disease_to_no_disease,1024,0.92,1.8,0.035420955249965115,230.4,3
