n_factuals,n_ok,n_timeout,n_no_cf,n_implementation_error,n_quality_defined,valid_cfe_yield_at_k,coverage_at_1,full_k_success,robust_yield_at_k,robust_full_k_success,proximity,sparsity,diversity,plausibility,constraint_validity,runtime_seconds_mean,runtime_seconds_total,method,direction
100.0,100.0,0.0,0.0,0.0,100.0,0.843,1.0,0.3,0.826,0.28,0.34715212747454643,0.05857054673721342,0.20408401533961296,1.565277973110864,1.0,5.492582957739995,549.2582957739995,official_dice_genetic,disease_to_no_disease
100.0,100.0,0.0,0.0,0.0,99.0,0.562,0.99,0.03,0.539,0.03,0.3523880721944751,0.038459774107922264,0.16895795666208172,1.5086121842217484,1.0,3.8908326859000204,389.08326859000204,official_dice_genetic,no_disease_to_disease
100.0,90.0,10.0,0.0,0.0,90.0,0.4960000000000001,0.9,0.0,0.39000000000000007,0.0,0.04721131376508209,0.8354458161865569,0.061517663072380754,0.6596898599148558,1.0,4.089714541719982,408.9714541719982,official_dice_random,disease_to_no_disease
100.0,89.0,11.0,0.0,0.0,89.0,0.36599999999999994,0.89,0.0,0.27499999999999997,0.0,0.0463663080728121,0.8290574282147316,0.061957640971025726,0.6461444760672499,1.0,4.26924323277,426.924323277,official_dice_random,no_disease_to_disease
