query_id,local_test_index,query_class,desired_class,direction,difficulty_stratum,baseline_seed,run_seed,method,implementation,K,margin,native_random_sample_size,native_genetic_maxiterations,returned,reference_valid_returned,returned_validity,conditional_returned_validity,valid_cfe_yield_at_k,completeness_at_k,coverage_at_1,full_k_success,proximity,sparsity,diversity,plausibility,plausibility_distance,plausibility_inlier_rate,target_data_support,local_surrogate_fidelity,fidelity,fidelity_oracle_evaluations,constraint_validity,mean_target_logit_margin,minimum_target_logit_margin,robust_validity,robust_cfe_fraction_95,robust_completeness_at_k,robust_full_k_success,changed_set_dice,runtime_seconds,generation_time_to_k_or_cap_seconds,time_to_full_k_seconds,time_per_returned_cfe_seconds,candidate_evaluations,candidate_throughput_per_second,rounds_used,k1_achieved,rounds_to_k1,rounds_to_k1_or_cap,candidates_to_k1,candidates_to_k1_or_cap,time_to_k1_seconds,time_to_k1_or_cap_seconds,k3_achieved,rounds_to_k3,rounds_to_k3_or_cap,candidates_to_k3,candidates_to_k3_or_cap,time_to_k3_seconds,time_to_k3_or_cap_seconds,k5_achieved,rounds_to_k5,rounds_to_k5_or_cap,candidates_to_k5,candidates_to_k5_or_cap,time_to_k5_seconds,time_to_k5_or_cap_seconds,k10_achieved,rounds_to_k10,rounds_to_k10_or_cap,candidates_to_k10,candidates_to_k10_or_cap,time_to_k10_seconds,time_to_k10_or_cap_seconds,algorithm_status,implementation_error,native_iterations
164,16488,0,1,no_disease_to_disease,medium_confidence,11,9266159,official_dice_genetic,official dice-ml==0.12,10,0.1,,300.0,7,7,1.0,1.0,0.7,0.7,1.0,0.0,0.3588190972805023,0.0,0.06865473836660385,1.4486994373649362,1.4486994373649362,0.0,1.0,,,0,1.0,9.312371253967285,0.5614113807678223,1.0,1.0,0.7,0.0,0.9933673469387756,3.30234960100006,3.30234960100006,,0.4717642287142943,,0.0,0,0.0,,0.0,,0.0,,3.30234960100006,0.0,,0.0,,0.0,,3.30234960100006,0.0,,0.0,,0.0,,3.30234960100006,0.0,,0.0,,0.0,,3.30234960100006,ok,,300
165,16588,0,1,no_disease_to_disease,medium_confidence,11,9267065,official_dice_random,official dice-ml==0.12,10,0.1,10000.0,,3,3,1.0,1.0,0.3,0.3,1.0,0.0,0.057615891098976135,0.8333333333333334,0.06345216929912567,0.842868686367122,0.842868686367122,0.0,0.13333333333333333,,,0,1.0,13.126404762268066,0.5545191764831543,0.9375,0.6666666666666666,0.2,0.0,0.8823472823472823,2.3071273670002483,2.3071273670002483,,0.7690424556667494,,0.0,0,0.0,,0.0,,0.0,,2.3071273670002483,0.0,,0.0,,0.0,,2.3071273670002483,0.0,,0.0,,0.0,,2.3071273670002483,0.0,,0.0,,0.0,,2.3071273670002483,ok,,1
165,16588,0,1,no_disease_to_disease,medium_confidence,11,9267159,official_dice_genetic,official dice-ml==0.12,10,0.1,,300.0,8,8,1.0,1.0,0.8,0.8,1.0,0.0,0.35502251982688904,0.04861111111111113,0.19547106325626373,1.621269265042699,1.621269265042699,0.0,0.8,,,0,1.0,12.846156120300293,3.4884066581726074,1.0,1.0,0.8,0.0,0.9950892857142857,3.3968311850003374,3.3968311850003374,,0.4246038981250422,,0.0,0,0.0,,0.0,,0.0,,3.3968311850003374,0.0,,0.0,,0.0,,3.3968311850003374,0.0,,0.0,,0.0,,3.3968311850003374,0.0,,0.0,,0.0,,3.3968311850003374,ok,,300
166,16589,0,1,no_disease_to_disease,medium_confidence,11,9268065,official_dice_random,official dice-ml==0.12,10,0.1,10000.0,,4,4,1.0,1.0,0.4,0.4,1.0,0.0,0.04836726561188698,0.8333333333333334,0.06421536952257156,0.657688798960738,0.657688798960738,0.0,0.5,,,0,1.0,7.286637783050537,0.8510165214538574,0.90625,0.75,0.3,0.0,0.8298983134920636,2.31057947599993,2.31057947599993,,0.5776448689999825,,0.0,0,0.0,,0.0,,0.0,,2.31057947599993,0.0,,0.0,,0.0,,2.31057947599993,0.0,,0.0,,0.0,,2.31057947599993,0.0,,0.0,,0.0,,2.31057947599993,ok,,1
166,16589,0,1,no_disease_to_disease,medium_confidence,11,9268159,official_dice_genetic,official dice-ml==0.12,10,0.1,,300.0,7,7,1.0,1.0,0.7,0.7,1.0,0.0,0.34327206015586853,0.01587301587301588,0.13616852462291718,1.3958803147945893,1.3958803147945893,0.0,0.8857142857142856,,,0,1.0,6.766381740570068,0.9160027503967285,1.0,1.0,0.7,0.0,0.9957983193277311,3.6170192399999905,3.6170192399999905,,0.5167170342857129,,0.0,0,0.0,,0.0,,0.0,,3.6170192399999905,0.0,,0.0,,0.0,,3.6170192399999905,0.0,,0.0,,0.0,,3.6170192399999905,0.0,,0.0,,0.0,,3.6170192399999905,ok,,300
167,952,0,1,no_disease_to_disease,high_confidence,11,9269065,official_dice_random,official dice-ml==0.12,10,0.1,10000.0,,4,4,1.0,1.0,0.4,0.4,1.0,0.0,0.03315693140029907,0.8611111111111112,0.04040488600730896,0.5321449266076681,0.5321449266076681,0.25,0.6499999999999999,,,0,1.0,3.9466705322265625,0.13836908340454102,0.75,0.25,0.1,0.0,0.8409632034632034,2.3031637679996493,2.3031637679996493,,0.5757909419999123,,0.0,0,0.0,,0.0,,0.0,,2.3031637679996493,0.0,,0.0,,0.0,,2.3031637679996493,0.0,,0.0,,0.0,,2.3031637679996493,0.0,,0.0,,0.0,,2.3031637679996493,ok,,1
167,952,0,1,no_disease_to_disease,high_confidence,11,9269159,official_dice_genetic,official dice-ml==0.12,10,0.1,,300.0,4,4,1.0,1.0,0.4,0.4,1.0,0.0,0.3180405795574188,0.05555555555555558,0.177848681807518,1.512290483330292,1.512290483330292,0.0,1.0,,,0,1.0,15.847784996032715,5.870433330535889,1.0,1.0,0.4,0.0,0.9826354405398524,4.178825292000056,4.178825292000056,,1.044706323000014,,0.0,0,0.0,,0.0,,0.0,,4.178825292000056,0.0,,0.0,,0.0,,4.178825292000056,0.0,,0.0,,0.0,,4.178825292000056,0.0,,0.0,,0.0,,4.178825292000056,ok,,300
168,1320,0,1,no_disease_to_disease,high_confidence,11,9270065,official_dice_random,official dice-ml==0.12,10,0.1,10000.0,,0,0,,,0.0,0.0,0.0,0.0,,,,,,,,,,0,,,,,,0.0,0.0,,20.002674050000223,20.002674050000223,,,,0.0,0,0.0,,0.0,,0.0,,20.002674050000223,0.0,,0.0,,0.0,,20.002674050000223,0.0,,0.0,,0.0,,20.002674050000223,0.0,,0.0,,0.0,,20.002674050000223,timeout,,1
168,1320,0,1,no_disease_to_disease,high_confidence,11,9270159,official_dice_genetic,official dice-ml==0.12,10,0.1,,300.0,4,4,1.0,1.0,0.4,0.4,1.0,0.0,0.3906129002571106,0.0,0.16618378460407257,1.7201186732752505,1.7201186732752505,0.0,1.0,,,0,1.0,13.755400657653809,6.8864874839782715,1.0,1.0,0.4,0.0,0.9959821428571429,4.2666110519999165,4.2666110519999165,,1.0666527629999791,,0.0,0,0.0,,0.0,,0.0,,4.2666110519999165,0.0,,0.0,,0.0,,4.2666110519999165,0.0,,0.0,,0.0,,4.2666110519999165,0.0,,0.0,,0.0,,4.2666110519999165,ok,,300
169,1400,0,1,no_disease_to_disease,high_confidence,11,9271065,official_dice_random,official dice-ml==0.12,10,0.1,10000.0,,3,3,1.0,1.0,0.3,0.3,1.0,0.0,0.03671553358435631,0.851851851851852,0.048261385411024094,0.6422827275197146,0.6422827275197146,0.0,1.0,,,0,1.0,5.613330841064453,1.8162550926208496,1.0,1.0,0.3,0.0,0.8676587301587301,2.3095391019996896,2.3095391019996896,,0.7698463673332299,,0.0,0,0.0,,0.0,,0.0,,2.3095391019996896,0.0,,0.0,,0.0,,2.3095391019996896,0.0,,0.0,,0.0,,2.3095391019996896,0.0,,0.0,,0.0,,2.3095391019996896,ok,,1
