population,maximum_rounds,candidate_budget,query_number,returned,reference_valid_returned,returned_validity,conditional_returned_validity,valid_cfe_yield_at_k,completeness_at_k,coverage_at_1,full_k_success,proximity,sparsity,diversity,plausibility,plausibility_distance,plausibility_inlier_rate,target_data_support,local_surrogate_fidelity,fidelity,fidelity_oracle_evaluations,constraint_validity,mean_target_logit_margin,minimum_target_logit_margin,robust_validity,robust_cfe_fraction_95,robust_completeness_at_k,robust_full_k_success,changed_set_dice,runtime_seconds,generation_time_to_k_or_cap_seconds,time_to_full_k_seconds,time_per_returned_cfe_seconds,candidate_evaluations,candidate_throughput_per_second,rounds_used,k1_achieved,rounds_to_k1,rounds_to_k1_or_cap,candidates_to_k1,candidates_to_k1_or_cap,time_to_k1_seconds,time_to_k1_or_cap_seconds,k3_achieved,rounds_to_k3,rounds_to_k3_or_cap,candidates_to_k3,candidates_to_k3_or_cap,time_to_k3_seconds,time_to_k3_or_cap_seconds,k5_achieved,rounds_to_k5,rounds_to_k5_or_cap,candidates_to_k5,candidates_to_k5_or_cap,time_to_k5_seconds,time_to_k5_or_cap_seconds,k10_achieved,rounds_to_k10,rounds_to_k10_or_cap,candidates_to_k10,candidates_to_k10_or_cap,time_to_k10_seconds,time_to_k10_or_cap_seconds,group_sparsity,yield_noninferior,population_selection_score,selected_for_outer
16,32,512,3.5,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0855067279189825,0.7388888888888889,0.06988465692847967,0.7833165053237109,0.7833165053237109,0.0375,0.625,0.8636363636363636,0.8636363636363636,81.0,1.0,4.495731681585312,0.5149378180503845,0.93125,0.8125,0.8125,0.25,0.9158238979480272,7.567982266125,7.567982266125,7.567982266125,0.7567982266125,512.0,68.10947527228434,32.0,1.0,1.125,1.125,18.0,18.0,0.2256798428750244,0.2256798428750244,1.0,1.375,1.375,22.0,22.0,0.2868328821250543,0.2868328821250543,1.0,1.75,1.75,28.0,28.0,0.37095480050004426,0.37095480050004426,1.0,3.0,3.0,48.0,48.0,0.6369672951250323,0.6369672951250323,0.7388888888888889,True,0.6993405706787275,False
32,16,512,3.5,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09536729753017426,0.7243055555555556,0.0895181717351079,0.8544141842135289,0.8544141842135289,0.025,0.6475,0.9015151515151515,0.9015151515151515,81.0,1.0,11.492967873811722,1.0006475448608398,0.9729166666666667,0.875,0.875,0.25,0.9306697146127294,3.949983374625049,3.949983374625049,3.949983374625049,0.3949983374625049,512.0,129.73723696967315,16.0,1.0,1.0,1.0,32.0,32.0,0.22864115412517094,0.22864115412517094,1.0,1.25,1.25,40.0,40.0,0.2889847098750806,0.2889847098750806,1.0,1.25,1.25,40.0,40.0,0.2889847098750806,0.2889847098750806,1.0,1.75,1.75,56.0,56.0,0.40062649549997786,0.40062649549997786,0.7243055555555556,True,0.7130261985316044,False
64,8,512,3.5,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08462919294834137,0.75,0.08120098477229476,0.7408621615092007,0.7408621615092007,0.025,0.615,0.8560606060606061,0.8560606060606061,81.0,1.0,5.553697794675827,0.4933210611343384,0.9541666666666666,0.85,0.85,0.0,0.915523209071487,2.060320824874907,2.060320824874907,2.060320824874907,0.2060320824874907,512.0,248.60957501951265,8.0,1.0,1.0,1.0,64.0,64.0,0.24133052000013322,0.24133052000013322,1.0,1.0,1.0,64.0,64.0,0.24133052000013322,0.24133052000013322,1.0,1.125,1.125,72.0,72.0,0.27306685887515414,0.27306685887515414,1.0,1.25,1.25,80.0,80.0,0.3041794758751166,0.3041794758751166,0.75,True,0.7121571791823954,True
128,4,512,3.5,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10687057115137577,0.6458333333333334,0.09486900269985199,0.7336714552524104,0.7336714552524104,0.0125,0.6525000000000001,0.9015151515151515,0.9015151515151515,81.0,1.0,6.368799179792404,1.3411073684692383,0.96875,0.9,0.9,0.25,0.9474784177488318,1.125202602750278,1.125202602750278,1.125202602750278,0.11252026027502779,512.0,456.3117846007604,4.0,1.0,1.0,1.0,128.0,128.0,0.2649901823751861,0.2649901823751861,1.0,1.0,1.0,128.0,128.0,0.2649901823751861,0.2649901823751861,1.0,1.0,1.0,128.0,128.0,0.2649901823751861,0.2649901823751861,1.0,1.125,1.125,144.0,144.0,0.29889639475015883,0.29889639475015883,0.6458333333333334,True,0.7029665098215142,False
256,2,512,3.5,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10591360181570053,0.6104166666666667,0.08292197529226542,0.6793356463154103,0.6793356463154103,0.0125,0.6575,0.8712121212121212,0.8712121212121212,81.0,1.0,4.892745494842529,0.6375027894973755,0.9604166666666667,0.875,0.875,0.375,0.953727592514841,0.7073780495002211,0.7073780495002211,0.7073780495002211,0.0707378049500221,512.0,734.9932371394596,2.0,1.0,1.0,1.0,256.0,256.0,0.33876534100011213,0.33876534100011213,1.0,1.0,1.0,256.0,256.0,0.33876534100011213,0.33876534100011213,1.0,1.0,1.0,256.0,256.0,0.33876534100011213,0.33876534100011213,1.0,1.125,1.125,288.0,288.0,0.38251519437505976,0.38251519437505976,0.6104166666666667,True,0.6885341706809898,False
512,1,512,3.5,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10171896172687411,0.5423611111111111,0.05466539366170764,0.5800456588610812,0.5800456588610812,0.0625,0.6575,0.8522727272727273,0.8522727272727273,81.0,1.0,3.086952194571495,0.4971153140068054,0.9354166666666667,0.825,0.825,0.25,0.9620363771012034,0.5698788716248373,0.5698788716248373,0.5698788716248373,0.056987887162483736,512.0,1066.5153239294423,1.0,1.0,1.0,1.0,512.0,512.0,0.5698227672500025,0.5698227672500025,1.0,1.0,1.0,512.0,512.0,0.5698227672500025,0.5698227672500025,1.0,1.0,1.0,512.0,512.0,0.5698227672500025,0.5698227672500025,1.0,1.0,1.0,512.0,512.0,0.5698227672500025,0.5698227672500025,0.5423611111111111,True,0.6600168654157055,False
