method,direction,candidate_budget,success_rate,rounds_to_k_or_cap,time_to_k_or_cap,candidates_to_k_or_cap,K
proposed_dp_eps8_sparse_diverse,disease_to_no_disease,64,0.95,1.0,0.23351758579002307,64.0,1
proposed_dp_eps8_sparse_diverse,disease_to_no_disease,128,1.0,1.04,0.24199490305993096,66.56,1
proposed_dp_eps8_sparse_diverse,disease_to_no_disease,256,1.0,1.03,0.23943353608995493,65.92,1
proposed_dp_eps8_sparse_diverse,disease_to_no_disease,512,1.0,1.03,0.24166016215996022,65.92,1
proposed_dp_eps8_sparse_diverse,no_disease_to_disease,64,0.99,1.0,0.2445662025699312,64.0,1
proposed_dp_eps8_sparse_diverse,no_disease_to_disease,128,1.0,1.0,0.24602771438010676,64.0,1
proposed_dp_eps8_sparse_diverse,no_disease_to_disease,256,1.0,1.0,0.2453236487201866,64.0,1
proposed_dp_eps8_sparse_diverse,no_disease_to_disease,512,1.0,1.0,0.24487420461013243,64.0,1
uniform_random,disease_to_no_disease,64,0.98,1.0,0.04647119031991678,64.0,1
uniform_random,disease_to_no_disease,128,1.0,1.01,0.044092441739967396,64.64,1
uniform_random,disease_to_no_disease,256,1.0,1.01,0.04411487607998424,64.64,1
uniform_random,disease_to_no_disease,512,1.0,1.0,0.04367767274999096,64.0,1
uniform_random,no_disease_to_disease,64,1.0,1.0,0.0437786508499903,64.0,1
uniform_random,no_disease_to_disease,128,1.0,1.0,0.04348334916999193,64.0,1
uniform_random,no_disease_to_disease,256,1.0,1.0,0.043791830859963736,64.0,1
uniform_random,no_disease_to_disease,512,1.0,1.0,0.04368055716003255,64.0,1
wachter_style,disease_to_no_disease,64,0.3,1.0,0.0488326015700386,64.0,1
wachter_style,disease_to_no_disease,128,0.62,1.0,0.05638753828998233,128.0,1
wachter_style,disease_to_no_disease,256,0.98,1.0,0.07158725040001628,256.0,1
wachter_style,disease_to_no_disease,512,1.0,1.0,0.10112936934000573,512.0,1
wachter_style,no_disease_to_disease,64,0.31,1.0,0.04846842423001362,64.0,1
wachter_style,no_disease_to_disease,128,0.9,1.0,0.056363540409993224,128.0,1
wachter_style,no_disease_to_disease,256,1.0,1.0,0.07157310777997736,256.0,1
wachter_style,no_disease_to_disease,512,1.0,1.0,0.10077152727998509,512.0,1
countergan_one_shot,disease_to_no_disease,64,0.97,1.0,0.04562209118993451,64.0,3
countergan_one_shot,disease_to_no_disease,128,0.97,1.0,0.046978520429984204,128.0,3
countergan_one_shot,disease_to_no_disease,256,0.99,1.0,0.04957538697998643,256.0,3
countergan_one_shot,disease_to_no_disease,512,0.99,1.0,0.05437952401000075,512.0,3
countergan_one_shot,no_disease_to_disease,64,1.0,1.0,0.0451370498999313,64.0,3
countergan_one_shot,no_disease_to_disease,128,1.0,1.0,0.04624302526013707,128.0,3
countergan_one_shot,no_disease_to_disease,256,1.0,1.0,0.047871537889950556,256.0,3
countergan_one_shot,no_disease_to_disease,512,1.0,1.0,0.051421627379895654,512.0,3
countergan_sparse_diverse_no_dp,disease_to_no_disease,64,0.68,1.0,0.23174160297004165,64.0,3
countergan_sparse_diverse_no_dp,disease_to_no_disease,128,1.0,1.33,0.3111048266800572,85.12,3
countergan_sparse_diverse_no_dp,disease_to_no_disease,256,1.0,1.28,0.300570415369948,81.92,3
countergan_sparse_diverse_no_dp,disease_to_no_disease,512,1.0,1.27,0.29436271665992536,81.28,3
countergan_sparse_diverse_no_dp,no_disease_to_disease,64,1.0,1.0,0.24570052371005657,64.0,3
countergan_sparse_diverse_no_dp,no_disease_to_disease,128,1.0,1.01,0.24742899946000763,64.64,3
countergan_sparse_diverse_no_dp,no_disease_to_disease,256,1.0,1.01,0.24729010319993905,64.64,3
countergan_sparse_diverse_no_dp,no_disease_to_disease,512,1.0,1.01,0.24758761945999141,64.64,3
dice_gradient_style,disease_to_no_disease,64,0.0,1.0,0.05035570695001297,64.0,3
dice_gradient_style,disease_to_no_disease,128,0.0,1.0,0.058735134980033764,128.0,3
dice_gradient_style,disease_to_no_disease,256,0.0,1.0,0.07726250462994358,256.0,3
dice_gradient_style,disease_to_no_disease,512,0.0,1.0,0.11040700701004426,512.0,3
dice_gradient_style,no_disease_to_disease,64,0.0,1.0,0.05039886246995593,64.0,3
dice_gradient_style,no_disease_to_disease,128,0.0,1.0,0.059741111220018864,128.0,3
dice_gradient_style,no_disease_to_disease,256,0.0,1.0,0.07633411901002546,256.0,3
dice_gradient_style,no_disease_to_disease,512,0.0,1.0,0.1093684973499785,512.0,3
genetic_cfe,disease_to_no_disease,64,0.95,1.0,0.04424766527995416,64.0,3
genetic_cfe,disease_to_no_disease,128,0.99,1.02,0.044933730549992106,65.28,3
genetic_cfe,disease_to_no_disease,256,1.0,1.03,0.04520239202999619,65.92,3
genetic_cfe,disease_to_no_disease,512,1.0,1.02,0.045202214640030436,65.28,3
genetic_cfe,no_disease_to_disease,64,1.0,1.0,0.04428551519999928,64.0,3
genetic_cfe,no_disease_to_disease,128,1.0,1.01,0.04440764659003435,64.64,3
genetic_cfe,no_disease_to_disease,256,1.0,1.0,0.04363265780002621,64.0,3
genetic_cfe,no_disease_to_disease,512,1.0,1.02,0.045168141800049855,65.28,3
proposed_countergan,disease_to_no_disease,64,0.97,1.0,0.04578103011999701,64.0,3
proposed_countergan,disease_to_no_disease,128,1.0,1.05,0.04765093265985342,67.2,3
proposed_countergan,disease_to_no_disease,256,1.0,1.02,0.04612061572999664,65.28,3
proposed_countergan,disease_to_no_disease,512,1.0,1.01,0.045774652369927935,64.64,3
proposed_countergan,no_disease_to_disease,64,1.0,1.0,0.045179540469980566,64.0,3
proposed_countergan,no_disease_to_disease,128,1.0,1.0,0.04512382908995278,64.0,3
