population,maximum_rounds,candidate_budget,query_number,returned,reference_valid_returned,returned_validity,conditional_returned_validity,valid_cfe_yield_at_k,completeness_at_k,coverage_at_1,full_k_success,proximity,sparsity,diversity,plausibility,plausibility_distance,plausibility_inlier_rate,target_data_support,local_surrogate_fidelity,fidelity,fidelity_oracle_evaluations,constraint_validity,mean_target_logit_margin,minimum_target_logit_margin,robust_validity,robust_cfe_fraction_95,robust_completeness_at_k,robust_full_k_success,changed_set_dice,runtime_seconds,generation_time_to_k_or_cap_seconds,time_to_full_k_seconds,time_per_returned_cfe_seconds,candidate_evaluations,candidate_throughput_per_second,rounds_used,k1_achieved,rounds_to_k1,rounds_to_k1_or_cap,candidates_to_k1,candidates_to_k1_or_cap,time_to_k1_seconds,time_to_k1_or_cap_seconds,k3_achieved,rounds_to_k3,rounds_to_k3_or_cap,candidates_to_k3,candidates_to_k3_or_cap,time_to_k3_seconds,time_to_k3_or_cap_seconds,k5_achieved,rounds_to_k5,rounds_to_k5_or_cap,candidates_to_k5,candidates_to_k5_or_cap,time_to_k5_seconds,time_to_k5_or_cap_seconds,k10_achieved,rounds_to_k10,rounds_to_k10_or_cap,candidates_to_k10,candidates_to_k10_or_cap,time_to_k10_seconds,time_to_k10_or_cap_seconds,group_sparsity,yield_noninferior,population_selection_score,selected_for_outer
32,32,1024,3.5,9.75,9.75,1.0,1.0,0.975,0.975,1.0,0.875,0.09305990021675825,0.6722222222222223,0.059170796535909176,0.353780154679939,0.353780154679939,0.746875,0.545625,0.9363344988344988,0.9363344988344988,79.0,1.0,0.41275011375546455,0.11716270539909601,0.9869791666666666,0.959375,0.9375,0.625,0.988175955988456,0.5469703813749902,0.5469703813749902,0.5579726314285186,0.05616564635937493,1024.0,1890.291037264884,32.0,1.0,6.375,6.375,204.0,204.0,0.08901799424984347,0.08901799424984347,1.0,6.5,6.5,208.0,208.0,0.09084271687493128,0.09084271687493128,1.0,7.125,7.125,228.0,228.0,0.10156198875006339,0.10156198875006339,0.875,6.714285714285714,9.875,214.85714285714286,316.0,0.10194877657132954,0.14794568937486474,0.6722222222222223,True,0.7066805340763596,False
64,16,1024,3.5,8.625,8.625,1.0,1.0,0.8625,0.8625,0.875,0.75,0.07823244375841958,0.7410934744268077,0.0644952617585659,0.3463260470611948,0.3463260470611948,0.6301587301587303,0.5866666666666667,0.9255411255411256,0.9255411255411256,69.875,1.0,0.4065123753888266,0.12259243854454585,0.9878306878306878,0.9698412698412698,0.8375,0.625,0.9875837742504409,0.34264368912499776,0.34264368912499776,0.37552702083333617,0.03624442338889259,1024.0,3109.0549408993575,16.0,0.875,2.2857142857142856,4.0,146.28571428571428,256.0,0.03908264399992082,0.06324745874985638,0.875,2.7142857142857144,4.375,173.71428571428572,280.0,0.04633423257135811,0.06959259874986401,0.875,3.0,4.625,192.0,296.0,0.050917009714274694,0.07360252874991602,0.75,3.0,6.25,192.0,400.0,0.05990878616679159,0.1059220166250725,0.7410934744268077,False,0.6580949766853762,False
128,8,1024,3.5,9.375,9.375,1.0,1.0,0.9375,0.9375,1.0,0.875,0.08167756674811244,0.6916666666666668,0.06579197244718671,0.3546623861301336,0.3546623861301336,0.7125,0.5900000000000001,0.9393939393939394,0.9393939393939394,79.125,1.0,0.33255375921726227,0.11972465552389622,0.9979166666666667,0.9875,0.925,0.75,0.9890325877825877,0.25267697612480333,0.25267697612480333,0.2698950395711758,0.026919579262482785,1024.0,4856.1596997813795,8.0,1.0,2.375,2.375,304.0,304.0,0.03968376249974881,0.03968376249974881,1.0,2.625,2.625,336.0,336.0,0.043871462749734746,0.043871462749734746,1.0,3.25,3.25,416.0,416.0,0.05553710437470727,0.05553710437470727,0.875,3.0,3.625,384.0,464.0,0.057579100571144536,0.06689636737473847,0.6916666666666668,False,0.6961197739032408,True
256,4,1024,3.5,7.875,7.875,1.0,1.0,0.7875,0.7875,0.875,0.75,0.07966750061937741,0.68994708994709,0.06958329890455518,0.3543622173919511,0.3543622173919511,0.7857142857142857,0.6352380952380952,0.9018759018759018,0.9018759018759018,69.125,1.0,0.2867903656193188,0.11698105931282043,0.9976190476190476,0.9857142857142858,0.775,0.625,0.9897732426303855,0.23481932612492074,0.23481932612492074,0.2917531900000843,0.02811377342855589,1024.0,7671.303887938664,4.0,0.875,1.4285714285714286,1.75,365.7142857142857,448.0,0.03207298628590901,0.03590777500016884,0.875,1.7142857142857142,2.0,438.85714285714283,512.0,0.03763888028580758,0.040777932250080084,0.75,1.3333333333333333,2.0,341.3333333333333,512.0,0.033045350833466124,0.040777932250080084,0.75,1.8333333333333333,2.375,469.3333333333333,608.0,0.053551804999945794,0.05615777287493984,0.68994708994709,False,0.6063559978179358,False
512,2,1024,3.5,7.0,7.0,1.0,1.0,0.7,0.7,0.75,0.625,0.07678333980341752,0.6938271604938272,0.07388557617863019,0.35278046902566196,0.35278046902566196,0.7166666666666667,0.64,0.8883277216610549,0.8883277216610549,59.0,1.0,0.39953821152448654,0.11715092882514,0.9972222222222222,0.9833333333333334,0.6875,0.5,0.9904056437389771,0.10420491612535443,0.10420491612535443,0.14699104200026342,0.013249338166704344,1024.0,16499.723318542885,2.0,0.75,1.1666666666666667,1.375,597.3333333333334,704.0,0.037801962833630874,0.03617357737527982,0.75,1.1666666666666667,1.375,597.3333333333334,704.0,0.037801962833630874,0.03617357737527982,0.75,1.1666666666666667,1.375,597.3333333333334,704.0,0.037801962833630874,0.03617357737527982,0.625,1.2,1.5,614.4,768.0,0.0528211368002303,0.04533045425023374,0.6938271604938272,False,0.5553506557362867,False
1024,1,1024,3.5,5.625,5.625,1.0,1.0,0.5625,0.5625,0.625,0.5,0.09929724931716918,0.6066666666666667,0.0739437073469162,0.3398613364496261,0.3398613364496261,0.54,0.804,0.8895622895622897,0.8895622895622897,48.75,1.0,0.5476674795150757,0.24558280706405639,1.0,1.0,0.5625,0.5,0.9937671957671957,0.04212502325015066,0.04212502325015066,0.059791945750021114,0.006469474020013877,1024.0,32616.767923830834,1.0,0.625,1.0,1.0,1024.0,1024.0,0.05622199839981477,0.042083137249846914,0.625,1.0,1.0,1024.0,1024.0,0.05622199839981477,0.042083137249846914,0.625,1.0,1.0,1024.0,1024.0,0.05622199839981477,0.042083137249846914,0.5,1.0,1.0,1024.0,1024.0,0.05974913549971461,0.042083137249846914,0.6066666666666667,False,0.4562979791363081,False
