split,rows,class_0,class_1,positive_prevalence,sum_check
outer_development_train,487675,454083,33592,0.06888193981647614,487675
inner_validation,121825,113430,8395,0.06891032218345988,121825
outer_test,152362,141868,10494,0.06887544138302201,152362
