method,candidate_budget,direction,outcome,size
proposed_countergan,128,no_disease_to_disease,partial_lt_k,70
proposed_countergan,256,disease_to_no_disease,full_k,3
proposed_countergan,256,disease_to_no_disease,no_valid_cfe,9
proposed_countergan,256,disease_to_no_disease,partial_lt_k,88
proposed_countergan,256,no_disease_to_disease,full_k,8
proposed_countergan,256,no_disease_to_disease,no_valid_cfe,28
proposed_countergan,256,no_disease_to_disease,partial_lt_k,64
proposed_countergan,512,disease_to_no_disease,full_k,60
proposed_countergan,512,disease_to_no_disease,no_valid_cfe,6
proposed_countergan,512,disease_to_no_disease,partial_lt_k,34
proposed_countergan,512,no_disease_to_disease,full_k,41
proposed_countergan,512,no_disease_to_disease,no_valid_cfe,26
proposed_countergan,512,no_disease_to_disease,partial_lt_k,33
proposed_countergan,1024,disease_to_no_disease,full_k,84
proposed_countergan,1024,disease_to_no_disease,no_valid_cfe,4
proposed_countergan,1024,disease_to_no_disease,partial_lt_k,12
proposed_countergan,1024,no_disease_to_disease,full_k,51
proposed_countergan,1024,no_disease_to_disease,no_valid_cfe,23
proposed_countergan,1024,no_disease_to_disease,partial_lt_k,26
proposed_dp_eps16_sparse_diverse,128,disease_to_no_disease,full_k,23
proposed_dp_eps16_sparse_diverse,128,disease_to_no_disease,no_valid_cfe,13
proposed_dp_eps16_sparse_diverse,128,disease_to_no_disease,partial_lt_k,64
proposed_dp_eps16_sparse_diverse,128,no_disease_to_disease,full_k,2
proposed_dp_eps16_sparse_diverse,128,no_disease_to_disease,no_valid_cfe,75
proposed_dp_eps16_sparse_diverse,128,no_disease_to_disease,partial_lt_k,23
proposed_dp_eps16_sparse_diverse,256,disease_to_no_disease,full_k,73
proposed_dp_eps16_sparse_diverse,256,disease_to_no_disease,no_valid_cfe,9
proposed_dp_eps16_sparse_diverse,256,disease_to_no_disease,partial_lt_k,18
proposed_dp_eps16_sparse_diverse,256,no_disease_to_disease,full_k,18
proposed_dp_eps16_sparse_diverse,256,no_disease_to_disease,no_valid_cfe,64
proposed_dp_eps16_sparse_diverse,256,no_disease_to_disease,partial_lt_k,18
proposed_dp_eps16_sparse_diverse,512,disease_to_no_disease,full_k,84
proposed_dp_eps16_sparse_diverse,512,disease_to_no_disease,no_valid_cfe,7
proposed_dp_eps16_sparse_diverse,512,disease_to_no_disease,partial_lt_k,9
proposed_dp_eps16_sparse_diverse,512,no_disease_to_disease,full_k,35
proposed_dp_eps16_sparse_diverse,512,no_disease_to_disease,no_valid_cfe,49
proposed_dp_eps16_sparse_diverse,512,no_disease_to_disease,partial_lt_k,16
proposed_dp_eps16_sparse_diverse,1024,disease_to_no_disease,full_k,90
proposed_dp_eps16_sparse_diverse,1024,disease_to_no_disease,no_valid_cfe,7
proposed_dp_eps16_sparse_diverse,1024,disease_to_no_disease,partial_lt_k,3
proposed_dp_eps16_sparse_diverse,1024,no_disease_to_disease,full_k,47
proposed_dp_eps16_sparse_diverse,1024,no_disease_to_disease,no_valid_cfe,32
proposed_dp_eps16_sparse_diverse,1024,no_disease_to_disease,partial_lt_k,21
proposed_dp_eps2_sparse_diverse,128,disease_to_no_disease,full_k,43
proposed_dp_eps2_sparse_diverse,128,disease_to_no_disease,no_valid_cfe,13
proposed_dp_eps2_sparse_diverse,128,disease_to_no_disease,partial_lt_k,44
proposed_dp_eps2_sparse_diverse,128,no_disease_to_disease,full_k,7
proposed_dp_eps2_sparse_diverse,128,no_disease_to_disease,no_valid_cfe,57
proposed_dp_eps2_sparse_diverse,128,no_disease_to_disease,partial_lt_k,36
proposed_dp_eps2_sparse_diverse,256,disease_to_no_disease,full_k,77
proposed_dp_eps2_sparse_diverse,256,disease_to_no_disease,no_valid_cfe,11
proposed_dp_eps2_sparse_diverse,256,disease_to_no_disease,partial_lt_k,12
proposed_dp_eps2_sparse_diverse,256,no_disease_to_disease,full_k,25
proposed_dp_eps2_sparse_diverse,256,no_disease_to_disease,no_valid_cfe,41
proposed_dp_eps2_sparse_diverse,256,no_disease_to_disease,partial_lt_k,34
proposed_dp_eps2_sparse_diverse,512,disease_to_no_disease,full_k,85
proposed_dp_eps2_sparse_diverse,512,disease_to_no_disease,no_valid_cfe,9
proposed_dp_eps2_sparse_diverse,512,disease_to_no_disease,partial_lt_k,6
proposed_dp_eps2_sparse_diverse,512,no_disease_to_disease,full_k,42
proposed_dp_eps2_sparse_diverse,512,no_disease_to_disease,no_valid_cfe,35
proposed_dp_eps2_sparse_diverse,512,no_disease_to_disease,partial_lt_k,23
proposed_dp_eps2_sparse_diverse,1024,disease_to_no_disease,full_k,88
proposed_dp_eps2_sparse_diverse,1024,disease_to_no_disease,no_valid_cfe,6
proposed_dp_eps2_sparse_diverse,1024,disease_to_no_disease,partial_lt_k,6
proposed_dp_eps2_sparse_diverse,1024,no_disease_to_disease,full_k,53
proposed_dp_eps2_sparse_diverse,1024,no_disease_to_disease,no_valid_cfe,30
proposed_dp_eps2_sparse_diverse,1024,no_disease_to_disease,partial_lt_k,17
proposed_dp_eps4_sparse_diverse,128,disease_to_no_disease,full_k,33
proposed_dp_eps4_sparse_diverse,128,disease_to_no_disease,no_valid_cfe,13
proposed_dp_eps4_sparse_diverse,128,disease_to_no_disease,partial_lt_k,54
proposed_dp_eps4_sparse_diverse,128,no_disease_to_disease,full_k,4
proposed_dp_eps4_sparse_diverse,128,no_disease_to_disease,no_valid_cfe,68
proposed_dp_eps4_sparse_diverse,128,no_disease_to_disease,partial_lt_k,28
proposed_dp_eps4_sparse_diverse,256,disease_to_no_disease,full_k,76
proposed_dp_eps4_sparse_diverse,256,disease_to_no_disease,no_valid_cfe,9
proposed_dp_eps4_sparse_diverse,256,disease_to_no_disease,partial_lt_k,15
proposed_dp_eps4_sparse_diverse,256,no_disease_to_disease,full_k,15
proposed_dp_eps4_sparse_diverse,256,no_disease_to_disease,no_valid_cfe,60
proposed_dp_eps4_sparse_diverse,256,no_disease_to_disease,partial_lt_k,25
proposed_dp_eps4_sparse_diverse,512,disease_to_no_disease,full_k,84
proposed_dp_eps4_sparse_diverse,512,disease_to_no_disease,no_valid_cfe,9
proposed_dp_eps4_sparse_diverse,512,disease_to_no_disease,partial_lt_k,7
proposed_dp_eps4_sparse_diverse,512,no_disease_to_disease,full_k,34
proposed_dp_eps4_sparse_diverse,512,no_disease_to_disease,no_valid_cfe,50
proposed_dp_eps4_sparse_diverse,512,no_disease_to_disease,partial_lt_k,16
proposed_dp_eps4_sparse_diverse,1024,disease_to_no_disease,full_k,88
proposed_dp_eps4_sparse_diverse,1024,disease_to_no_disease,no_valid_cfe,6
proposed_dp_eps4_sparse_diverse,1024,disease_to_no_disease,partial_lt_k,6
proposed_dp_eps4_sparse_diverse,1024,no_disease_to_disease,full_k,47
proposed_dp_eps4_sparse_diverse,1024,no_disease_to_disease,no_valid_cfe,30
proposed_dp_eps4_sparse_diverse,1024,no_disease_to_disease,partial_lt_k,23
proposed_dp_eps8_sparse_diverse,128,disease_to_no_disease,full_k,30
proposed_dp_eps8_sparse_diverse,128,disease_to_no_disease,no_valid_cfe,15
proposed_dp_eps8_sparse_diverse,128,disease_to_no_disease,partial_lt_k,55
proposed_dp_eps8_sparse_diverse,128,no_disease_to_disease,full_k,3
proposed_dp_eps8_sparse_diverse,128,no_disease_to_disease,no_valid_cfe,67
proposed_dp_eps8_sparse_diverse,128,no_disease_to_disease,partial_lt_k,30
proposed_dp_eps8_sparse_diverse,256,disease_to_no_disease,full_k,76
proposed_dp_eps8_sparse_diverse,256,disease_to_no_disease,no_valid_cfe,9
proposed_dp_eps8_sparse_diverse,256,disease_to_no_disease,partial_lt_k,15
proposed_dp_eps8_sparse_diverse,256,no_disease_to_disease,full_k,22
proposed_dp_eps8_sparse_diverse,256,no_disease_to_disease,no_valid_cfe,52
proposed_dp_eps8_sparse_diverse,256,no_disease_to_disease,partial_lt_k,26
proposed_dp_eps8_sparse_diverse,512,disease_to_no_disease,full_k,84
proposed_dp_eps8_sparse_diverse,512,disease_to_no_disease,no_valid_cfe,8
