population,candidate_cohort_seeds,timing_repetitions_total,profile_name,poly_modulus_degree,slot_count,slot_utilization,coeff_mod_bit_sizes,coeff_mod_total_bits,tc128_max_coeff_mod_bits,global_scale_bits,feature_ciphertexts_uploaded,logit_ciphertexts_downloaded,encryption_seconds_median,encryption_seconds_q25,encryption_seconds_q75,upload_serialization_seconds_median,upload_serialization_seconds_q25,upload_serialization_seconds_q75,server_deserialization_seconds_median,server_deserialization_seconds_q25,server_deserialization_seconds_q75,server_inference_seconds_per_round_median,server_inference_seconds_per_round_q25,server_inference_seconds_per_round_q75,download_serialization_seconds_median,download_serialization_seconds_q25,download_serialization_seconds_q75,decryption_seconds_median,decryption_seconds_q25,decryption_seconds_q75,client_total_seconds_per_round_median,client_total_seconds_per_round_q25,client_total_seconds_per_round_q75,server_total_seconds_per_round_median,server_total_seconds_per_round_q25,server_total_seconds_per_round_q75,total_latency_seconds_per_round_median,total_latency_seconds_per_round_q25,total_latency_seconds_per_round_q75,time_per_candidate_seconds_median,time_per_candidate_seconds_q25,time_per_candidate_seconds_q75,throughput_candidates_per_second_median,throughput_candidates_per_second_q25,throughput_candidates_per_second_q75,server_inference_throughput_candidates_per_second_median,server_inference_throughput_candidates_per_second_q25,server_inference_throughput_candidates_per_second_q75,upload_ciphertext_mb_median,upload_ciphertext_mb_q25,upload_ciphertext_mb_q75,download_ciphertext_mb_median,download_ciphertext_mb_q25,download_ciphertext_mb_q75,total_communication_mb_per_round_median,total_communication_mb_per_round_q25,total_communication_mb_per_round_q75,public_context_mb_one_time_median,public_context_mb_one_time_q25,public_context_mb_one_time_q75,peak_rss_mb_median,peak_rss_mb_q25,peak_rss_mb_q75,peak_rss_delta_mb_median,peak_rss_delta_mb_q25,peak_rss_delta_mb_q75,mean_abs_logit_error_median,mean_abs_logit_error_q25,mean_abs_logit_error_q75,max_abs_logit_error_median,max_abs_logit_error_q25,max_abs_logit_error_q75,plaintext_he_label_agreement_median,plaintext_he_label_agreement_q25,plaintext_he_label_agreement_q75,plaintext_he_margin_state_agreement_median,plaintext_he_margin_state_agreement_q25,plaintext_he_margin_state_agreement_q75,minimum_abs_plaintext_logit_median,minimum_abs_plaintext_logit_q25,minimum_abs_plaintext_logit_q75,all_repetitions_pass_gate
32,3,15,poly_n16384_scale40,16384,8192,0.00390625,"[50, 40, 40, 40, 40, 40, 50]",300,438,40,40,1,0.9318859479999446,0.9249128840001504,0.9443445569999085,0.6854900000007547,0.6799685004997968,0.6915153595001584,0.21056287200008228,0.2042329690001452,0.21503284500022346,78.66811746900021,78.52732422300028,78.93014374099994,0.001051594000273326,0.0010413285001504846,0.001176664000013261,0.0022522330000356305,0.00220223199994507,0.0022930584998448467,1.6213560559999678,1.6111170500000185,1.6441027129998247,78.87270296500014,78.7370844865003,79.14298356900008,80.50233779200016,80.35999981050065,80.77347508399998,2.515698056000005,2.5112499940781454,2.5241710963749995,0.3975039840790806,0.3961696594267321,0.3982082466239862,0.4067721591610458,0.40542185104929085,0.4075014871871356,48.99556,48.9949935,48.999333,0.235736,0.235697,0.2357415,49.231296,49.2306655,49.235088000000005,10.231922,10.230843,10.232679,1298.255872,1286.955008,1298.4442880000001,0.004096,0.004096,0.083968,0.00011759580120446634,0.0001157746153266667,0.0001773534813002903,0.0004985027699504485,0.00039366330977230746,0.0020830549562873557,1.0,1.0,1.0,1.0,1.0,1.0,0.18688887852622807,0.1293907768295307,0.24541480688729167,True
64,3,15,poly_n16384_scale40,16384,8192,0.0078125,"[50, 40, 40, 40, 40, 40, 50]",300,438,40,40,1,0.9515671399999519,0.9453818685001352,0.9604779009999902,0.6994648280001456,0.6861729750003178,0.7224314370000684,0.21131695200006106,0.20277490149987898,0.21476793650003856,78.78491781999946,78.51073037900005,80.74581314199986,0.0010708609997891472,0.0010480489999054043,0.0011673120000068593,0.0023302089998651354,0.002242713500095306,0.0024644935001560953,1.6640465240002413,1.6412623814998142,1.671608875000402,78.99854141299875,78.71246170099994,80.95632091949983,80.63507672599826,80.38254368450043,82.61997150949992,1.2599230738437228,1.2559772450703193,1.2909370548359362,0.7936992509782681,0.7746315914318505,0.7961928526102824,0.8123382212090557,0.7926111966385967,0.8151752741196838,48.996103,48.99411550000001,48.99771,0.235721,0.235695,0.2357515,49.231794,49.229837,49.23341,10.231922,10.230843,10.232679,1299.329024,1289.803776,1301.8112,0.004096,0.004096,0.31744,0.00015268628445287398,0.0001461164097876454,0.00015650020447643942,0.001908834117614333,0.0012799956894227194,0.0020834253579451456,1.0,1.0,1.0,1.0,1.0,1.0,0.18688887852622807,0.12640581386668603,0.24541480688729167,True
128,3,15,poly_n16384_scale40,16384,8192,0.015625,"[50, 40, 40, 40, 40, 40, 50]",300,438,40,40,1,0.9915485999999873,0.9848114944999224,1.009186644000124,0.6876311089999945,0.6840820505000238,0.7043710569998893,0.2084828050001306,0.20620134600005713,0.21354357750010422,78.61829378199945,78.40737019450012,78.94564917000025,0.0010695589999158983,0.0010400800000525123,0.001123871999993753,0.0022808260000601877,0.0021826654999586026,0.0024009879998629913,1.6992301549994409,1.6725382800007083,1.7079113374998087,78.82126899299965,78.61759638699982,79.1630569890001,80.53751384499901,80.30990266700053,80.84575629999995,0.6291993269140548,0.6274211145859416,0.6316074710937496,1.5893214713126904,1.5832727922896515,1.5938259352847544,1.6281197904768958,1.6213829693078223,1.6324995946627072,48.995792,48.995031,48.997511,0.235719,0.235708,0.2357435,49.231507,49.230716,49.233252,10.231922,10.230843,10.232679,1301.8112,1293.369344,1303.515136,0.004096,0.004096,0.004096,0.00015091818628557257,0.00014899058620309919,0.00018143457112050534,0.002084014443298088,0.001909085767820784,0.0022526297648468585,1.0,1.0,1.0,1.0,1.0,1.0,0.12241589315629059,0.10361773222539761,0.22604632651563705,True
256,3,15,poly_n16384_scale40,16384,8192,0.03125,"[50, 40, 40, 40, 40, 40, 50]",300,438,40,40,1,1.00199255500047,0.9900537044995872,1.0133370159996957,0.6987803080000958,0.685203736999938,0.7218910184997185,0.20790704599949095,0.20408459050031524,0.21640413950035509,78.65494443900025,78.39511365549993,79.7631472309995,0.0010444509998706053,0.0010304044999429607,0.0010918599998603895,0.0022648969998044777,0.0022312810001494654,0.002396506499962925,1.709971900999335,1.6847065409997413,1.7311297499995817,78.86856245499985,78.61032870600025,79.98168551050003,80.57418413600135,80.31724952150103,81.71297411149953,0.31474290678125527,0.3137392559433634,0.31919130512304505,3.177196303569106,3.132971706718444,3.187360434113082,3.254722278756897,3.2095543086881886,3.265509803479387,48.994576,48.9940115,48.997268000000005,0.235722,0.235707,0.2357375,49.230306,49.2297325,49.232996,10.231922,10.230843,10.232679,1301.819392,1293.57824,1303.519232,0.004096,0.004096,0.004096,0.00018544346418401548,0.00015747508893309856,0.00019264134022385846,0.0033893945554126503,0.0020841671559708175,0.0038807294119180824,1.0,1.0,1.0,1.0,1.0,1.0,0.10722005639593468,0.10361773222539761,0.12241589315629059,True
512,3,15,poly_n16384_scale40,16384,8192,0.0625,"[50, 40, 40, 40, 40, 40, 50]",300,438,40,40,1,0.9922676939995654,0.9802145910002764,0.9993688590000147,0.6852587339999445,0.681649628500054,0.6929965429999356,0.20934169100019062,0.20639985699972385,0.21207054999968022,78.67213314000037,78.3120354470002,79.04130435949992,0.0010561870003584772,0.001039698500335362,0.0010847424998701172,0.002280452999912086,0.0022488045001409773,0.0023508854999363393,1.6846882499999083,1.6668976750008824,1.7036236305002603,78.8792295889998,78.51843530399992,79.25167211849976,80.56391783899971,80.18842081199978,80.9802838659989,0.15735140202929632,0.15661800939843706,0.1581646169257791,6.355202350302643,6.322526616493157,6.3849780256189215,6.508022339865559,6.477626063242626,6.537967019390405,48.993694,48.9930385,48.995926,0.235748,0.235726,0.235761,49.229436,49.228797,49.231708499999996,10.231922,10.230843,10.232679,1301.819392,1293.90592,1303.523328,0.004096,0.004096,0.004096,0.00018025435277665267,0.00015544725781260519,0.00020198317220103916,0.003635985185297841,0.0023070377603673364,0.003880624707690572,1.0,1.0,1.0,1.0,1.0,1.0,0.10361773222539761,0.10269041386114947,0.10722005639593468,True
