method,method_label,candidate_budget,direction,difficulty_stratum,n_factuals,valid_cfe_yield_at_k_mean,valid_cfe_yield_at_k_std,valid_cfe_yield_at_k_median,valid_cfe_yield_at_k_q25,valid_cfe_yield_at_k_q75,coverage_at_1_mean,coverage_at_1_std,coverage_at_1_median,coverage_at_1_q25,coverage_at_1_q75,full_k_success_mean,full_k_success_std,full_k_success_median,full_k_success_q25,full_k_success_q75,robust_completeness_at_k_mean,robust_completeness_at_k_std,robust_completeness_at_k_median,robust_completeness_at_k_q25,robust_completeness_at_k_q75,robust_full_k_success_mean,robust_full_k_success_std,robust_full_k_success_median,robust_full_k_success_q25,robust_full_k_success_q75,proximity_mean,proximity_std,proximity_median,proximity_q25,proximity_q75,sparsity_mean,sparsity_std,sparsity_median,sparsity_q25,sparsity_q75,group_sparsity_mean,group_sparsity_std,group_sparsity_median,group_sparsity_q25,group_sparsity_q75,diversity_mean,diversity_std,diversity_median,diversity_q25,diversity_q75,plausibility_mean,plausibility_std,plausibility_median,plausibility_q25,plausibility_q75,plausibility_distance_mean,plausibility_distance_std,plausibility_distance_median,plausibility_distance_q25,plausibility_distance_q75,plausibility_inlier_rate_mean,plausibility_inlier_rate_std,plausibility_inlier_rate_median,plausibility_inlier_rate_q25,plausibility_inlier_rate_q75,target_data_support_mean,target_data_support_std,target_data_support_median,target_data_support_q25,target_data_support_q75,local_surrogate_fidelity_mean,local_surrogate_fidelity_std,local_surrogate_fidelity_median,local_surrogate_fidelity_q25,local_surrogate_fidelity_q75,fidelity_mean,fidelity_std,fidelity_median,fidelity_q25,fidelity_q75,changed_set_dice_mean,changed_set_dice_std,changed_set_dice_median,changed_set_dice_q25,changed_set_dice_q75,constraint_validity_mean,constraint_validity_std,constraint_validity_median,constraint_validity_q25,constraint_validity_q75,mean_target_logit_margin_mean,mean_target_logit_margin_std,mean_target_logit_margin_median,mean_target_logit_margin_q25,mean_target_logit_margin_q75,generation_time_to_k_or_cap_seconds_mean,generation_time_to_k_or_cap_seconds_std,generation_time_to_k_or_cap_seconds_median,generation_time_to_k_or_cap_seconds_q25,generation_time_to_k_or_cap_seconds_q75,candidate_evaluations_mean,candidate_evaluations_std,candidate_evaluations_median,candidate_evaluations_q25,candidate_evaluations_q75,rounds_used_mean,rounds_used_std,rounds_used_median,rounds_used_q25,rounds_used_q75
countergan_one_shot,CounterGAN one-shot,64,disease_to_no_disease,high_confidence,33.0,0.706060606060606,0.2783201775152517,0.8,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.4787135538781691,0.0,0.0,1.0,0.6272727272727272,0.30646444254669175,0.7,0.3,0.9,0.21212121212121213,0.4151487502672805,0.0,0.0,0.0,0.10906211738333557,0.03181449857896252,0.10530996322631836,0.08175695687532425,0.1259315460920334,0.13958834375501045,0.05370676825734476,0.14444444444444446,0.10000000000000005,0.17777777777777776,0.13958834375501045,0.05370676825734476,0.14444444444444446,0.10000000000000005,0.17777777777777776,0.028625446964393963,0.0069969037922444945,0.028622174635529518,0.02506447769701481,0.033012811094522476,0.47743326610209585,0.10273726624551195,0.4430817830568535,0.4179427022098741,0.5223214313469781,0.47743326610209585,0.10273726624551195,0.4430817830568535,0.4179427022098741,0.5223214313469781,0.3434343434343434,0.347128078094667,0.25,0.0,0.6666666666666666,0.05737373737373738,0.13139081751632964,0.0,0.0,0.025,0.8751670172777801,0.06835987984685692,0.8846153846153846,0.8181818181818182,0.9230769230769231,0.8751670172777801,0.06835987984685692,0.8846153846153846,0.8181818181818182,0.9230769230769231,0.9726332999560042,0.012146940354102896,0.9734169980498522,0.9632887928024886,0.9812870803847881,1.0,0.0,1.0,1.0,1.0,4.358743086005703,2.6688958382659473,4.155982494354248,2.135835647583008,6.00734806060791,0.04698257533307311,0.005344580260971245,0.04560477499944682,0.04509631799919589,0.04683480799940298,64.0,0.0,64.0,64.0,64.0,1.0,0.0,1.0,1.0,1.0
countergan_one_shot,CounterGAN one-shot,64,disease_to_no_disease,medium_confidence,33.0,0.793939393939394,0.26802447875543234,1.0,0.6,1.0,1.0,0.0,1.0,1.0,1.0,0.5151515151515151,0.5075192189225524,1.0,0.0,1.0,0.7121212121212122,0.28146666738440784,0.7,0.5,1.0,0.36363636363636365,0.4885042104591972,0.0,0.0,1.0,0.10427340210387201,0.03126531005814247,0.09857296943664551,0.07846327126026154,0.13187412917613983,0.15955387205387206,0.061647158684021174,0.16666666666666669,0.11111111111111113,0.20555555555555555,0.15955387205387206,0.061647158684021174,0.16666666666666669,0.11111111111111113,0.20555555555555555,0.03159306813595873,0.006827541812068453,0.02895718440413475,0.025646716356277466,0.03896944969892502,0.43298801231114026,0.08363022936087268,0.4172630307578783,0.3749981587776277,0.4663876402089356,0.43298801231114026,0.08363022936087268,0.4172630307578783,0.3749981587776277,0.4663876402089356,0.2841510341510342,0.3836841042585545,0.0,0.0,0.5555555555555556,0.20883838383838382,0.30774482010025933,0.0,0.0,0.4,0.8819962343473315,0.06943958401460423,0.8787878787878788,0.8181818181818182,0.9393939393939394,0.8819962343473315,0.06943958401460423,0.8787878787878788,0.8181818181818182,0.9393939393939394,0.9706531828398739,0.013120163501686205,0.9712623608830505,0.9629952937516897,0.9820788530465949,1.0,0.0,1.0,1.0,1.0,4.972756356904001,2.535880221378675,4.8500566482543945,3.349550247192383,6.353889465332031,0.04537921118172204,0.0015358920346178642,0.045767518000502605,0.04418862700003956,0.04670463599904906,64.0,0.0,64.0,64.0,64.0,1.0,0.0,1.0,1.0,1.0
countergan_one_shot,CounterGAN one-shot,64,disease_to_no_disease,near_boundary,34.0,0.9117647058823529,0.16286210170301432,1.0,0.8250000000000001,1.0,1.0,0.0,1.0,1.0,1.0,0.7058823529411765,0.4624972900628804,1.0,0.0,1.0,0.85,0.2177710780251648,1.0,0.8,1.0,0.5588235294117647,0.5039947372613782,1.0,0.0,1.0,0.08849682680824224,0.027914865583361502,0.07463587448000908,0.0651837345212698,0.10637372173368931,0.20381263616557735,0.06796431032660241,0.2222222222222222,0.16805555555555557,0.25,0.20381263616557735,0.06796431032660241,0.2222222222222222,0.16805555555555557,0.25,0.033063777448499906,0.006034765022410497,0.03128179349005222,0.028177660424262285,0.0391823947429657,0.40718366993741606,0.07216066530383985,0.3874039952818665,0.35607317104275127,0.46357096253818675,0.40718366993741606,0.07216066530383985,0.3874039952818665,0.35607317104275127,0.46357096253818675,0.18823529411764706,0.35404776760612483,0.0,0.0,0.11875,0.2516993464052288,0.3572331514939631,0.04250000000000001,0.0,0.34,0.8250491338726631,0.056205863554098394,0.8473193473193473,0.7878787878787878,0.8720538720538721,0.8250491338726631,0.056205863554098394,0.8473193473193473,0.7878787878787878,0.8720538720538721,0.958551524415971,0.018159521716243972,0.9594593902603512,0.9460046584438764,0.972069259498921,1.0,0.0,1.0,1.0,1.0,5.681883594569038,2.7628389367062125,5.222562789916992,4.353262305259705,7.171480894088745,0.044624913264669885,0.0015727351409377257,0.04460730649998368,0.04342421350042969,0.045853682749338986,64.0,0.0,64.0,64.0,64.0,1.0,0.0,1.0,1.0,1.0
countergan_one_shot,CounterGAN one-shot,64,no_disease_to_disease,high_confidence,33.0,0.9757575757575758,0.07084447327730937,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.8787878787878788,0.3314339826398082,1.0,1.0,1.0,0.9727272727272728,0.07190587281616535,1.0,1.0,1.0,0.8484848484848485,0.3641095406272095,1.0,1.0,1.0,0.11927408318627965,0.021770280952426502,0.11716341972351074,0.11206889152526855,0.12934646010398865,0.16290016567794346,0.05968296153065667,0.15555555555555553,0.11805555555555557,0.21111111111111108,0.16290016567794346,0.05968296153065667,0.15555555555555553,0.11805555555555557,0.21111111111111108,0.03792947192083706,0.006538714270481838,0.03627994284033775,0.032611183822155,0.041991181671619415,0.4502424554367772,0.07807409573312489,0.42972162856399915,0.37508796926433197,0.5097149779984644,0.4502424554367772,0.07807409573312489,0.42972162856399915,0.37508796926433197,0.5097149779984644,0.045454545454545456,0.10633352332081439,0.0,0.0,0.0,0.9975757575757577,0.008302975005345605,1.0,1.0,1.0,0.8733140422795596,0.07466450533367604,0.8787878787878788,0.8484848484848485,0.9393939393939394,0.8733140422795596,0.07466450533367604,0.8787878787878788,0.8484848484848485,0.9393939393939394,0.9714548145627528,0.012718165896978485,0.9747062220489088,0.9630158971014844,0.980538795980269,1.0,0.0,1.0,1.0,1.0,7.85327758211078,2.6372904869341927,8.001193046569824,6.643433570861816,9.356110572814941,0.04520043984843086,0.0018939217944394138,0.04503259799821535,0.043657879999955185,0.04625404499893193,64.0,0.0,64.0,64.0,64.0,1.0,0.0,1.0,1.0,1.0
countergan_one_shot,CounterGAN one-shot,64,no_disease_to_disease,medium_confidence,33.0,0.9696969696969697,0.08833476270999031,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.8787878787878788,0.3314339826398082,1.0,1.0,1.0,0.9666666666666667,0.08897565210026095,1.0,1.0,1.0,0.8484848484848485,0.36410954062720946,1.0,1.0,1.0,0.11585746434601871,0.020431072333131597,0.11672881990671158,0.09965440630912781,0.1340865194797516,0.17637485970819305,0.06290863124741439,0.1597222222222222,0.13333333333333336,0.21666666666666665,0.17637485970819305,0.06290863124741439,0.1597222222222222,0.13333333333333336,0.21666666666666665,0.039209302684122864,0.007338072586741375,0.0398770272731781,0.03292270377278328,0.04259611666202545,0.4313338271865954,0.060650472417785345,0.4495506680656576,0.3926886681873577,0.4677852354737679,0.4313338271865954,0.060650472417785345,0.4495506680656576,0.3926886681873577,0.4677852354737679,0.06666666666666667,0.14930394055974103,0.0,0.0,0.0,0.9957575757575757,0.011997474481714615,1.0,1.0,1.0,0.8819115788812759,0.059343608825489565,0.8787878787878788,0.8484848484848485,0.9090909090909091,0.8819115788812759,0.059343608825489565,0.8787878787878788,0.8484848484848485,0.9090909090909091,0.9695730667384038,0.012996800119487966,0.9747958754417754,0.9630512062640152,0.9784978277259938,1.0,0.0,1.0,1.0,1.0,7.695293520436143,2.4733706406426275,8.155972480773926,6.76467752456665,9.052743911743164,0.045424113575791125,0.004993494067046385,0.04407620100027998,0.04314677500042308,0.045754902999760816,64.0,0.0,64.0,64.0,64.0,1.0,0.0,1.0,1.0,1.0
countergan_one_shot,CounterGAN one-shot,64,no_disease_to_disease,near_boundary,34.0,0.9794117647058823,0.06409941031594632,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.8823529411764706,0.32703497008386456,1.0,1.0,1.0,0.9794117647058823,0.06409941031594632,1.0,1.0,1.0,0.8823529411764706,0.32703497008386456,1.0,1.0,1.0,0.11773538896266152,0.018910856932807873,0.11372600123286247,0.10214422829449177,0.13461024314165115,0.15205999066293185,0.052909462008567415,0.15462962962962962,0.11388888888888891,0.18194444444444446,0.15205999066293185,0.052909462008567415,0.15462962962962962,0.11388888888888891,0.18194444444444446,0.03716126917039647,0.006101576254517842,0.03957443684339523,0.03209315054118633,0.04137830529361963,0.4558037917249312,0.0742510817135407,0.47079501272811686,0.43058797879570876,0.5102742358298672,0.4558037917249312,0.0742510817135407,0.47079501272811686,0.43058797879570876,0.5102742358298672,0.008823529411764707,0.03788057036804224,0.0,0.0,0.0,0.998235294117647,0.007576114073608442,1.0,1.0,1.0,0.8271859648127395,0.0673023902157705,0.8181818181818182,0.7878787878787878,0.8712121212121212,0.8271859648127395,0.0673023902157705,0.8181818181818182,0.7878787878787878,0.8712121212121212,0.9753092115702441,0.009550792410887564,0.9739882519092569,0.9702380721278439,0.982457157880884,1.0,0.0,1.0,1.0,1.0,8.265864919213687,2.3673509564526425,9.02590799331665,6.08724057674408,10.122063159942627,0.04488440085301323,0.0021322028501304024,0.04449784600001294,0.04373770350002815,0.045782254250752885,64.0,0.0,64.0,64.0,64.0,1.0,0.0,1.0,1.0,1.0
countergan_one_shot,CounterGAN one-shot,128,disease_to_no_disease,high_confidence,33.0,0.7727272727272726,0.2695745806737991,0.9,0.6,1.0,1.0,0.0,1.0,1.0,1.0,0.42424242424242425,0.5018903659106633,0.0,0.0,1.0,0.7000000000000001,0.30310889132455343,0.7,0.5,1.0,0.3333333333333333,0.47871355387816905,0.0,0.0,1.0,0.10828251572269382,0.030769936579852265,0.10420801490545273,0.07984476536512375,0.12462262809276581,0.15313251563251565,0.06242275492262403,0.1574074074074074,0.12777777777777782,0.19444444444444448,0.15313251563251565,0.06242275492262403,0.1574074074074074,0.12777777777777782,0.19444444444444448,0.028944895235878048,0.007183065196292021,0.029440393671393394,0.026674330234527588,0.0322006531059742,0.4746674067502377,0.10252341124564801,0.444302806928815,0.420712246156964,0.5106288434965005,0.4746674067502377,0.10252341124564801,0.444302806928815,0.420712246156964,0.5106288434965005,0.34605579605579606,0.3513274598802444,0.3,0.0,0.6666666666666666,0.05589225589225589,0.15604894097381683,0.0,0.0,0.0,0.9004784332893007,0.0718997462932773,0.9090909090909091,0.8787878787878788,0.9393939393939394,0.9004784332893007,0.0718997462932773,0.9090909090909091,0.8787878787878788,0.9393939393939394,0.971487973458442,0.012970707412873424,0.9719803698771025,0.966213717430347,0.9763880907113073,1.0,0.0,1.0,1.0,1.0,4.2047877275582515,2.4710569010958934,3.638782501220703,2.5280563831329346,5.162924766540527,0.04819262342425645,0.0025021462156142433,0.048114732999238186,0.046465463001368335,0.04939996499888366,128.0,0.0,128.0,128.0,128.0,1.0,0.0,1.0,1.0,1.0
countergan_one_shot,CounterGAN one-shot,128,disease_to_no_disease,medium_confidence,33.0,0.8606060606060606,0.24230584229877997,1.0,0.7,1.0,1.0,0.0,1.0,1.0,1.0,0.7272727272727273,0.4522670168666456,1.0,0.0,1.0,0.790909090909091,0.25904106378578806,1.0,0.6,1.0,0.5151515151515151,0.5075192189225524,1.0,0.0,1.0,0.10127742091814677,0.030678737724375595,0.09488102048635483,0.07246546447277069,0.12407512962818146,0.17779781946448614,0.06528960475349693,0.17222222222222222,0.1166666666666667,0.23888888888888887,0.17779781946448614,0.06528960475349693,0.17222222222222222,0.1166666666666667,0.23888888888888887,0.03264766400962165,0.006731847045611688,0.03147294372320175,0.027295920997858047,0.03876005485653877,0.4339817967678217,0.0789165534746804,0.42034834189672887,0.37754585254262973,0.4710809869064831,0.4339817967678217,0.0789165534746804,0.42034834189672887,0.37754585254262973,0.4710809869064831,0.2696969696969697,0.36183978540651135,0.1,0.0,0.4,0.2130880230880231,0.31801436545931977,0.02,0.0,0.3333333333333333,0.8770383415106507,0.07223857947398574,0.8787878787878788,0.8484848484848485,0.9090909090909091,0.8770383415106507,0.07223857947398574,0.8787878787878788,0.8484848484848485,0.9090909090909091,0.9678484631080394,0.012293487423469316,0.9690460794700393,0.961877764193041,0.977753216389195,1.0,0.0,1.0,1.0,1.0,4.913662021810358,2.5428441334113523,4.515408515930176,3.2671380043029785,6.0805158615112305,0.047127965151544646,0.002685683146027719,0.046618076999948244,0.04511954499866988,0.048202835001575295,128.0,0.0,128.0,128.0,128.0,1.0,0.0,1.0,1.0,1.0
countergan_one_shot,CounterGAN one-shot,128,disease_to_no_disease,near_boundary,34.0,0.9558823529411765,0.11062132095053545,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.8235294117647058,0.3869529949759475,1.0,1.0,1.0,0.888235294117647,0.18871929753480984,1.0,0.9,1.0,0.6176470588235294,0.49327021805638166,1.0,0.0,1.0,0.08608806746847489,0.02941891247147507,0.07249974459409714,0.06335261277854443,0.10412120260298252,0.24046840958605664,0.08747012667435416,0.24999999999999997,0.21805555555555553,0.29305555555555557,0.24046840958605664,0.08747012667435416,0.24999999999999997,0.21805555555555553,0.29305555555555557,0.03379913972800269,0.006525296742016881,0.03088525030761957,0.028400288429111242,0.04029807075858116,0.40740187765559926,0.0730554157676189,0.3832206611745086,0.35701478105745865,0.4636739477565971,0.40740187765559926,0.0730554157676189,0.3832206611745086,0.35701478105745865,0.4636739477565971,0.1823529411764706,0.36220753153431023,0.0,0.0,0.0,0.234640522875817,0.3562149263351772,0.03,0.0,0.35500000000000004,0.8344495824211849,0.06794184964388403,0.8484848484848485,0.8181818181818182,0.8787878787878788,0.8344495824211849,0.06794184964388403,0.8484848484848485,0.8181818181818182,0.8787878787878788,0.9545398488762862,0.021920778613305776,0.9537387671195261,0.9448698427774054,0.9667277315452568,1.0,0.0,1.0,1.0,1.0,5.386575548087849,2.7127406485505037,4.544158697128296,3.8855044841766357,6.250870943069458,0.04575358964706645,0.0022368827635191836,0.04515182249951977,0.04402064575037912,0.047360593749772306,128.0,0.0,128.0,128.0,128.0,1.0,0.0,1.0,1.0,1.0
countergan_one_shot,CounterGAN one-shot,128,no_disease_to_disease,high_confidence,33.0,0.9939393939393939,0.024230584229878022,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9393939393939394,0.24230584229877988,1.0,1.0,1.0,0.9848484848484849,0.04416738135499517,1.0,1.0,1.0,0.8787878787878788,0.3314339826398085,1.0,1.0,1.0,0.11783736650690887,0.02182362308695368,0.11566712707281113,0.1085793524980545,0.1289893537759781,0.17658062102506547,0.061575802791789,0.16111111111111112,0.12962962962962965,0.22777777777777777,0.17658062102506547,0.061575802791789,0.16111111111111112,0.12962962962962965,0.22777777777777777,0.038672920034238785,0.00763051259600319,0.03742707148194313,0.03303832188248634,0.04072931408882141,0.4468063919436366,0.07632174529455701,0.43308673039830314,0.3849994778637008,0.5033067767679577,0.4468063919436366,0.07632174529455701,0.43308673039830314,0.3849994778637008,0.5033067767679577,0.06060606060606061,0.1248483929096455,0.0,0.0,0.0,0.9975757575757577,0.013926212476455802,1.0,1.0,1.0,0.8780532598714418,0.061564534137269096,0.8787878787878788,0.8484848484848485,0.9090909090909091,0.8780532598714418,0.061564534137269096,0.8787878787878788,0.8484848484848485,0.9090909090909091,0.9689528034596916,0.011659390961471675,0.9703251083910824,0.9589661412105794,0.9782835094549499,1.0,0.0,1.0,1.0,1.0,7.800845940907796,2.5531857778732596,8.528886795043945,6.656289577484131,9.757672309875488,0.04568670166664753,0.0020686769790206395,0.04545239899925946,0.04432964399893535,0.04633173000001989,128.0,0.0,128.0,128.0,128.0,1.0,0.0,1.0,1.0,1.0
