method,method_label,candidate_budget,metric,equal_direction_macro_mean,clustered_bootstrap_ci95_low,clustered_bootstrap_ci95_high,n_factuals
countergan_one_shot,CounterGAN one-shot,256,changed_set_dice,0.9640728381383441,0.9612810161344866,0.9664912677191784,200
countergan_one_shot,CounterGAN one-shot,256,constraint_validity,1.0,1.0,1.0,200
countergan_one_shot,CounterGAN one-shot,256,mean_target_logit_margin,6.19767486512661,5.841103637233377,6.5416172075122585,200
countergan_one_shot,CounterGAN one-shot,256,generation_time_to_k_or_cap_seconds,0.04875399677495352,0.0483416731036931,0.04917720793143087,200
countergan_one_shot,CounterGAN one-shot,256,candidate_evaluations,256.0,256.0,256.0,200
countergan_one_shot,CounterGAN one-shot,256,rounds_used,1.0,1.0,1.0,200
countergan_one_shot,CounterGAN one-shot,512,valid_cfe_yield_at_k,0.972,0.9577375,0.9855,200
countergan_one_shot,CounterGAN one-shot,512,coverage_at_1,1.0,1.0,1.0,200
countergan_one_shot,CounterGAN one-shot,512,full_k_success,0.9199999999999999,0.89,0.95,200
countergan_one_shot,CounterGAN one-shot,512,robust_completeness_at_k,0.9195,0.8967375000000001,0.9370249999999999,200
countergan_one_shot,CounterGAN one-shot,512,robust_full_k_success,0.75,0.68975,0.8026249999999999,200
countergan_one_shot,CounterGAN one-shot,512,proximity,0.10264540381729603,0.09806979715684429,0.10653681673249228,200
countergan_one_shot,CounterGAN one-shot,512,sparsity,0.22695293209876544,0.21812867890211643,0.23529973820546735,200
countergan_one_shot,CounterGAN one-shot,512,group_sparsity,0.22695293209876544,0.21562137070105822,0.23606803350970015,200
countergan_one_shot,CounterGAN one-shot,512,diversity,0.03424022271297872,0.03323068242939189,0.03488468609447591,200
countergan_one_shot,CounterGAN one-shot,512,plausibility,0.43840492242329365,0.42624330502591445,0.4508431904260228,200
countergan_one_shot,CounterGAN one-shot,512,plausibility_distance,0.43840492242329365,0.4268383713047115,0.44711788255087154,200
countergan_one_shot,CounterGAN one-shot,512,plausibility_inlier_rate,0.15143253968253967,0.11255664682539682,0.18428918650793646,200
countergan_one_shot,CounterGAN one-shot,512,target_data_support,0.5804,0.5538900000000001,0.61052,200
countergan_one_shot,CounterGAN one-shot,512,local_surrogate_fidelity,0.864664541078334,0.8536347593976903,0.8740335167546373,200
countergan_one_shot,CounterGAN one-shot,512,fidelity,0.864664541078334,0.8538324608820297,0.8751738083755324,200
countergan_one_shot,CounterGAN one-shot,512,changed_set_dice,0.9623696060646716,0.9594377301532448,0.9648481345372139,200
countergan_one_shot,CounterGAN one-shot,512,constraint_validity,1.0,1.0,1.0,200
countergan_one_shot,CounterGAN one-shot,512,mean_target_logit_margin,6.064569098353386,5.86686447006464,6.429918650746345,200
countergan_one_shot,CounterGAN one-shot,512,generation_time_to_k_or_cap_seconds,0.05293867345994385,0.052389106564464896,0.05354359519741968,200
countergan_one_shot,CounterGAN one-shot,512,candidate_evaluations,512.0,512.0,512.0,200
countergan_one_shot,CounterGAN one-shot,512,rounds_used,1.0,1.0,1.0,200
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,64,valid_cfe_yield_at_k,0.768,0.7307125000000001,0.8055249999999999,200
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,64,coverage_at_1,0.94,0.902375,0.967625,200
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,64,full_k_success,0.61,0.557125,0.6902499999999999,200
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,64,robust_completeness_at_k,0.6095,0.567925,0.6432875000000001,200
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,64,robust_full_k_success,0.095,0.06,0.12762499999999996,200
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,64,proximity,0.07706115202300928,0.0735100357201035,0.07956068038518159,200
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,64,sparsity,0.6206098835578002,0.6032146913079205,0.6338632992875181,200
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,64,group_sparsity,0.6206098835578002,0.6044182274130191,0.635261327185546,200
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,64,diversity,0.037799059600484644,0.036198741718883286,0.03914225785349581,200
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,64,plausibility,0.48021780755772436,0.46834480156182584,0.4917854409676164,200
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,64,plausibility_distance,0.48021780755772436,0.468395985869193,0.4908616227668715,200
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,64,plausibility_inlier_rate,0.11646572871572872,0.09330247113997113,0.1455608676046176,200
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,64,target_data_support,0.5460526515151515,0.528783731060606,0.5677465972222223,200
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,64,local_surrogate_fidelity,0.8314456093366751,0.8189376074211693,0.8393664083768315,200
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,64,fidelity,0.8314456093366751,0.8193414242497313,0.8418307309998141,200
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,64,changed_set_dice,0.9579083978623424,0.9546857180749473,0.9614017849268512,200
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,64,constraint_validity,1.0,1.0,1.0,200
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,64,mean_target_logit_margin,3.3976968356154185,3.178127844081683,3.663459675586359,200
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,64,generation_time_to_k_or_cap_seconds,0.23875877579506777,0.23547621682782255,0.24223677953888842,200
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,64,candidate_evaluations,64.0,64.0,64.0,200
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,64,rounds_used,1.0,1.0,1.0,200
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,128,valid_cfe_yield_at_k,0.9945,0.9892375,0.999,200
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,128,coverage_at_1,1.0,1.0,1.0,200
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,128,full_k_success,0.975,0.9550000000000001,0.99,200
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,128,robust_completeness_at_k,0.776,0.7562375000000001,0.797525,200
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,128,robust_full_k_success,0.155,0.11499999999999999,0.20262499999999997,200
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,128,proximity,0.07754927854984998,0.07501954877050593,0.08016562318988145,200
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,128,sparsity,0.663359126984127,0.6533845486111113,0.6747678819444445,200
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,128,group_sparsity,0.663359126984127,0.6511750000000001,0.6734496031746031,200
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,128,diversity,0.058073692806065086,0.05597761036269367,0.059669471499975764,200
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,128,plausibility,0.5386677991814581,0.5295241383182435,0.5521307673652559,200
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,128,plausibility_distance,0.5386677991814581,0.5286080240399419,0.5520990135302554,200
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,128,plausibility_inlier_rate,0.06725,0.05,0.08477499999999999,200
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,128,target_data_support,0.5417750000000001,0.527824375,0.55977625,200
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,128,local_surrogate_fidelity,0.8390820673579292,0.8303333534281808,0.8486560967767864,200
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,128,fidelity,0.8390820673579292,0.8297616801302145,0.8496600102483722,200
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,128,changed_set_dice,0.9511735206869798,0.9488617407160849,0.9539846716825862,200
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,128,constraint_validity,1.0,1.0,1.0,200
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,128,mean_target_logit_margin,4.586060257554054,4.344331198871135,4.897771582916378,200
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,128,generation_time_to_k_or_cap_seconds,0.48406160941000054,0.48081529379004895,0.4875778304090069,200
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,128,candidate_evaluations,128.0,128.0,128.0,200
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,128,rounds_used,2.0,2.0,2.0,200
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,256,valid_cfe_yield_at_k,1.0,1.0,1.0,200
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,256,coverage_at_1,1.0,1.0,1.0,200
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,256,full_k_success,1.0,1.0,1.0,200
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,256,robust_completeness_at_k,0.7850000000000001,0.7692375,0.8017625,200
