method,method_label,candidate_budget,metric,equal_direction_group_macro_mean,group_clustered_bootstrap_ci95_low,group_clustered_bootstrap_ci95_high,n_query_groups,cluster_semantics
countergan_one_shot,CounterGAN one-shot,256,coverage_at_1,1.0,1.0,1.0,8,held-out subject
countergan_one_shot,CounterGAN one-shot,256,full_k_success,0.8972832722832723,0.8198634004884006,0.9484088827838828,8,held-out subject
countergan_one_shot,CounterGAN one-shot,256,robust_completeness_at_k,0.9252609890109891,0.8899262820512821,0.9569041323260074,8,held-out subject
countergan_one_shot,CounterGAN one-shot,256,robust_full_k_success,0.7620497557997559,0.6587574404761904,0.8527743437118438,8,held-out subject
countergan_one_shot,CounterGAN one-shot,256,proximity,0.10599770734769398,0.09786189356174707,0.11350018795478323,8,held-out subject
countergan_one_shot,CounterGAN one-shot,256,sparsity,0.2073747594219999,0.18421061363176908,0.23473819036384136,8,held-out subject
countergan_one_shot,CounterGAN one-shot,256,group_sparsity,0.2073747594219999,0.18390136892842715,0.22696386210882738,8,held-out subject
countergan_one_shot,CounterGAN one-shot,256,diversity,0.0344420088238305,0.033010209676159946,0.03575532585993101,8,held-out subject
countergan_one_shot,CounterGAN one-shot,256,plausibility,0.4458098882890856,0.41533344835384733,0.47053175758745747,8,held-out subject
countergan_one_shot,CounterGAN one-shot,256,plausibility_distance,0.4458098882890856,0.41851905805884726,0.471165401531313,8,held-out subject
countergan_one_shot,CounterGAN one-shot,256,plausibility_inlier_rate,0.14149615826425035,0.06421032950967162,0.21205619015487426,8,held-out subject
countergan_one_shot,CounterGAN one-shot,256,target_data_support,0.5874550197609408,0.5313596611721613,0.6565351460582546,8,held-out subject
countergan_one_shot,CounterGAN one-shot,256,local_surrogate_fidelity,0.8677402105766909,0.8598711380562204,0.8767135247611815,8,held-out subject
countergan_one_shot,CounterGAN one-shot,256,fidelity,0.8677402105766909,0.8605484469469604,0.8756145702047253,8,held-out subject
countergan_one_shot,CounterGAN one-shot,256,changed_set_dice,0.9641132219019827,0.9584461237571306,0.9695487366829159,8,held-out subject
countergan_one_shot,CounterGAN one-shot,256,constraint_validity,1.0,1.0,1.0,8,held-out subject
countergan_one_shot,CounterGAN one-shot,256,mean_target_logit_margin,6.262645896750519,5.256794156969285,7.339205725684979,8,held-out subject
countergan_one_shot,CounterGAN one-shot,256,generation_time_to_k_or_cap_seconds,0.04864897440688218,0.04795535987628552,0.04930412100552422,8,held-out subject
countergan_one_shot,CounterGAN one-shot,256,candidate_evaluations,256.0,256.0,256.0,8,held-out subject
countergan_one_shot,CounterGAN one-shot,256,rounds_used,1.0,1.0,1.0,8,held-out subject
countergan_one_shot,CounterGAN one-shot,512,valid_cfe_yield_at_k,0.9763209706959707,0.9546630608974359,0.9964603365384616,8,held-out subject
countergan_one_shot,CounterGAN one-shot,512,coverage_at_1,1.0,1.0,1.0,8,held-out subject
countergan_one_shot,CounterGAN one-shot,512,full_k_success,0.931753663003663,0.8749318910256411,0.9886246565934066,8,held-out subject
countergan_one_shot,CounterGAN one-shot,512,robust_completeness_at_k,0.9277205433455433,0.8934119925213676,0.9607725122100123,8,held-out subject
countergan_one_shot,CounterGAN one-shot,512,robust_full_k_success,0.7730616605616605,0.6901615918803419,0.8689558531746029,8,held-out subject
countergan_one_shot,CounterGAN one-shot,512,proximity,0.10372126655793976,0.0947797266057311,0.11482557454631649,8,held-out subject
countergan_one_shot,CounterGAN one-shot,512,sparsity,0.2284876893321181,0.20064875776551122,0.25183914927447587,8,held-out subject
countergan_one_shot,CounterGAN one-shot,512,group_sparsity,0.2284876893321181,0.19997067091170515,0.25473447981291153,8,held-out subject
countergan_one_shot,CounterGAN one-shot,512,diversity,0.034594988308605135,0.033494288588640356,0.03607522472448284,8,held-out subject
countergan_one_shot,CounterGAN one-shot,512,plausibility,0.4443438135593745,0.4183260553338776,0.4739949323741344,8,held-out subject
countergan_one_shot,CounterGAN one-shot,512,plausibility_distance,0.4443438135593745,0.41860105913445395,0.4787113305630872,8,held-out subject
countergan_one_shot,CounterGAN one-shot,512,plausibility_inlier_rate,0.13827262945214072,0.05973985042735044,0.22640702861778988,8,held-out subject
countergan_one_shot,CounterGAN one-shot,512,target_data_support,0.585307668208984,0.5166571314102565,0.6669695958646616,8,held-out subject
countergan_one_shot,CounterGAN one-shot,512,local_surrogate_fidelity,0.8618765586248369,0.8516704882825484,0.8734963370930814,8,held-out subject
countergan_one_shot,CounterGAN one-shot,512,fidelity,0.8618765586248369,0.8505937242567989,0.875080003357929,8,held-out subject
countergan_one_shot,CounterGAN one-shot,512,changed_set_dice,0.961988411558452,0.956682790538152,0.9686029821096611,8,held-out subject
countergan_one_shot,CounterGAN one-shot,512,constraint_validity,1.0,1.0,1.0,8,held-out subject
countergan_one_shot,CounterGAN one-shot,512,mean_target_logit_margin,6.111942640592118,5.265194792801112,7.221920101287886,8,held-out subject
countergan_one_shot,CounterGAN one-shot,512,generation_time_to_k_or_cap_seconds,0.05285193601421674,0.051847812150710874,0.05391765531969803,8,held-out subject
countergan_one_shot,CounterGAN one-shot,512,candidate_evaluations,512.0,512.0,512.0,8,held-out subject
countergan_one_shot,CounterGAN one-shot,512,rounds_used,1.0,1.0,1.0,8,held-out subject
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,64,valid_cfe_yield_at_k,0.7713137812479918,0.6960574312383523,0.8492006066849817,8,held-out subject
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,64,coverage_at_1,0.9478708791208791,0.8967530906593407,0.9951923076923077,8,held-out subject
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,64,full_k_success,0.6066319645267013,0.4907061222768459,0.7414545377867745,8,held-out subject
