query_id,query_group_id,direction,difficulty_stratum,method,method_label,candidate_budget,valid_cfe_yield_at_k,coverage_at_1,full_k_success,robust_completeness_at_k,robust_full_k_success,proximity,sparsity,group_sparsity,diversity,plausibility,plausibility_distance,plausibility_inlier_rate,target_data_support,local_surrogate_fidelity,fidelity,changed_set_dice,constraint_validity,mean_target_logit_margin,generation_time_to_k_or_cap_seconds,candidate_evaluations,rounds_used
0,2,disease_to_no_disease,near_boundary,countergan_one_shot,CounterGAN one-shot,64,0.8,1.0,0.0,0.8,0.0,0.06291477382183075,0.2013888888888889,0.2013888888888889,0.0390375554561615,0.44133968435159027,0.44133968435159027,0.125,0.0,0.8461538461538461,0.8461538461538461,0.9560879628451822,1.0,2.7175724506378174,0.047589644999789016,64.0,1.0
0,2,disease_to_no_disease,near_boundary,countergan_one_shot,CounterGAN one-shot,128,0.8,1.0,0.0,0.8,0.0,0.06335257738828659,0.22222222222222224,0.22222222222222224,0.039300478994846344,0.4347868733474439,0.4347868733474439,0.0,0.0,0.7692307692307693,0.7692307692307693,0.9448115898545664,1.0,2.9847772121429443,0.047495140999672,128.0,1.0
0,2,disease_to_no_disease,near_boundary,countergan_one_shot,CounterGAN one-shot,256,1.0,1.0,1.0,1.0,1.0,0.07289956510066986,0.20555555555555555,0.20555555555555555,0.0386791005730629,0.4471674699445825,0.4471674699445825,0.2,0.0,0.7878787878787878,0.7878787878787878,0.9383976769384624,1.0,2.937864065170288,0.054530051999790885,256.0,1.0
0,2,disease_to_no_disease,near_boundary,countergan_one_shot,CounterGAN one-shot,512,1.0,1.0,1.0,0.9,0.0,0.05563618987798691,0.29444444444444445,0.29444444444444445,0.03397149592638016,0.435308380141347,0.435308380141347,0.0,0.0,0.8787878787878788,0.8787878787878788,0.9376049601267293,1.0,2.9713001251220703,0.05186238900023454,512.0,1.0
0,2,disease_to_no_disease,near_boundary,countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,64,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.159490201999688,64.0,1.0
0,2,disease_to_no_disease,near_boundary,countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,128,1.0,1.0,1.0,0.6,0.0,0.07404942810535431,0.7333333333333334,0.7333333333333334,0.06565944105386734,0.5965441848528588,0.5965441848528588,0.0,0.0,0.8484848484848485,0.8484848484848485,0.9591472416472417,1.0,4.071935176849365,0.41013479699995514,128.0,2.0
0,2,disease_to_no_disease,near_boundary,countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,256,1.0,1.0,1.0,0.9,0.0,0.05181993171572685,0.7611111111111112,0.7611111111111112,0.07607446610927582,0.5745414563407949,0.5745414563407949,0.0,0.04,0.8484848484848485,0.8484848484848485,0.9448953823953824,1.0,5.6953630447387695,0.9800883289999547,256.0,4.0
0,2,disease_to_no_disease,near_boundary,countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,512,1.0,1.0,1.0,0.9,0.0,0.052109718322753906,0.8388888888888889,0.8388888888888889,0.05279826745390892,0.5898033075857282,0.5898033075857282,0.0,0.0,0.7272727272727273,0.7272727272727273,0.9111444805194806,1.0,5.507214546203613,1.8983562600005826,512.0,8.0
0,2,disease_to_no_disease,near_boundary,dice_gradient_style,Custom DiCE-style gradient,64,0.1,1.0,0.0,0.0,0.0,0.017206627875566483,0.7777777777777778,0.7777777777777778,0.0,0.4747547797018638,0.4747547797018638,0.0,0.0,0.6153846153846154,0.6153846153846154,0.4996378621378621,1.0,0.16428136825561523,0.06742959399980464,64.0,1.0
0,2,disease_to_no_disease,near_boundary,dice_gradient_style,Custom DiCE-style gradient,128,0.1,1.0,0.0,0.1,0.0,0.03108028694987297,0.0,0.0,0.0,0.47333642953647315,0.47333642953647315,0.0,0.0,0.8846153846153846,0.8846153846153846,0.9676470588235293,1.0,3.9951798915863037,0.05720731400015211,128.0,1.0
