method,direction,n_factual_seed_rows,n_factuals,valid_cfe_yield_at_k,coverage_at_1,full_k_success,robust_yield_at_k,proximity,sparsity,diversity,runtime_seconds
official_dice_genetic,disease_to_no_disease,2,2,0.7,1.0,0.5,0.65,0.30279111862182617,0.018055555555555564,0.19330788776278496,4.412988308999047
official_dice_genetic,no_disease_to_disease,2,2,0.39999999999999997,1.0,0.0,0.39999999999999997,0.3870323747396469,0.05555555555555558,0.06642337888479233,3.4560681650000333
official_dice_random,disease_to_no_disease,2,2,0.30000000000000004,1.0,0.0,0.15000000000000002,0.0448315404355526,0.8263888888888888,0.041942279785871506,1.7493735099997139
official_dice_random,no_disease_to_disease,2,2,0.25,1.0,0.0,0.15000000000000002,0.04217288829386234,0.8472222222222222,0.026251615956425667,1.7462833150011647
wachter_style_native_350_steps,disease_to_no_disease,2,2,0.1,1.0,0.0,0.1,0.06510666012763977,0.3055555555555556,0.0,0.6913980059998721
wachter_style_native_350_steps,no_disease_to_disease,2,2,0.1,1.0,0.0,0.1,0.05222014989703894,0.3055555555555556,0.0,0.7161696769999253
