method,candidate_budget,direction,outcome,size
proposed_dp_eps2_sparse_diverse,512,no_disease_to_disease,full_k,100
proposed_dp_eps4_sparse_diverse,64,disease_to_no_disease,full_k,81
proposed_dp_eps4_sparse_diverse,64,disease_to_no_disease,no_valid_cfe,2
proposed_dp_eps4_sparse_diverse,64,disease_to_no_disease,partial_lt_k,17
proposed_dp_eps4_sparse_diverse,64,no_disease_to_disease,full_k,95
proposed_dp_eps4_sparse_diverse,64,no_disease_to_disease,partial_lt_k,5
proposed_dp_eps4_sparse_diverse,128,disease_to_no_disease,full_k,100
proposed_dp_eps4_sparse_diverse,128,no_disease_to_disease,full_k,100
proposed_dp_eps4_sparse_diverse,256,disease_to_no_disease,full_k,100
proposed_dp_eps4_sparse_diverse,256,no_disease_to_disease,full_k,100
proposed_dp_eps4_sparse_diverse,512,disease_to_no_disease,full_k,100
proposed_dp_eps4_sparse_diverse,512,no_disease_to_disease,full_k,100
proposed_dp_eps8_sparse_diverse,64,disease_to_no_disease,full_k,69
proposed_dp_eps8_sparse_diverse,64,disease_to_no_disease,no_valid_cfe,5
proposed_dp_eps8_sparse_diverse,64,disease_to_no_disease,partial_lt_k,26
proposed_dp_eps8_sparse_diverse,64,no_disease_to_disease,full_k,83
proposed_dp_eps8_sparse_diverse,64,no_disease_to_disease,no_valid_cfe,1
proposed_dp_eps8_sparse_diverse,64,no_disease_to_disease,partial_lt_k,16
proposed_dp_eps8_sparse_diverse,128,disease_to_no_disease,full_k,98
proposed_dp_eps8_sparse_diverse,128,disease_to_no_disease,partial_lt_k,2
proposed_dp_eps8_sparse_diverse,128,no_disease_to_disease,full_k,100
proposed_dp_eps8_sparse_diverse,256,disease_to_no_disease,full_k,100
proposed_dp_eps8_sparse_diverse,256,no_disease_to_disease,full_k,100
proposed_dp_eps8_sparse_diverse,512,disease_to_no_disease,full_k,100
proposed_dp_eps8_sparse_diverse,512,no_disease_to_disease,full_k,100
uniform_random,64,disease_to_no_disease,full_k,69
uniform_random,64,disease_to_no_disease,no_valid_cfe,2
uniform_random,64,disease_to_no_disease,partial_lt_k,29
