method,generator_training_seed,candidate_budget,direction,valid_cfe_yield_at_k,coverage_at_1,full_k_success,robust_completeness_at_k,robust_full_k_success,proximity,sparsity,diversity,plausibility,generation_time_to_k_or_cap_seconds,candidate_evaluations
proposed_dp_eps16_sparse_diverse,11.0,512,no_disease_to_disease,0.99,0.99,0.99,0.919,0.57,0.09448612304498451,0.584640522875817,0.0897595782322113,0.796475736475493,3.533570199740134,512.0
proposed_dp_eps2_sparse_diverse,11.0,64,disease_to_no_disease,0.87,0.91,0.84,0.799,0.54,0.14901457726955414,0.2598798493756477,0.04833218948608571,0.8529005380730849,0.3532773703901057,64.0
proposed_dp_eps2_sparse_diverse,11.0,64,no_disease_to_disease,0.968,0.98,0.96,0.9329999999999999,0.73,0.13867266536975392,0.2727962613616875,0.06745402298259492,0.7865454104453391,0.37925287003979974,64.0
proposed_dp_eps2_sparse_diverse,11.0,128,disease_to_no_disease,0.946,0.97,0.92,0.875,0.6,0.1484725937708137,0.3070634439342747,0.06728836356364575,0.8869733125443646,0.7606028675199741,128.0
proposed_dp_eps2_sparse_diverse,11.0,128,no_disease_to_disease,0.988,0.99,0.98,0.9570000000000001,0.76,0.13483924968074065,0.3326351752822341,0.07708563617985657,0.8002715455220014,0.8017994962098055,128.0
proposed_dp_eps2_sparse_diverse,11.0,256,disease_to_no_disease,0.9990000000000001,1.0,0.99,0.914,0.55,0.13822844095528125,0.39455882352941174,0.0788360806554556,0.9112872120011889,1.6139287951299957,256.0
proposed_dp_eps2_sparse_diverse,11.0,256,no_disease_to_disease,0.99,0.99,0.99,0.956,0.74,0.1266997718449795,0.41904337492572785,0.08316850692334801,0.8195526020654941,1.689111259599831,256.0
proposed_dp_eps2_sparse_diverse,11.0,512,disease_to_no_disease,1.0,1.0,1.0,0.878,0.38,0.12320080177858472,0.5134117647058823,0.09629661105573177,0.9390727783100427,3.3595423377099904,512.0
proposed_dp_eps2_sparse_diverse,11.0,512,no_disease_to_disease,0.99,0.99,0.99,0.941,0.62,0.11332597935365306,0.5215092097445039,0.08813066780567169,0.8493951709875185,3.5367227262801135,512.0
proposed_dp_eps4_sparse_diverse,11.0,64,disease_to_no_disease,0.87,0.94,0.83,0.8009999999999999,0.5,0.1374220537378433,0.24883336313248705,0.05031702076976604,0.8797659092676501,0.36947838376007897,64.0
