dataset,variant,attack,metric,mean,sd,ci95_low,ci95_high,attack_seeds
mimic,countergan,single_draw_loss_threshold,tpr_at_fpr_0.001,0.0021999999999999,0.0019321835661585,0.0011,0.0034,10
mimic,countergan,single_draw_loss_threshold,tpr_at_fpr_0.01,0.0093999999999999,0.0049710271686152,0.0066975,0.0124,10
mimic,countergan,single_draw_loss_threshold,tpr_at_fpr_0.05,0.0452999999999999,0.0092261705068908,0.0395999999999999,0.0506,10
mimic,dp_eps16,calibrated_gaussian_reconstruction_likelihood,evaluation_auc,0.50235855,0.007969183805447,0.4978328262500001,0.5072696437499999,10
mimic,dp_eps16,calibrated_gaussian_reconstruction_likelihood,evaluation_accuracy,0.5016999999999999,0.0074393846818432,0.49735,0.5060499999999999,10
mimic,dp_eps16,calibrated_gaussian_reconstruction_likelihood,evaluation_balanced_accuracy,0.5016999999999999,0.0074393846818432,0.49735,0.506,10
mimic,dp_eps16,calibrated_gaussian_reconstruction_likelihood,evaluation_membership_advantage,0.0034,0.0148787693636865,-0.0055999999999999,0.0118,10
mimic,dp_eps16,calibrated_gaussian_reconstruction_likelihood,evaluation_tpr_at_calibrated_threshold,0.4704,0.1890168716749322,0.3563925,0.5781049999999999,10
mimic,dp_eps16,calibrated_gaussian_reconstruction_likelihood,evaluation_fpr_at_calibrated_threshold,0.4669999999999999,0.1894254470761518,0.3608975,0.5729,10
mimic,dp_eps16,calibrated_gaussian_reconstruction_likelihood,tpr_at_fpr_0.001,0.0019,0.0018529256146249,0.0009,0.0031,10
mimic,dp_eps16,calibrated_gaussian_reconstruction_likelihood,tpr_at_fpr_0.01,0.0095,0.0036893239368631,0.0074,0.0117,10
mimic,dp_eps16,calibrated_gaussian_reconstruction_likelihood,tpr_at_fpr_0.05,0.0402,0.0090406489442591,0.0353,0.0457,10
mimic,dp_eps16,multi_draw_mean_objective,evaluation_auc,0.49237685,0.0135819124083997,0.48500391125,0.5006963124999999,10
mimic,dp_eps16,multi_draw_mean_objective,evaluation_accuracy,0.49155,0.0090598319827442,0.4867499999999999,0.49715,10
mimic,dp_eps16,multi_draw_mean_objective,evaluation_balanced_accuracy,0.49155,0.0090598319827442,0.4869,0.49745,10
mimic,dp_eps16,multi_draw_mean_objective,evaluation_membership_advantage,-0.0168999999999999,0.0181196639654885,-0.0261999999999999,-0.0051999999999999,10
mimic,dp_eps16,multi_draw_mean_objective,evaluation_tpr_at_calibrated_threshold,0.5218,0.2349689341168317,0.3825950000000001,0.6587999999999999,10
mimic,dp_eps16,multi_draw_mean_objective,evaluation_fpr_at_calibrated_threshold,0.5387,0.2310733649731184,0.4016999999999999,0.6731,10
mimic,dp_eps16,multi_draw_mean_objective,tpr_at_fpr_0.001,0.0013,0.0016363916944844,0.0005,0.0023,10
mimic,dp_eps16,multi_draw_mean_objective,tpr_at_fpr_0.01,0.007,0.0029439202887759,0.0052,0.0086,10
mimic,dp_eps16,multi_draw_mean_objective,tpr_at_fpr_0.05,0.0464,0.009697651491183,0.041,0.0524,10
mimic,dp_eps16,multi_draw_reconstruction,evaluation_auc,0.5040105500000001,0.0131595632578027,0.49628288,0.51170375125,10
mimic,dp_eps16,multi_draw_reconstruction,evaluation_accuracy,0.5018,0.009223159256278,0.49655,0.5073,10
mimic,dp_eps16,multi_draw_reconstruction,evaluation_balanced_accuracy,0.5018,0.0092231592562779,0.4963499999999999,0.50725,10
mimic,dp_eps16,multi_draw_reconstruction,evaluation_membership_advantage,0.0036,0.018446318512556,-0.007,0.0143024999999999,10
mimic,dp_eps16,multi_draw_reconstruction,evaluation_tpr_at_calibrated_threshold,0.4695999999999999,0.2024226601280927,0.348995,0.587405,10
mimic,dp_eps16,multi_draw_reconstruction,evaluation_fpr_at_calibrated_threshold,0.4659999999999999,0.203590001937445,0.3489975,0.5870049999999999,10
mimic,dp_eps16,multi_draw_reconstruction,tpr_at_fpr_0.001,0.0019,0.0013703203194062,0.0010999999999999,0.0027,10
mimic,dp_eps16,multi_draw_reconstruction,tpr_at_fpr_0.01,0.0082,0.0028596814119369,0.0065,0.0098,10
mimic,dp_eps16,multi_draw_reconstruction,tpr_at_fpr_0.05,0.0414,0.0063805259274695,0.0376,0.045,10
