population,maximum_rounds,candidate_budget,query_number,returned,reference_valid_returned,returned_validity,conditional_returned_validity,valid_cfe_yield_at_k,completeness_at_k,coverage_at_1,full_k_success,proximity,sparsity,diversity,plausibility,plausibility_distance,plausibility_inlier_rate,target_data_support,local_surrogate_fidelity,fidelity,fidelity_oracle_evaluations,constraint_validity,mean_target_logit_margin,minimum_target_logit_margin,robust_validity,robust_cfe_fraction_95,robust_completeness_at_k,robust_full_k_success,changed_set_dice,runtime_seconds,generation_time_to_k_or_cap_seconds,time_to_full_k_seconds,time_per_returned_cfe_seconds,candidate_evaluations,candidate_throughput_per_second,rounds_used,k1_achieved,rounds_to_k1,rounds_to_k1_or_cap,candidates_to_k1,candidates_to_k1_or_cap,time_to_k1_seconds,time_to_k1_or_cap_seconds,k3_achieved,rounds_to_k3,rounds_to_k3_or_cap,candidates_to_k3,candidates_to_k3_or_cap,time_to_k3_seconds,time_to_k3_or_cap_seconds,k5_achieved,rounds_to_k5,rounds_to_k5_or_cap,candidates_to_k5,candidates_to_k5_or_cap,time_to_k5_seconds,time_to_k5_or_cap_seconds,k10_achieved,rounds_to_k10,rounds_to_k10_or_cap,candidates_to_k10,candidates_to_k10_or_cap,time_to_k10_seconds,time_to_k10_or_cap_seconds,group_sparsity,yield_noninferior,population_selection_score,selected_for_outer
32,16,512,3.5,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09194352198392153,0.5889705882352941,0.09153347555547953,0.8621337219398365,0.8621337219398365,0.4875,0.7075,0.9204545454545454,0.9204545454545454,81.0,1.0,8.37963579595089,0.9759741015732288,0.9791666666666666,0.925,0.925,0.625,0.9209677893071333,7.229851763500051,7.229851763500051,7.229851763500051,0.722985176350005,512.0,71.48504462917337,16.0,1.0,1.0,1.0,32.0,32.0,0.3631808310000224,0.3631808310000224,1.0,1.0,1.0,32.0,32.0,0.3631808310000224,0.3631808310000224,1.0,1.0,1.0,32.0,32.0,0.3631808310000224,0.3631808310000224,1.0,1.0,1.0,32.0,32.0,0.3631808310000224,0.3631808310000224,0.5072916666666667,True,0.6990031130042147,False
64,8,512,3.5,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07852105004712939,0.6220588235294118,0.06653874390758574,0.8382890673445977,0.8382890673445977,0.5375,0.7025,0.875,0.875,81.0,1.0,6.015577211976051,0.5571965891867876,0.96875,0.875,0.875,0.25,0.9300925917682106,3.5926712927501967,3.5926712927501967,3.5926712927501967,0.3592671292750197,512.0,145.73854998081725,8.0,1.0,1.0,1.0,64.0,64.0,0.3931170763753471,0.3931170763753471,1.0,1.0,1.0,64.0,64.0,0.3931170763753471,0.3931170763753471,1.0,1.0,1.0,64.0,64.0,0.3931170763753471,0.3931170763753471,1.0,1.0,1.0,64.0,64.0,0.3931170763753471,0.3931170763753471,0.5489583333333333,True,0.691963534091928,True
128,4,512,3.5,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10271082073450089,0.4933823529411765,0.0808967505581677,0.8462690143130752,0.8462690143130752,0.42500000000000004,0.775,0.875,0.875,81.0,1.0,7.179890275001526,1.0023010782897472,0.9916666666666667,0.9625,0.9625,0.75,0.9655209876308442,1.9282279039997547,1.9282279039997547,1.9282279039997547,0.19282279039997546,512.0,269.6789014368512,4.0,1.0,1.0,1.0,128.0,128.0,0.44483862024969767,0.44483862024969767,1.0,1.0,1.0,128.0,128.0,0.44483862024969767,0.44483862024969767,1.0,1.0,1.0,128.0,128.0,0.44483862024969767,0.44483862024969767,1.0,1.0,1.0,128.0,128.0,0.44483862024969767,0.44483862024969767,0.39166666666666666,True,0.687120063570602,False
256,2,512,3.5,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10704622231423855,0.40955882352941175,0.07093792362138629,0.8205499333535685,0.8205499333535685,0.5,0.78,0.9166666666666666,0.9166666666666666,81.0,1.0,6.669561788439751,2.1427834052592516,0.99375,0.975,0.975,0.875,0.9741556001010244,1.2294281431251193,1.2294281431251193,1.2294281431251193,0.12294281431251193,512.0,421.2514581977161,2.0,1.0,1.0,1.0,256.0,256.0,0.590833643750102,0.590833643750102,1.0,1.0,1.0,256.0,256.0,0.590833643750102,0.590833643750102,1.0,1.0,1.0,256.0,256.0,0.590833643750102,0.590833643750102,1.0,1.0,1.0,256.0,256.0,0.590833643750102,0.590833643750102,0.278125,True,0.6720509348365971,False
512,1,512,3.5,10.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10783639084547758,0.3775735294117647,0.06681058136746287,0.813588247981024,0.813588247981024,0.47500000000000003,0.765,0.9242424242424242,0.9242424242424242,81.0,1.0,5.60788731276989,2.1171571537852287,1.0,1.0,1.0,1.0,0.9776597530048866,1.0814700723750548,1.0814700723750548,1.0814700723750548,0.10814700723750548,512.0,479.4917324534781,1.0,1.0,1.0,1.0,512.0,512.0,1.0814150773751408,1.0814150773751408,1.0,1.0,1.0,512.0,512.0,1.0814150773751408,1.0814150773751408,1.0,1.0,1.0,512.0,512.0,1.0814150773751408,1.0814150773751408,1.0,1.0,1.0,512.0,512.0,1.0814150773751408,1.0814150773751408,0.23020833333333332,True,0.6714121249345515,False
