method,direction,candidate_budget,success_rate,rounds_to_k_or_cap,time_to_k_or_cap,candidates_to_k_or_cap,K
proposed_dp_eps8_sparse_diverse,disease_to_no_disease,64,0.92,1.0,0.37049898291009414,64.0,1
proposed_dp_eps8_sparse_diverse,disease_to_no_disease,128,0.97,1.09,0.4025140290998297,69.76,1
proposed_dp_eps8_sparse_diverse,disease_to_no_disease,256,1.0,1.1,0.40987856984001153,70.4,1
proposed_dp_eps8_sparse_diverse,disease_to_no_disease,512,1.0,1.11,0.41102661519010325,71.04,1
proposed_dp_eps8_sparse_diverse,no_disease_to_disease,64,0.99,1.0,0.3921521130898691,64.0,1
proposed_dp_eps8_sparse_diverse,no_disease_to_disease,128,0.99,1.02,0.3983713838800395,65.28,1
proposed_dp_eps8_sparse_diverse,no_disease_to_disease,256,0.99,1.03,0.40383170108010746,65.92,1
proposed_dp_eps8_sparse_diverse,no_disease_to_disease,512,0.99,1.07,0.4184560252400843,68.48,1
uniform_random,disease_to_no_disease,64,0.46,1.0,0.08459294287003104,64.0,1
uniform_random,disease_to_no_disease,128,0.53,1.6,0.13795984879997378,102.4,1
uniform_random,disease_to_no_disease,256,0.71,2.31,0.19659075205997398,147.84,1
uniform_random,disease_to_no_disease,512,0.9,3.05,0.2586165290400368,195.2,1
uniform_random,no_disease_to_disease,64,0.84,1.0,0.0855053540499739,64.0,1
uniform_random,no_disease_to_disease,128,0.97,1.14,0.09740722574001666,72.96,1
uniform_random,no_disease_to_disease,256,0.99,1.2,0.102644166619948,76.8,1
uniform_random,no_disease_to_disease,512,0.99,1.23,0.10555147176000901,78.72,1
wachter_style,disease_to_no_disease,64,0.16,1.0,0.09073750377998295,64.0,1
wachter_style,disease_to_no_disease,128,0.37,1.0,0.0978852263400222,128.0,1
wachter_style,disease_to_no_disease,256,0.56,1.0,0.11197229171998516,256.0,1
wachter_style,disease_to_no_disease,512,0.79,1.0,0.13940824014999634,512.0,1
wachter_style,no_disease_to_disease,64,0.09,1.0,0.09060341704998791,64.0,1
wachter_style,no_disease_to_disease,128,0.22,1.0,0.09819092592001652,128.0,1
wachter_style,no_disease_to_disease,256,0.6,1.0,0.11186074544999429,256.0,1
wachter_style,no_disease_to_disease,512,0.87,1.0,0.14020006989001557,512.0,1
countergan_one_shot,disease_to_no_disease,64,0.96,1.0,0.08489927203986554,64.0,3
countergan_one_shot,disease_to_no_disease,128,0.96,1.0,0.08654100182999173,128.0,3
countergan_one_shot,disease_to_no_disease,256,0.97,1.0,0.09171738481002649,256.0,3
countergan_one_shot,disease_to_no_disease,512,0.98,1.0,0.0962926117299412,512.0,3
countergan_one_shot,no_disease_to_disease,64,0.99,1.0,0.08615738544986015,64.0,3
countergan_one_shot,no_disease_to_disease,128,0.99,1.0,0.08444960557013474,128.0,3
countergan_one_shot,no_disease_to_disease,256,0.99,1.0,0.08619061907000286,256.0,3
countergan_one_shot,no_disease_to_disease,512,0.99,1.0,0.09347531898973102,512.0,3
countergan_sparse_diverse_no_dp,disease_to_no_disease,64,0.97,1.0,0.35728605127992524,64.0,3
countergan_sparse_diverse_no_dp,disease_to_no_disease,128,0.99,1.03,0.3701687500499338,65.92,3
countergan_sparse_diverse_no_dp,disease_to_no_disease,256,1.0,1.04,0.37491045361012765,66.56,3
countergan_sparse_diverse_no_dp,disease_to_no_disease,512,1.0,1.04,0.3762299805699786,66.56,3
countergan_sparse_diverse_no_dp,no_disease_to_disease,64,0.99,1.0,0.3657839228299963,64.0,3
countergan_sparse_diverse_no_dp,no_disease_to_disease,128,0.99,1.01,0.37481563665996875,64.64,3
countergan_sparse_diverse_no_dp,no_disease_to_disease,256,0.99,1.03,0.37371119682988135,65.92,3
countergan_sparse_diverse_no_dp,no_disease_to_disease,512,0.99,1.07,0.3854552792699542,68.48,3
dice_gradient_style,disease_to_no_disease,64,0.0,1.0,0.09159756182996716,64.0,3
dice_gradient_style,disease_to_no_disease,128,0.0,1.0,0.10000360117001947,128.0,3
dice_gradient_style,disease_to_no_disease,256,0.0,1.0,0.11712836714000333,256.0,3
dice_gradient_style,disease_to_no_disease,512,0.0,1.0,0.14829699071001415,512.0,3
dice_gradient_style,no_disease_to_disease,64,0.0,1.0,0.09261281561001851,64.0,3
dice_gradient_style,no_disease_to_disease,128,0.0,1.0,0.10019602069999564,128.0,3
dice_gradient_style,no_disease_to_disease,256,0.0,1.0,0.11652447693000795,256.0,3
dice_gradient_style,no_disease_to_disease,512,0.0,1.0,0.1485594198000126,512.0,3
genetic_cfe,disease_to_no_disease,64,0.34,1.0,0.08500193171003957,64.0,3
genetic_cfe,disease_to_no_disease,128,0.47,1.65,0.14048819266000465,105.6,3
genetic_cfe,disease_to_no_disease,256,0.67,2.6,0.2230440845400517,166.4,3
genetic_cfe,disease_to_no_disease,512,0.93,3.55,0.3022355748900554,227.2,3
genetic_cfe,no_disease_to_disease,64,0.62,1.0,0.08586900203995355,64.0,3
genetic_cfe,no_disease_to_disease,128,0.88,1.32,0.11341613356002199,84.48,3
genetic_cfe,no_disease_to_disease,256,0.97,1.48,0.12706852396006071,94.72,3
genetic_cfe,no_disease_to_disease,512,0.99,1.59,0.13764031920000888,101.76,3
proposed_countergan,disease_to_no_disease,64,0.96,1.0,0.08528883569997561,64.0,3
proposed_countergan,disease_to_no_disease,128,1.0,1.04,0.08770366330007164,66.56,3
proposed_countergan,disease_to_no_disease,256,1.0,1.04,0.0879759596599797,66.56,3
proposed_countergan,disease_to_no_disease,512,1.0,1.04,0.0887508213700312,66.56,3
proposed_countergan,no_disease_to_disease,64,0.99,1.0,0.08368261978013834,64.0,3
proposed_countergan,no_disease_to_disease,128,0.99,1.01,0.08267225845000212,64.64,3
proposed_countergan,no_disease_to_disease,256,0.99,1.03,0.08467176959000426,65.92,3
proposed_countergan,no_disease_to_disease,512,0.99,1.07,0.08787523105007494,68.48,3
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,64,0.87,1.0,0.37052128096005615,64.0,3
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,128,0.95,1.11,0.40485210447997816,71.04,3
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,256,0.99,1.18,0.43199717468999554,75.52,3
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,512,1.0,1.16,0.4260821722700075,74.24,3
proposed_dp_eps16_sparse_diverse,no_disease_to_disease,64,0.99,1.0,0.3894434607101175,64.0,3
proposed_dp_eps16_sparse_diverse,no_disease_to_disease,128,0.99,1.01,0.39175843378998254,64.64,3
proposed_dp_eps16_sparse_diverse,no_disease_to_disease,256,0.99,1.03,0.39789208861991937,65.92,3
proposed_dp_eps16_sparse_diverse,no_disease_to_disease,512,0.99,1.07,0.4102965846100233,68.48,3
proposed_dp_eps2_sparse_diverse,disease_to_no_disease,64,0.88,1.0,0.3532401668099101,64.0,3
proposed_dp_eps2_sparse_diverse,disease_to_no_disease,128,0.96,1.1,0.38549232683009904,70.4,3
proposed_dp_eps2_sparse_diverse,disease_to_no_disease,256,1.0,1.14,0.401686298789964,72.96,3
proposed_dp_eps2_sparse_diverse,disease_to_no_disease,512,1.0,1.19,0.4230416437700933,76.16,3
proposed_dp_eps2_sparse_diverse,no_disease_to_disease,64,0.97,1.0,0.37921488864987624,64.0,3
proposed_dp_eps2_sparse_diverse,no_disease_to_disease,128,0.99,1.02,0.38864599759988777,65.28,3
proposed_dp_eps2_sparse_diverse,no_disease_to_disease,256,0.99,1.04,0.3885604926999076,66.56,3
proposed_dp_eps2_sparse_diverse,no_disease_to_disease,512,0.99,1.09,0.4096016877801412,69.76,3
proposed_dp_eps4_sparse_diverse,disease_to_no_disease,64,0.9,1.0,0.36943917521002734,64.0,3
proposed_dp_eps4_sparse_diverse,disease_to_no_disease,128,0.97,1.09,0.40318474892988887,69.76,3
proposed_dp_eps4_sparse_diverse,disease_to_no_disease,256,1.0,1.13,0.42351321038995593,72.32,3
proposed_dp_eps4_sparse_diverse,disease_to_no_disease,512,1.0,1.15,0.4282542974498756,73.6,3
proposed_dp_eps4_sparse_diverse,no_disease_to_disease,64,0.99,1.0,0.3643196716599414,64.0,3
proposed_dp_eps4_sparse_diverse,no_disease_to_disease,128,0.99,1.01,0.36242392241001653,64.64,3
proposed_dp_eps4_sparse_diverse,no_disease_to_disease,256,0.99,1.03,0.37327649874008784,65.92,3
proposed_dp_eps4_sparse_diverse,no_disease_to_disease,512,0.99,1.07,0.3869823881800585,68.48,3
proposed_dp_eps8_sparse_diverse,disease_to_no_disease,64,0.89,1.0,0.37049898291009414,64.0,3
proposed_dp_eps8_sparse_diverse,disease_to_no_disease,128,0.95,1.11,0.41017513944982964,71.04,3
proposed_dp_eps8_sparse_diverse,disease_to_no_disease,256,1.0,1.16,0.4316007594200073,74.24,3
proposed_dp_eps8_sparse_diverse,disease_to_no_disease,512,1.0,1.18,0.4389103650201014,75.52,3
proposed_dp_eps8_sparse_diverse,no_disease_to_disease,64,0.98,1.0,0.3921521130898691,64.0,3
proposed_dp_eps8_sparse_diverse,no_disease_to_disease,128,0.99,1.03,0.4033726139900318,65.92,3
proposed_dp_eps8_sparse_diverse,no_disease_to_disease,256,0.99,1.04,0.40853131405010573,66.56,3
proposed_dp_eps8_sparse_diverse,no_disease_to_disease,512,0.99,1.08,0.4214864788600971,69.12,3
uniform_random,disease_to_no_disease,64,0.34,1.0,0.08459294287003104,64.0,3
uniform_random,disease_to_no_disease,128,0.41,1.65,0.1423561823899854,105.6,3
uniform_random,disease_to_no_disease,256,0.6,2.74,0.23291164337001646,175.36,3
uniform_random,disease_to_no_disease,512,0.76,4.17,0.35320676438001103,266.88,3
uniform_random,no_disease_to_disease,64,0.62,1.0,0.0855053540499739,64.0,3
uniform_random,no_disease_to_disease,128,0.93,1.32,0.11256745573999069,84.48,3
uniform_random,no_disease_to_disease,256,0.98,1.42,0.12138653052994414,90.88,3
uniform_random,no_disease_to_disease,512,0.99,1.51,0.12955085348001374,96.64,3
wachter_style,disease_to_no_disease,64,0.0,1.0,0.09073750377998295,64.0,3
wachter_style,disease_to_no_disease,128,0.0,1.0,0.0978852263400222,128.0,3
wachter_style,disease_to_no_disease,256,0.0,1.0,0.11197229171998516,256.0,3
wachter_style,disease_to_no_disease,512,0.0,1.0,0.13940824014999634,512.0,3
wachter_style,no_disease_to_disease,64,0.0,1.0,0.09060341704998791,64.0,3
wachter_style,no_disease_to_disease,128,0.0,1.0,0.09819092592001652,128.0,3
wachter_style,no_disease_to_disease,256,0.0,1.0,0.11186074544999429,256.0,3
wachter_style,no_disease_to_disease,512,0.0,1.0,0.14020006989001557,512.0,3
countergan_one_shot,disease_to_no_disease,64,0.95,1.0,0.08489927203986554,64.0,5
countergan_one_shot,disease_to_no_disease,128,0.96,1.0,0.08654100182999173,128.0,5
countergan_one_shot,disease_to_no_disease,256,0.96,1.0,0.09171738481002649,256.0,5
countergan_one_shot,disease_to_no_disease,512,0.96,1.0,0.0962926117299412,512.0,5
countergan_one_shot,no_disease_to_disease,64,0.99,1.0,0.08615738544986015,64.0,5
countergan_one_shot,no_disease_to_disease,128,0.99,1.0,0.08444960557013474,128.0,5
countergan_one_shot,no_disease_to_disease,256,0.99,1.0,0.08619061907000286,256.0,5
countergan_one_shot,no_disease_to_disease,512,0.99,1.0,0.09347531898973102,512.0,5
countergan_sparse_diverse_no_dp,disease_to_no_disease,64,0.96,1.0,0.35728605127992524,64.0,5
countergan_sparse_diverse_no_dp,disease_to_no_disease,128,0.98,1.04,0.3733272719799334,66.56,5
countergan_sparse_diverse_no_dp,disease_to_no_disease,256,1.0,1.04,0.37491045361012765,66.56,5
countergan_sparse_diverse_no_dp,disease_to_no_disease,512,1.0,1.04,0.3762299805699786,66.56,5
countergan_sparse_diverse_no_dp,no_disease_to_disease,64,0.99,1.0,0.3657839228299963,64.0,5
countergan_sparse_diverse_no_dp,no_disease_to_disease,128,0.99,1.01,0.37481563665996875,64.64,5
countergan_sparse_diverse_no_dp,no_disease_to_disease,256,0.99,1.03,0.37371119682988135,65.92,5
countergan_sparse_diverse_no_dp,no_disease_to_disease,512,0.99,1.07,0.3854552792699542,68.48,5
dice_gradient_style,disease_to_no_disease,64,0.0,1.0,0.09159756182996716,64.0,5
dice_gradient_style,disease_to_no_disease,128,0.0,1.0,0.10000360117001947,128.0,5
