method,method_label,candidate_budget,direction,n_factuals,valid_cfe_yield_at_k_mean,valid_cfe_yield_at_k_std,valid_cfe_yield_at_k_median,valid_cfe_yield_at_k_q25,valid_cfe_yield_at_k_q75,coverage_at_1_mean,coverage_at_1_std,coverage_at_1_median,coverage_at_1_q25,coverage_at_1_q75,full_k_success_mean,full_k_success_std,full_k_success_median,full_k_success_q25,full_k_success_q75,robust_completeness_at_k_mean,robust_completeness_at_k_std,robust_completeness_at_k_median,robust_completeness_at_k_q25,robust_completeness_at_k_q75,robust_full_k_success_mean,robust_full_k_success_std,robust_full_k_success_median,robust_full_k_success_q25,robust_full_k_success_q75,proximity_mean,proximity_std,proximity_median,proximity_q25,proximity_q75,sparsity_mean,sparsity_std,sparsity_median,sparsity_q25,sparsity_q75,group_sparsity_mean,group_sparsity_std,group_sparsity_median,group_sparsity_q25,group_sparsity_q75,diversity_mean,diversity_std,diversity_median,diversity_q25,diversity_q75,plausibility_mean,plausibility_std,plausibility_median,plausibility_q25,plausibility_q75,plausibility_distance_mean,plausibility_distance_std,plausibility_distance_median,plausibility_distance_q25,plausibility_distance_q75,plausibility_inlier_rate_mean,plausibility_inlier_rate_std,plausibility_inlier_rate_median,plausibility_inlier_rate_q25,plausibility_inlier_rate_q75,target_data_support_mean,target_data_support_std,target_data_support_median,target_data_support_q25,target_data_support_q75,local_surrogate_fidelity_mean,local_surrogate_fidelity_std,local_surrogate_fidelity_median,local_surrogate_fidelity_q25,local_surrogate_fidelity_q75,fidelity_mean,fidelity_std,fidelity_median,fidelity_q25,fidelity_q75,changed_set_dice_mean,changed_set_dice_std,changed_set_dice_median,changed_set_dice_q25,changed_set_dice_q75,constraint_validity_mean,constraint_validity_std,constraint_validity_median,constraint_validity_q25,constraint_validity_q75,mean_target_logit_margin_mean,mean_target_logit_margin_std,mean_target_logit_margin_median,mean_target_logit_margin_q25,mean_target_logit_margin_q75,generation_time_to_k_or_cap_seconds_mean,generation_time_to_k_or_cap_seconds_std,generation_time_to_k_or_cap_seconds_median,generation_time_to_k_or_cap_seconds_q25,generation_time_to_k_or_cap_seconds_q75,candidate_evaluations_mean,candidate_evaluations_std,candidate_evaluations_median,candidate_evaluations_q25,candidate_evaluations_q75,rounds_used_mean,rounds_used_std,rounds_used_median,rounds_used_q25,rounds_used_q75
countergan_one_shot,CounterGAN one-shot,64,disease_to_no_disease,100.0,0.915,0.21337830965283944,1.0,1.0,1.0,0.97,0.17144660799776532,1.0,1.0,1.0,0.78,0.4163331998932263,1.0,1.0,1.0,0.898,0.22064185523791327,1.0,0.9,1.0,0.7,0.4605661864718381,1.0,0.0,1.0,0.13782668628336228,0.022310257040796574,0.13656100630760193,0.1272951066493988,0.14970844984054565,0.12136684570735512,0.04490470841931239,0.11764705882352947,0.08823529411764708,0.1558823529411765,0.006296364479354172,0.011274178549770725,0.0,0.0,0.008333333333333337,0.02831315846403235,0.0030068689322211343,0.02782488986849785,0.026215840131044388,0.029862578958272934,0.7751220474880974,0.13060840069612206,0.765318748511733,0.6886190888777641,0.8292168383659074,0.7751220474880974,0.13060840069612206,0.765318748511733,0.6886190888777641,0.8292168383659074,0.7103092783505155,0.4234000610342998,1.0,0.2,1.0,0.7116413025691376,0.364162106040761,0.8800000000000001,0.5800000000000001,1.0,0.938821226931859,0.053366139344781446,0.9393939393939394,0.9090909090909091,0.9696969696969697,0.938821226931859,0.053366139344781446,0.9393939393939394,0.9090909090909091,0.9696969696969697,0.9832551706562389,0.007218542420604756,0.984220019828653,0.9798689439326436,0.9867280244240648,1.0,0.0,1.0,1.0,1.0,5.257029296196613,2.285927696397568,5.479283809661865,3.593850612640381,6.730754375457764,0.0849299134100238,0.0038991441571195728,0.08482398350042786,0.08268906750117822,0.08662116349933058,64.0,0.0,64.0,64.0,64.0,1.0,0.0,1.0,1.0,1.0
countergan_one_shot,CounterGAN one-shot,64,no_disease_to_disease,100.0,0.99,0.09999999999999999,1.0,1.0,1.0,0.99,0.09999999999999999,1.0,1.0,1.0,0.99,0.09999999999999999,1.0,1.0,1.0,0.99,0.09999999999999999,1.0,1.0,1.0,0.99,0.09999999999999999,1.0,1.0,1.0,0.13441291067636374,0.02058608511500555,0.1362968534231186,0.12130259722471237,0.14505310356616974,0.12382650029708858,0.027010287611787937,0.12352941176470593,0.10882352941176472,0.14117647058823532,0.004461279461279464,0.009168454627200624,0.0,0.0,0.008333333333333337,0.039593255881107216,0.007027862937027759,0.0398397222161293,0.03307967260479927,0.04492860101163387,0.8308436427759812,0.08782004526642632,0.819125518827936,0.7776997669771779,0.8696197632907514,0.8308436427759812,0.08782004526642632,0.819125518827936,0.7776997669771779,0.8696197632907514,0.5808080808080808,0.4258668872409781,0.7,0.0,1.0,0.6282828282828282,0.30715295798686765,0.6599999999999999,0.45000000000000007,0.9099999999999999,0.9400061218243037,0.05441126177953039,0.9393939393939394,0.9090909090909091,0.9696969696969697,0.9400061218243037,0.05441126177953039,0.9393939393939394,0.9090909090909091,0.9696969696969697,0.9816658974083995,0.005601359554015742,0.9822339281502355,0.9785268393663433,0.985246443979646,1.0,0.0,1.0,1.0,1.0,10.812248882621226,5.716532463892265,9.357706069946289,6.994391679763794,14.043116569519043,0.08618865872973401,0.03637835968632058,0.08140563649976684,0.08016436749994682,0.08315222274904954,64.0,0.0,64.0,64.0,64.0,1.0,0.0,1.0,1.0,1.0
countergan_one_shot,CounterGAN one-shot,128,disease_to_no_disease,100.0,0.943,0.18271521142162325,1.0,1.0,1.0,0.99,0.09999999999999999,1.0,1.0,1.0,0.87,0.337997668989631,1.0,1.0,1.0,0.9109999999999999,0.21690895543867003,1.0,1.0,1.0,0.78,0.4163331998932263,1.0,1.0,1.0,0.1369897969292872,0.022190909484244067,0.13614504039287567,0.12403782084584236,0.14954502880573273,0.1324625809919928,0.04568851473749979,0.13235294117647062,0.10189075630252103,0.1647058823529412,0.006658850408850412,0.01115223486263813,0.0,0.0,0.008333333333333337,0.02797645576900304,0.002936492429664222,0.027429888024926186,0.02609144803136587,0.029179325327277184,0.7756969564229463,0.12954568259395505,0.7654014424121235,0.6944892459973555,0.8351712417601815,0.7756969564229463,0.12954568259395505,0.7654014424121235,0.6944892459973555,0.8351712417601815,0.7174603174603176,0.4184746281343126,1.0,0.24285714285714285,1.0,0.6975533108866442,0.3778767003255936,0.9,0.51,1.0,0.9290031355404919,0.05326156255398675,0.9393939393939394,0.9090909090909091,0.9696969696969697,0.9290031355404919,0.05326156255398675,0.9393939393939394,0.9090909090909091,0.9696969696969697,0.9826875476803454,0.006957852798146664,0.9838815095391984,0.9779695595285702,0.9871501508418339,1.0,0.0,1.0,1.0,1.0,5.142589789448363,2.372540912011272,5.481335639953613,3.4499109983444214,6.7300636768341064,0.08657457872998747,0.004511549974366838,0.08646395249979832,0.0836908114997641,0.08864186525033801,128.0,0.0,128.0,128.0,128.0,1.0,0.0,1.0,1.0,1.0
countergan_one_shot,CounterGAN one-shot,128,no_disease_to_disease,100.0,0.99,0.09999999999999999,1.0,1.0,1.0,0.99,0.09999999999999999,1.0,1.0,1.0,0.99,0.09999999999999999,1.0,1.0,1.0,0.9880000000000001,0.10078479923865383,1.0,1.0,1.0,0.97,0.1714466079977653,1.0,1.0,1.0,0.13279744583849956,0.020371698107979674,0.13338741660118103,0.11975255608558655,0.1427466869354248,0.13978015448603687,0.028989597526811458,0.1382352941176471,0.12352941176470592,0.16029411764705886,0.003956228956228958,0.008935983775851567,0.0,0.0,0.0,0.039627443641574694,0.006942054359064676,0.038871318101882935,0.03411107696592808,0.045197151601314545,0.8279188932938549,0.08877308638433844,0.8170653605678373,0.7747741476092037,0.8700315812745467,0.8279188932938549,0.08877308638433844,0.8170653605678373,0.7747741476092037,0.8700315812745467,0.591919191919192,0.4151903344390199,0.7,0.1,1.0,0.6264646464646465,0.3085030120294635,0.6399999999999999,0.42000000000000004,0.9099999999999999,0.9467401285583102,0.048028719687143964,0.9393939393939394,0.9090909090909091,1.0,0.9467401285583102,0.048028719687143964,0.9393939393939394,0.9090909090909091,1.0,0.9795027678007414,0.005948023568502196,0.9795288491368808,0.9761074707595402,0.9828664065265758,1.0,0.0,1.0,1.0,1.0,10.683313292686385,5.681858344500501,9.067071914672852,6.8822715282440186,13.019378662109375,0.08448503540013917,0.004242417004982146,0.08373165050034004,0.08185835250105811,0.0861310704999596,128.0,0.0,128.0,128.0,128.0,1.0,0.0,1.0,1.0,1.0
countergan_one_shot,CounterGAN one-shot,256,disease_to_no_disease,100.0,0.9590000000000001,0.17296873075264738,1.0,1.0,1.0,0.99,0.09999999999999999,1.0,1.0,1.0,0.92,0.2726599243442908,1.0,1.0,1.0,0.935,0.20069324297987154,1.0,1.0,1.0,0.82,0.38612291966536916,1.0,1.0,1.0,0.13581995018804915,0.02229706990985534,0.13465616106987,0.1235988661646843,0.1482468843460083,0.14664172066132852,0.04818303271548762,0.14117647058823532,0.11470588235294121,0.18235294117647066,0.009549195660306774,0.012676103684241694,0.008333333333333337,0.0,0.016666666666666673,0.02768647616183517,0.004975684947899415,0.027434054762125015,0.02632829174399376,0.029130742885172367,0.7736532823623548,0.12887255593855274,0.7627018899064973,0.6897636441141733,0.8304152645337929,0.7736532823623548,0.12887255593855274,0.7627018899064973,0.6897636441141733,0.8304152645337929,0.7206028539361872,0.4134034979982343,1.0,0.35,1.0,0.6961111111111111,0.3730476767934598,0.8600000000000001,0.55,1.0,0.9306689636942037,0.0501529778189044,0.9393939393939394,0.9090909090909091,0.9696969696969697,0.9306689636942037,0.0501529778189044,0.9393939393939394,0.9090909090909091,0.9696969696969697,0.9815596106680726,0.007692863926075221,0.9822806624539382,0.9775537838551289,0.9866208620216677,1.0,0.0,1.0,1.0,1.0,5.085847497287423,2.3633915631886,5.29319429397583,3.636066436767578,6.6521666049957275,0.09174842167005409,0.02446044299429366,0.08906375600054162,0.08624350024956584,0.09125328600066496,256.0,0.0,256.0,256.0,256.0,1.0,0.0,1.0,1.0,1.0
countergan_one_shot,CounterGAN one-shot,256,no_disease_to_disease,100.0,0.99,0.09999999999999999,1.0,1.0,1.0,0.99,0.09999999999999999,1.0,1.0,1.0,0.99,0.09999999999999999,1.0,1.0,1.0,0.9890000000000001,0.10039819709436014,1.0,1.0,1.0,0.98,0.14070529413628968,1.0,1.0,1.0,0.13144376866444193,0.019817374193902167,0.13355913758277893,0.11725294962525368,0.14281019568443298,0.1523172905525847,0.02916545339830438,0.15294117647058827,0.13529411764705884,0.16911764705882354,0.0067340067340067354,0.01088988169593352,0.0,0.0,0.008333333333333337,0.03960000943731178,0.007317863670033081,0.03930364549160004,0.03375502862036228,0.04551905021071434,0.8258936559806008,0.08643397324795518,0.8086183665450696,0.7752873026868352,0.8667200985050991,0.8258936559806008,0.08643397324795518,0.8086183665450696,0.7752873026868352,0.8667200985050991,0.5909090909090909,0.43120403548973735,0.8,0.05,1.0,0.6183838383838385,0.31013725424532723,0.6799999999999999,0.39,0.9,0.948270584634221,0.05288699166293999,0.9696969696969697,0.9090909090909091,1.0,0.948270584634221,0.05288699166293999,0.9696969696969697,0.9090909090909091,1.0,0.9782104281764816,0.006374814230643552,0.9785692860341193,0.9753130517478404,0.9829226239368507,1.0,0.0,1.0,1.0,1.0,10.495274045250632,5.777765288347606,8.698945999145508,6.896595001220703,12.715628623962402,0.08622111568991386,0.00445927129837308,0.08552912049981387,0.08369094025056256,0.08742141749780785,256.0,0.0,256.0,256.0,256.0,1.0,0.0,1.0,1.0,1.0
countergan_one_shot,CounterGAN one-shot,512,disease_to_no_disease,100.0,0.965,0.16291225871739676,1.0,1.0,1.0,0.99,0.09999999999999999,1.0,1.0,1.0,0.95,0.21904291355759034,1.0,1.0,1.0,0.9420000000000001,0.20359397105637747,1.0,1.0,1.0,0.9,0.3015113445777636,1.0,1.0,1.0,0.13530720710152327,0.02249200915789735,0.13359321653842926,0.1218053326010704,0.14888305962085724,0.156634269869564,0.05131300377864651,0.15294117647058827,0.12352941176470592,0.19264705882352945,0.01203703703703704,0.016760882604716566,0.0,0.0,0.016666666666666673,0.027864226017787,0.004023618493859066,0.02752288430929184,0.026151558384299278,0.029406322166323662,0.7743761563876773,0.12890927185176634,0.7652069621068236,0.6902978320162938,0.8283395749913169,0.7743761563876773,0.12890927185176634,0.7652069621068236,0.6902978320162938,0.8283395749913169,0.7204906204906204,0.4140652958232208,1.0,0.4642857142857143,1.0,0.6961327561327562,0.3745202819446373,0.8800000000000001,0.5,1.0,0.9334814975209063,0.04751648926372973,0.9393939393939394,0.9090909090909091,0.9696969696969697,0.9334814975209063,0.04751648926372973,0.9393939393939394,0.9090909090909091,0.9696969696969697,0.9804315180456981,0.008163374406670034,0.982013874594774,0.9750957804070177,0.9863519961908915,1.0,0.0,1.0,1.0,1.0,5.090256661778748,2.3798802862904296,5.223938941955566,3.3832783699035645,6.716625928878784,0.09632875171006162,0.005714774768191656,0.09590160749939969,0.0923304192501746,0.09879871675002505,512.0,0.0,512.0,512.0,512.0,1.0,0.0,1.0,1.0,1.0
countergan_one_shot,CounterGAN one-shot,512,no_disease_to_disease,100.0,0.99,0.09999999999999999,1.0,1.0,1.0,0.99,0.09999999999999999,1.0,1.0,1.0,0.99,0.09999999999999999,1.0,1.0,1.0,0.987,0.10215357818184118,1.0,1.0,1.0,0.97,0.17144660799776526,1.0,1.0,1.0,0.13007963508969606,0.0200411048132122,0.13164052367210388,0.11624692752957344,0.14172596484422684,0.16336898395721927,0.030375195200249738,0.16176470588235295,0.14705882352941177,0.186764705882353,0.007323232323232326,0.012836884793990424,0.0,0.0,0.008333333333333337,0.03922784033071513,0.00715765477562549,0.03818546235561371,0.03383871726691723,0.04465283825993538,0.8252896062166523,0.08555488799656509,0.8173629248592679,0.780848369569397,0.867470845259759,0.8252896062166523,0.08555488799656509,0.8173629248592679,0.780848369569397,0.867470845259759,0.5898989898989898,0.4277360786257725,0.8,0.05,1.0,0.6181818181818182,0.3041359914556337,0.6799999999999999,0.43000000000000005,0.8500000000000001,0.9415365779002141,0.04687584640066421,0.9393939393939394,0.9090909090909091,0.9696969696969697,0.9415365779002141,0.04687584640066421,0.9393939393939394,0.9090909090909091,0.9696969696969697,0.9770179294745492,0.006545953303830257,0.9775791416993946,0.9738824138485038,0.9810193299108868,1.0,0.0,1.0,1.0,1.0,10.220291889075076,5.616927144505178,8.63634204864502,6.7075417041778564,12.327567100524902,0.09351408116979655,0.0047112667613055294,0.09267971649933315,0.09046542824899007,0.09504975624940926,512.0,0.0,512.0,512.0,512.0,1.0,0.0,1.0,1.0,1.0
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,64,disease_to_no_disease,100.0,0.93,0.19253754717121305,1.0,1.0,1.0,0.97,0.17144660799776532,1.0,1.0,1.0,0.79,0.4093601807403326,1.0,1.0,1.0,0.894,0.22102607369386365,1.0,0.9,1.0,0.69,0.4648231987117316,1.0,0.0,1.0,0.12577533768009894,0.02115337482792545,0.12521353363990784,0.11462120711803436,0.13621675968170166,0.27567657647251337,0.06280433510330172,0.2647058823529412,0.23529411764705888,0.30882352941176466,0.14529298259968365,0.05696595331214652,0.13541666666666666,0.10833333333333335,0.175,0.03499118540167194,0.003591679387079526,0.03474073112010956,0.03227526694536209,0.037768252193927765,0.7793110662477086,0.12436190575376366,0.7586123803634458,0.695348200176466,0.8316022895341002,0.7793110662477086,0.12436190575376366,0.7586123803634458,0.695348200176466,0.8316022895341002,0.6957903780068729,0.4011375273042931,0.9,0.4,1.0,0.7099026345933563,0.3564525257033151,0.8800000000000001,0.6571428571428571,0.9800000000000001,0.9327856441468055,0.053741192906752305,0.9393939393939394,0.9090909090909091,0.9696969696969697,0.9327856441468055,0.053741192906752305,0.9393939393939394,0.9090909090909091,0.9696969696969697,0.9859296796786452,0.007262962180303491,0.9874437675570604,0.9817292680643348,0.9908863000976617,1.0,0.0,1.0,1.0,1.0,4.667326901991343,2.1105914784525805,4.731326103210449,3.0675294399261475,6.077425956726074,0.3573237725300078,0.06185934950510396,0.3300099654998121,0.32100262749872854,0.34608281874943714,64.0,0.0,64.0,64.0,64.0,1.0,0.0,1.0,1.0,1.0
countergan_sparse_diverse_no_dp,CounterGAN non-DP + identical counted sparse-diverse search,64,no_disease_to_disease,100.0,0.9890000000000001,0.10039819709436013,1.0,1.0,1.0,0.99,0.09999999999999999,1.0,1.0,1.0,0.98,0.14070529413628965,1.0,1.0,1.0,0.986,0.10152374454811401,1.0,1.0,1.0,0.95,0.2190429135575903,1.0,1.0,1.0,0.12664655347665152,0.021769597544503735,0.1274794340133667,0.11060762405395508,0.13779062032699585,0.2761602957681389,0.05265229723478496,0.2764705882352941,0.24264705882352944,0.3029411764705882,0.14182566404788627,0.055312525938270775,0.14166666666666666,0.10000000000000002,0.175,0.04310977940607553,0.006937430294554959,0.043147046118974686,0.03855643980205059,0.04839882254600525,0.8367453712734334,0.08723875394674566,0.8158335308336548,0.7851809715776428,0.8857270051801253,0.8367453712734334,0.08723875394674566,0.8158335308336548,0.7851809715776428,0.8857270051801253,0.5757575757575758,0.4170085177740424,0.7,0.1,1.0,0.6453872053872054,0.29684459506865796,0.7,0.47000000000000003,0.8800000000000001,0.9448729721456993,0.05235890339073597,0.9666666666666667,0.9090909090909091,1.0,0.9448729721456993,0.05235890339073597,0.9666666666666667,0.9090909090909091,1.0,0.9849701549708668,0.00679021850151805,0.9865140191529849,0.9819739810237502,0.9897139694019614,1.0,0.0,1.0,1.0,1.0,11.024138159222073,5.949529269880338,9.637158393859863,6.494433879852295,15.19775676727295,0.365821768099886,0.06825109530808915,0.3261642509996818,0.3160398604977672,0.4540368567513724,64.0,0.0,64.0,64.0,64.0,1.0,0.0,1.0,1.0,1.0
