method,valid_cfe_yield_at_k,coverage_at_1,full_k_success,robust_yield_at_k,robust_full_k_success,proximity,sparsity,diversity,plausibility,constraint_validity,runtime_seconds_mean,aggregation
official_dice_genetic,0.0,0.0,0.0,0.0,0.0,,,,,,20.001210581809996,equal-direction macro (0.5 per direction)
official_dice_random,0.20750000000000002,0.69,0.0,0.195,0.0,0.06666438137225453,0.7226997564457882,0.04439786909177663,0.3365861574947492,1.0,1.5208926155549902,equal-direction macro (0.5 per direction)
