candidate_budget,reference_method,comparator_method,metric,n_paired_factuals,mean_delta_proposed_minus_comparator,paired_bootstrap_ci95_low,paired_bootstrap_ci95_high,wilcoxon_p_raw,higher_is_better,wilcoxon_p_holm
64,proposed_dp_eps4_sparse_diverse,countergan_one_shot,valid_cfe_yield_at_k,200,0.066,0.0364875,0.0935,3.078435891611997e-05,True,0.007973148959275072
64,proposed_dp_eps4_sparse_diverse,countergan_one_shot,full_k_success,200,0.18,0.109875,0.24525000000000005,1.504008486009085e-06,True,0.00043014642699859833
64,proposed_dp_eps4_sparse_diverse,countergan_one_shot,robust_completeness_at_k,200,-0.09050000000000001,-0.1350125,-0.05191249999999997,2.8073328616613976e-05,True,0.0073271387689362475
64,proposed_dp_eps4_sparse_diverse,countergan_one_shot,proximity,198,-0.02353775438222319,-0.028019181310641343,-0.018655675298280334,4.2085331892771593e-16,False,1.48140368262556e-13
64,proposed_dp_eps4_sparse_diverse,countergan_one_shot,sparsity,198,0.4197975121586234,0.39996688946341724,0.4370174713403881,3.0537045174522016e-34,True,1.2954118398316395e-31
64,proposed_dp_eps4_sparse_diverse,countergan_one_shot,group_sparsity,198,0.4197975121586234,0.4027803275256979,0.4380670962268185,3.0537045174522016e-34,True,1.2954118398316395e-31
64,proposed_dp_eps4_sparse_diverse,countergan_one_shot,diversity,198,0.018714250949672377,0.016953204736358137,0.02056779682735038,7.891048382205858e-32,True,3.1800924980289607e-29
64,proposed_dp_eps4_sparse_diverse,countergan_one_shot,plausibility_distance,198,0.06922505541805297,0.05854300412718068,0.07869161717498935,9.921422117823028e-24,False,3.780061826890574e-21
64,proposed_dp_eps4_sparse_diverse,countergan_one_shot,plausibility_inlier_rate,198,-0.09930054513387848,-0.13996076839826838,-0.06216986331569665,6.4008226876864275e-06,True,0.0017922303525521998
64,proposed_dp_eps4_sparse_diverse,countergan_one_shot,target_data_support,198,-0.030260942760942756,-0.06271359427609428,0.0007326038159371388,0.008899167433834957,True,1.0
64,proposed_dp_eps4_sparse_diverse,countergan_one_shot,local_surrogate_fidelity,198,-0.030680421014799276,-0.04419768614256597,-0.018042163275531434,2.7177454239999524e-05,True,0.007202025373599874
64,proposed_dp_eps4_sparse_diverse,countergan_one_shot,fidelity,198,-0.030680421014799276,-0.044593189844844325,-0.019022820484854618,2.7177454239999524e-05,True,0.007202025373599874
64,proposed_dp_eps4_sparse_diverse,countergan_sparse_diverse_no_dp,valid_cfe_yield_at_k,200,0.188,0.1374875,0.24356250000000004,3.882965566679148e-11,True,1.2425489813373273e-08
64,proposed_dp_eps4_sparse_diverse,countergan_sparse_diverse_no_dp,full_k_success,200,0.27,0.205,0.335,2.992479000457112e-11,True,9.695631961481042e-09
64,proposed_dp_eps4_sparse_diverse,countergan_sparse_diverse_no_dp,robust_completeness_at_k,200,0.152,0.10495,0.19506250000000003,1.3267227110371062e-08,True,4.033237041552803e-06
64,proposed_dp_eps4_sparse_diverse,countergan_sparse_diverse_no_dp,proximity,186,0.009213591945828289,0.005182807545317838,0.0140769695354906,0.0035678992976069615,False,0.734987255307034
64,proposed_dp_eps4_sparse_diverse,countergan_sparse_diverse_no_dp,sparsity,186,-0.03755855189546946,-0.05488204874741614,-0.019891993087557597,0.00033462765713795467,True,0.08031063771310912
64,proposed_dp_eps4_sparse_diverse,countergan_sparse_diverse_no_dp,group_sparsity,186,-0.03755855189546946,-0.056007196312415866,-0.021583203547249245,0.00033462765713795467,True,0.08031063771310912
64,proposed_dp_eps4_sparse_diverse,countergan_sparse_diverse_no_dp,diversity,186,0.015478053230351658,0.013113522779957582,0.017369241902594687,1.299596534611958e-24,True,4.964458762217679e-22
64,proposed_dp_eps4_sparse_diverse,countergan_sparse_diverse_no_dp,plausibility_distance,186,0.027904980065184073,0.018024023741135667,0.0379762176378575,4.473993581181491e-08,False,1.3377240807732659e-05
64,proposed_dp_eps4_sparse_diverse,countergan_sparse_diverse_no_dp,plausibility_inlier_rate,186,-0.05661589008363203,-0.0829735236388462,-0.028036461000170678,0.0007656690452939249,True,0.17227553519113312
64,proposed_dp_eps4_sparse_diverse,countergan_sparse_diverse_no_dp,target_data_support,186,0.0034587813620071553,-0.030673163082437286,0.03584722222222222,0.5049889894466435,True,1.0
64,proposed_dp_eps4_sparse_diverse,countergan_sparse_diverse_no_dp,local_surrogate_fidelity,186,-0.0030707280058410915,-0.01809145390856551,0.012986442363991497,0.5710149021037559,True,1.0
64,proposed_dp_eps4_sparse_diverse,countergan_sparse_diverse_no_dp,fidelity,186,-0.0030707280058410915,-0.016653073714623576,0.011309771728292317,0.5710149021037559,True,1.0
64,proposed_dp_eps4_sparse_diverse,dice_gradient_style,valid_cfe_yield_at_k,200,0.9255000000000001,0.9010000000000001,0.9465125,2.294047334204195e-36,True,1.0690260577391549e-33
64,proposed_dp_eps4_sparse_diverse,dice_gradient_style,full_k_success,200,0.88,0.835,0.92,3.621061026843201e-40,True,1.7018986826163045e-37
64,proposed_dp_eps4_sparse_diverse,dice_gradient_style,robust_completeness_at_k,200,0.7505000000000002,0.7244875000000001,0.7780500000000001,2.6231417969771886e-34,True,1.1227046891062368e-31
64,proposed_dp_eps4_sparse_diverse,dice_gradient_style,proximity,61,0.05494572028334512,0.04649114807739427,0.06254889295688358,1.1111647363502784e-11,False,3.644620335228913e-09
64,proposed_dp_eps4_sparse_diverse,dice_gradient_style,sparsity,61,-0.22296093908115763,-0.2759960028334345,-0.17511713215948185,7.03028955843959e-10,True,2.2004806317915917e-07
64,proposed_dp_eps4_sparse_diverse,dice_gradient_style,group_sparsity,61,-0.22296093908115763,-0.265062234365513,-0.18315725561627197,7.03028955843959e-10,True,2.2004806317915917e-07
64,proposed_dp_eps4_sparse_diverse,dice_gradient_style,diversity,61,0.05290924214193078,0.050284161988157224,0.05667500702328369,1.1111647363502784e-11,True,3.644620335228913e-09
64,proposed_dp_eps4_sparse_diverse,dice_gradient_style,plausibility_distance,61,0.09979337433710656,0.07508845402984171,0.13578263324552778,9.321773273189463e-09,False,2.8431408483227863e-06
64,proposed_dp_eps4_sparse_diverse,dice_gradient_style,plausibility_inlier_rate,61,-0.19581056466302368,-0.30809653916211294,-0.08850182149362476,0.002194268712322578,True,0.4739620418616769
64,proposed_dp_eps4_sparse_diverse,dice_gradient_style,target_data_support,61,0.2520582877959927,0.16921402550091078,0.3360619307832423,3.0290400444923045e-07,True,8.935668131252298e-05
64,proposed_dp_eps4_sparse_diverse,dice_gradient_style,local_surrogate_fidelity,61,-0.04735458833819488,-0.08257347540134426,-0.016985640346296082,0.0022928169815616627,True,0.4906628340541958
64,proposed_dp_eps4_sparse_diverse,dice_gradient_style,fidelity,61,-0.04735458833819488,-0.07227487145519933,-0.016021501267402885,0.0022928169815616627,True,0.4906628340541958
64,proposed_dp_eps4_sparse_diverse,genetic_cfe,valid_cfe_yield_at_k,200,0.061000000000000006,0.0319375,0.09353750000000002,0.00042969578872913703,True,0.10113440425152548
64,proposed_dp_eps4_sparse_diverse,genetic_cfe,full_k_success,200,0.125,0.039875,0.20012500000000003,0.0007489604476388989,True,0.17001402161403006
64,proposed_dp_eps4_sparse_diverse,genetic_cfe,robust_completeness_at_k,200,0.009499999999999998,-0.0275375,0.04452500000000001,0.5072908861197836,True,1.0
64,proposed_dp_eps4_sparse_diverse,genetic_cfe,proximity,196,-0.0030597200598187595,-0.007572084957762261,0.0023354598092941627,0.01806325841131549,False,1.0
64,proposed_dp_eps4_sparse_diverse,genetic_cfe,sparsity,196,0.42731661447647845,0.41161817984468924,0.4493349209723572,6.494272761314184e-34,True,2.695123195945386e-31
64,proposed_dp_eps4_sparse_diverse,genetic_cfe,group_sparsity,196,0.42731661447647845,0.4064455360517223,0.44520480712126115,6.494272761314184e-34,True,2.695123195945386e-31
64,proposed_dp_eps4_sparse_diverse,genetic_cfe,diversity,196,-0.05315867657488098,-0.055818870290163525,-0.05082396115508995,6.601431795647654e-34,True,2.713188468011186e-31
64,proposed_dp_eps4_sparse_diverse,genetic_cfe,plausibility_distance,196,-0.1171624170880174,-0.12727888465243742,-0.10596438291088833,1.484900309701293e-31,False,5.939601238805172e-29
64,proposed_dp_eps4_sparse_diverse,genetic_cfe,plausibility_inlier_rate,196,0.03699586977648202,0.02002389050858439,0.05385340743440234,1.7581449324135634e-05,True,0.004746991317516621
