method,direction,candidate_budget,n_query_seed_runs,time_to_k_or_cap,rounds_to_k_or_cap,candidates_to_k_or_cap,valid_candidates_n,scored_candidates_N,acceptance,wilson_95_low,wilson_95_high
proposed_countergan,no_disease_to_disease,128,100,0.051238400109868965,1.14,72.96,7217,7296,0.989172149122807,0.9865267156697605,0.9913027399788777
proposed_countergan,no_disease_to_disease,256,100,0.05224027822992866,1.16,74.24,7341,7424,0.9888200431034483,0.9861628254249628,0.9909716543882803
proposed_countergan,no_disease_to_disease,512,100,0.050932983540042186,1.13,72.32,7155,7232,0.9893528761061947,0.9867140495062183,0.9914721145053935
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,64,100,0.23248417821997464,1.0,64.0,3914,6400,0.6115625,0.5995580155544242,0.6234331389241214
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,128,100,0.47944908564005345,1.43,91.52,8566,12800,0.66921875,0.6610182945038149,0.6773176661477162
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,256,100,0.979791866079986,1.38,88.32,18569,25600,0.7253515625,0.7198505304515165,0.7307849735433375
proposed_dp_eps16_sparse_diverse,disease_to_no_disease,512,100,2.0083559118399443,1.42,90.88,37283,51200,0.72818359375,0.7243129391015387,0.7320200104251383
proposed_dp_eps16_sparse_diverse,no_disease_to_disease,64,100,0.24482596300005752,1.0,64.0,3473,6400,0.54265625,0.5304291811326711,0.5548321426385374
proposed_dp_eps16_sparse_diverse,no_disease_to_disease,128,100,0.4930772411100042,1.13,72.32,7486,12800,0.58484375,0.5762832541660604,0.5933533355234885
proposed_dp_eps16_sparse_diverse,no_disease_to_disease,256,100,0.9892067608198704,1.12,71.68,15892,25600,0.62078125,0.6148200463827912,0.6267062109151958
proposed_dp_eps16_sparse_diverse,no_disease_to_disease,512,100,2.0190373049799746,1.14,72.96,32287,51200,0.63060546875,0.6264152292521663,0.6347761114552624
proposed_dp_eps2_sparse_diverse,disease_to_no_disease,64,100,0.23739611040003183,1.0,64.0,5481,6400,0.85640625,0.8476009335072198,0.8647839731672374
proposed_dp_eps2_sparse_diverse,disease_to_no_disease,128,100,0.49091019652993056,1.02,65.28,11028,12800,0.8615625,0.8554710142414018,0.8674370309549443
proposed_dp_eps2_sparse_diverse,disease_to_no_disease,256,100,0.9934005777700168,1.04,66.56,22112,25600,0.86375,0.859493053503565,0.8678977964184458
