dataset,variant,attack,metric,mean,sd,ci95_low,ci95_high,attack_seeds
ecg,dp_eps16,calibrated_gaussian_reconstruction_likelihood,evaluation_balanced_accuracy,0.4295,0.0132853302555864,0.4219,0.4378499999999999,10
ecg,dp_eps16,calibrated_gaussian_reconstruction_likelihood,evaluation_membership_advantage,-0.141,0.0265706605111728,-0.1553999999999999,-0.1244,10
ecg,dp_eps16,calibrated_gaussian_reconstruction_likelihood,evaluation_tpr_at_calibrated_threshold,0.5292,0.049346394667358,0.5052975,0.5625,10
ecg,dp_eps16,calibrated_gaussian_reconstruction_likelihood,evaluation_fpr_at_calibrated_threshold,0.6702,0.0404579342582446,0.6471,0.6942,10
ecg,dp_eps16,calibrated_gaussian_reconstruction_likelihood,tpr_at_fpr_0.001,0.0198999999999999,0.0162511538051918,0.011,0.0299,10
ecg,dp_eps16,calibrated_gaussian_reconstruction_likelihood,tpr_at_fpr_0.01,0.0722,0.0079414524280301,0.0677,0.0770999999999999,10
ecg,dp_eps16,calibrated_gaussian_reconstruction_likelihood,tpr_at_fpr_0.05,0.0975,0.0120945350376844,0.0906999999999999,0.1048,10
ecg,dp_eps16,multi_draw_mean_objective,evaluation_auc,0.4475461,0.0128532450502673,0.44013413,0.4551144900000001,10
ecg,dp_eps16,multi_draw_mean_objective,evaluation_accuracy,0.4784,0.0348359648128833,0.45659875,0.4982012499999999,10
ecg,dp_eps16,multi_draw_mean_objective,evaluation_balanced_accuracy,0.4784,0.0348359648128833,0.4562,0.49835,10
ecg,dp_eps16,multi_draw_mean_objective,evaluation_membership_advantage,-0.0431999999999999,0.0696719296257666,-0.087,-0.008495,10
ecg,dp_eps16,multi_draw_mean_objective,evaluation_tpr_at_calibrated_threshold,0.7833,0.2060890045047959,0.6539,0.9076025,10
ecg,dp_eps16,multi_draw_mean_objective,evaluation_fpr_at_calibrated_threshold,0.8265,0.1373416259632243,0.7407,0.905,10
ecg,dp_eps16,multi_draw_mean_objective,tpr_at_fpr_0.001,0.0402,0.0061246315081897,0.0366999999999999,0.0438999999999999,10
ecg,dp_eps16,multi_draw_mean_objective,tpr_at_fpr_0.01,0.0532,0.0058080404038998,0.0499,0.0567,10
ecg,dp_eps16,multi_draw_mean_objective,tpr_at_fpr_0.05,0.0843999999999999,0.00721418356049,0.0802,0.0886999999999999,10
ecg,dp_eps16,multi_draw_reconstruction,evaluation_auc,0.3843822,0.0150912727101166,0.37626598125,0.3940148999999999,10
ecg,dp_eps16,multi_draw_reconstruction,evaluation_accuracy,0.4216499999999999,0.0113726035326617,0.4154,0.42855125,10
ecg,dp_eps16,multi_draw_reconstruction,evaluation_balanced_accuracy,0.4216499999999999,0.0113726035326617,0.415,0.4284,10
ecg,dp_eps16,multi_draw_reconstruction,evaluation_membership_advantage,-0.1567,0.0227452070653235,-0.1700025,-0.1437975,10
ecg,dp_eps16,multi_draw_reconstruction,evaluation_tpr_at_calibrated_threshold,0.5051,0.0326035103767813,0.4875,0.5263,10
ecg,dp_eps16,multi_draw_reconstruction,evaluation_fpr_at_calibrated_threshold,0.6618,0.0333059887841344,0.6422975,0.6816000000000001,10
