epoch,d_loss,g_loss,classification_weight,proximity_weight,sparsity_weight,group_sparsity_weight,diversity_weight,margin_validity,proximity,margin_validity_disease_to_no_disease,margin_validity_no_disease_to_disease,constraint_validity,selection_score
1,0.6807688534259796,10.284329843521117,8.0,0.04,0.01,0.0,0.0,,,,,,
2,0.5681031286716461,9.844802641868592,8.0,0.04,0.01,0.0,0.0,,,,,,
3,0.46135914176702497,9.741869735717774,8.0,0.04,0.01,0.0,0.0,,,,,,
4,0.3902142122387886,9.896433591842651,8.0,0.04,0.01,0.0,0.0,,,,,,
5,0.6123403668403625,9.262450408935546,8.0,0.04,0.01,0.0,0.0,,,,,,
6,0.5169187515974045,9.626617813110352,8.0,0.04,0.01,0.0,0.0,,,,,,
7,0.4108670711517334,9.727732586860657,8.0,0.04,0.01,0.0,0.0,,,,,,
8,0.308076348900795,10.423738241195679,8.0,0.04,0.01,0.0,0.0,,,,,,
9,0.23888260275125503,11.005789947509765,8.0,0.04,0.01,0.0,0.0,,,,,,
10,0.19841513633728028,11.046000766754151,8.0,0.04,0.01,0.0,0.0,,,,,,
11,0.1773846171796322,9.683829069137573,8.0,0.04,0.01,0.0,0.0,,,,,,
12,0.34922956228256224,9.26689715385437,8.0,0.04,0.01,0.0,0.0,,,,,,
13,0.44664824604988096,9.83334414958954,8.0,0.04,0.01,0.0,0.0,,,,,,
14,0.3365805968642235,10.093658447265625,8.0,0.04,0.01,0.0,0.0,,,,,,
15,0.26684204712510107,10.3463143825531,8.0,0.04,0.01,0.0,0.0,,,,,,
16,0.24515744894742966,10.056787252426147,8.0,0.04,0.01,0.0,0.0,,,,,,
17,0.29855980575084684,10.301413822174073,8.0,0.04,0.01,0.0,0.0,,,,,,
18,0.5866657599806786,9.895632696151733,8.0,0.04,0.01,0.0,0.0,,,,,,
19,0.50376755297184,10.121928644180297,8.0,0.04,0.01,0.0,0.0,,,,,,
20,0.49814160615205766,10.926171159744262,8.0,0.04,0.01,0.0,0.0,,,,,,
21,0.37496974915266035,11.376120805740356,8.0,0.04,0.01,0.0,0.0,,,,,,
22,0.3514311328530312,10.735341644287109,8.0,0.04,0.01,0.0,0.0,,,,,,
23,1.354167991876602,10.010912895202637,8.0,0.04,0.01,0.0,0.0,,,,,,
24,1.2903546273708344,9.371776700019836,8.0,0.04,0.01,0.0,0.0,,,,,,
25,0.5471935823559761,10.42919726371765,8.0,0.04,0.01,0.0,0.0,,,,,,
26,0.5033248528838158,9.804160594940186,8.0,0.04,0.01,0.0,0.0,,,,,,
27,0.5475995302200317,10.41894235610962,8.0,0.04,0.01,0.0,0.0,,,,,,
28,0.4265999600291252,10.507129192352295,8.0,0.04,0.01,0.0,0.0,,,,,,
29,0.37190546840429306,10.968403387069703,8.0,0.04,0.01,0.0,0.0,,,,,,
30,0.34872194826602937,10.97165126800537,8.0,0.04,0.01,0.0,0.0,,,,,,
31,0.33209767788648603,10.944995069503785,8.022222222222222,0.04088888888888889,0.0105,0.0008333333333333334,0.00044444444444444447,,,,,,
32,0.2969733901321888,10.591593170166016,8.044444444444444,0.04177777777777778,0.011000000000000001,0.0016666666666666668,0.0008888888888888889,,,,,,
33,0.31088549494743345,10.861329698562622,8.066666666666666,0.042666666666666665,0.0115,0.0025,0.0013333333333333333,,,,,,
34,0.38673425316810606,10.404611301422118,8.088888888888889,0.043555555555555556,0.012,0.0033333333333333335,0.0017777777777777779,,,,,,
35,0.36370382457971573,10.557494068145752,8.11111111111111,0.044444444444444446,0.0125,0.004166666666666667,0.0022222222222222222,,,,,,
