epoch,d_loss,g_loss,classification_weight,proximity_weight,sparsity_weight,group_sparsity_weight,diversity_weight,margin_validity,margin_validity_disease_to_no_disease,margin_validity_no_disease_to_disease,proximity,constraint_validity,selection_score
1,0.6721614181995392,9.460878324508666,8.0,0.04,0.01,0.0,0.0,0.25390625,0.21875,0.2890625,0.11389205232262611,1.0,0.4482116473838687
2,0.5224930390715599,8.657603216171264,8.0,0.04,0.01,0.0,0.0,0.359375,0.3359375,0.3828125,0.11223974823951721,1.0,0.5537630125880241
3,0.4081761881709099,7.720342779159546,8.0,0.04,0.01,0.0,0.0,0.5,0.671875,0.328125,0.10359929502010345,1.0,0.6948200352489948
4,0.48508156687021253,6.137565159797669,8.0,0.04,0.01,0.0,0.0,0.5859375,0.8515625,0.3203125,0.11748451739549637,1.0,0.7800632741302251
5,0.6232480347156525,5.844256925582886,8.0,0.04,0.01,0.0,0.0,0.6484375,0.9140625,0.3828125,0.11850612983107567,1.0,0.8425121935084462
6,0.47703101485967636,5.743672108650207,8.0,0.04,0.01,0.0,0.0,0.671875,0.9140625,0.4296875,0.11683079227805138,1.0,0.8660334603860974
7,0.37663101851940156,5.868641638755799,8.0,0.04,0.01,0.0,0.0,0.67578125,0.8828125,0.46875,0.1223960593342781,1.0,0.8696614470332861
8,0.2916924424469471,5.494173908233643,8.0,0.04,0.01,0.0,0.0,0.7421875,0.8828125,0.6015625,0.12930978089571,1.0,0.9357220109552145
9,0.42351206988096235,5.478112697601318,8.0,0.04,0.01,0.0,0.0,0.734375,0.8515625,0.6171875,0.14006780087947845,1.0,0.9273716099560261
10,0.3756893306970596,4.9239880561828615,8.0,0.04,0.01,0.0,0.0,0.65234375,0.9140625,0.390625,0.13152667880058289,1.0,0.8457674160599709
11,0.44046619087457656,5.2667183637619015,8.0,0.04,0.01,0.0,0.0,0.67578125,0.96875,0.3828125,0.13683497160673141,1.0,0.8689395014196634
12,0.36059809327125547,5.232976198196411,8.0,0.04,0.01,0.0,0.0,0.7734375,0.96875,0.578125,0.14668133854866028,1.0,0.966103433072567
13,0.39677741229534147,5.594081830978394,8.0,0.04,0.01,0.0,0.0,0.65234375,0.875,0.4296875,0.13941088318824768,1.0,0.8453732058405876
14,0.35359296649694444,5.625247240066528,8.0,0.04,0.01,0.0,0.0,0.765625,0.9375,0.59375,0.1485970988869667,1.0,0.9581951450556516
