direction,method,method_family,cfe_logit,plaintext_logit_recomputed,he_logit,abs_logit_error,label_agreement
no_disease_to_disease,genetic_cfe,Baseline,0.1000292301177978,0.1000293609674041,0.09992918483431829,0.00010017613308581363,True
no_disease_to_disease,countergan_one_shot,Non-DP CounterGAN,0.1000463515520095,0.10004649727729435,0.09988763919803335,0.00015885807926099837,True
disease_to_no_disease,genetic_cfe,Baseline,-0.1000551283359527,-0.10005516809013287,-0.09972638307544342,0.0003287850146894561,True
disease_to_no_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,-0.1000574827194213,-0.10005746409206606,-0.09999167037254324,6.579371952282476e-05,True
disease_to_no_disease,genetic_cfe,Baseline,-0.100058689713478,-0.1000587032888482,-0.09968426114297615,0.0003744421458720393,True
no_disease_to_disease,countergan_sparse_diverse_no_dp,Non-DP CounterGAN,0.1000680401921272,0.1000680401574918,0.10035272003897348,0.0002846798814816892,True
no_disease_to_disease,countergan_sparse_diverse_no_dp,Non-DP CounterGAN,0.1000788360834121,0.10007892268677578,0.1008141263148199,0.0007352036280441204,True
no_disease_to_disease,genetic_cfe,Baseline,0.1001124382019043,0.10011249178291509,0.10076380654038557,0.0006513147574704753,True
disease_to_no_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,-0.1001150161027908,-0.10011495466949466,-0.09999030844704587,0.00012464622244878765,True
disease_to_no_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,-0.1001224815845489,-0.100122547729257,-0.09978363004944073,0.00033891767981626686,True
disease_to_no_disease,uniform_random,Baseline,-0.1001263111829757,-0.10012604213725965,-0.10114413231561037,0.0010180901783507224,True
no_disease_to_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,0.1001642420887947,0.1001642574725704,0.10094394776963601,0.0007796902970656078,True
disease_to_no_disease,countergan_sparse_diverse_no_dp,Non-DP CounterGAN,-0.100168690085411,-0.1001686202789549,-0.10007469976925121,9.392050970369326e-05,True
disease_to_no_disease,genetic_cfe,Baseline,-0.1001902520656585,-0.10019018013113412,-0.10027346608923736,8.328595810323802e-05,True
no_disease_to_disease,uniform_random,Baseline,0.1002063825726509,0.1002064197214039,0.10110951777538627,0.0009030980539823652,True
no_disease_to_disease,genetic_cfe,Baseline,0.1002206951379776,0.1002205678103734,0.10051349798228418,0.0002929301719107741,True
no_disease_to_disease,genetic_cfe,Baseline,0.100225381553173,0.1002253655663145,0.10067480499295255,0.00044943942663804026,True
disease_to_no_disease,genetic_cfe,Baseline,-0.1002376079559326,-0.10023759450865727,-0.10061312721890525,0.0003755327102479833,True
disease_to_no_disease,countergan_sparse_diverse_no_dp,Non-DP CounterGAN,-0.1002534478902816,-0.10025344251190851,-0.10064731341752373,0.0003938709056152123,True
no_disease_to_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,0.1002623438835144,0.10026244529613876,0.10124096973308377,0.0009785244369450163,True
no_disease_to_disease,countergan_sparse_diverse_no_dp,Non-DP CounterGAN,0.1002850532531738,0.10028511805702534,0.09878949479816221,0.0014956232588631269,True
no_disease_to_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,0.1002850532531738,0.10028511805702534,0.09879694591094904,0.0014881721460762998,True
no_disease_to_disease,genetic_cfe,Baseline,0.1003292351961135,0.10032927953949664,0.10092324974955781,0.000593970210061176,True
disease_to_no_disease,countergan_sparse_diverse_no_dp,Non-DP CounterGAN,-0.1003820300102233,-0.10038200126542762,-0.09979510864793105,0.0005868926174965733,True
no_disease_to_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,0.100410059094429,0.10041002830420839,0.10117308394962855,0.0007630556454201604,True
disease_to_no_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,-0.1004191190004348,-0.10041903774733726,-0.1003300415873095,8.899616002776278e-05,True
no_disease_to_disease,genetic_cfe,Baseline,0.1004364788532257,0.10043652553166577,0.10152507813945164,0.0010885526077858698,True
no_disease_to_disease,uniform_random,Baseline,0.1004534065723419,0.10045346837267088,0.10070709701578937,0.0002536286431184809,True
no_disease_to_disease,countergan_one_shot,Non-DP CounterGAN,0.100454494357109,0.10045447444286174,0.10057303965923231,0.00011856521637057527,True
no_disease_to_disease,proposed_countergan,Non-DP CounterGAN,0.100454494357109,0.10045447444286174,0.10062719008978445,0.00017271564692271368,True
