candidate_cohort_seed,cohort_position,query_id,method,method_family,direction,candidate_budget,rank,cfe_logit
101,328,62,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,disease_to_no_disease,1024,6,-0.162420779466629
101,329,15,proposed_countergan,Non-DP CounterGAN,disease_to_no_disease,1024,8,-0.7290843725204468
101,330,116,dice_gradient_style,Baseline,no_disease_to_disease,1024,6,1.368704080581665
101,331,118,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,no_disease_to_disease,1024,8,0.3824444413185119
101,332,140,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,no_disease_to_disease,1024,7,0.3653119206428528
101,333,125,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,no_disease_to_disease,1024,7,0.4914930760860443
101,334,161,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,no_disease_to_disease,1024,5,0.5865093469619751
101,335,102,proposed_countergan,Non-DP CounterGAN,no_disease_to_disease,1024,7,0.630630612373352
101,336,10,dice_gradient_style,Baseline,disease_to_no_disease,1024,8,-1.4582090377807615
101,337,46,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,disease_to_no_disease,1024,4,-0.948843002319336
101,338,59,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,disease_to_no_disease,1024,2,-0.3620438873767853
101,339,9,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,disease_to_no_disease,1024,8,-2.725555658340454
101,340,64,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,disease_to_no_disease,1024,7,-0.6587852239608765
101,341,64,proposed_countergan,Non-DP CounterGAN,disease_to_no_disease,1024,8,-2.250550985336304
101,342,123,wachter_style,Baseline,no_disease_to_disease,1024,1,0.2982330918312073
101,343,102,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,no_disease_to_disease,1024,9,0.1050451397895813
101,344,121,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,no_disease_to_disease,1024,9,0.4058338403701782
101,345,102,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,no_disease_to_disease,1024,4,0.6078100800514221
101,346,135,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,no_disease_to_disease,1024,10,0.6392883062362671
101,347,132,proposed_countergan,Non-DP CounterGAN,no_disease_to_disease,1024,8,0.9336793422698976
101,348,65,uniform_random,Baseline,disease_to_no_disease,1024,9,-0.2557647228240967
101,349,36,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,disease_to_no_disease,1024,9,-0.1260323524475097
101,350,0,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,disease_to_no_disease,1024,5,-1.2091622352600098
101,351,18,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,disease_to_no_disease,1024,4,-0.8085694313049316
101,352,20,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,disease_to_no_disease,1024,2,-0.1553665101528167
101,353,88,countergan_one_shot,Non-DP CounterGAN,disease_to_no_disease,1024,1,-0.6299000978469849
101,354,108,uniform_random,Baseline,no_disease_to_disease,1024,4,0.1583392918109893
101,355,130,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,no_disease_to_disease,1024,1,0.2148832380771637
101,356,111,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,no_disease_to_disease,1024,10,0.6480666399002075
101,357,145,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,no_disease_to_disease,1024,8,0.4213895797729492
101,358,132,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,no_disease_to_disease,1024,1,0.1410488784313202
101,359,171,proposed_countergan,Non-DP CounterGAN,no_disease_to_disease,1024,1,0.2102872431278228
101,360,87,uniform_random,Baseline,disease_to_no_disease,1024,6,-0.1556687653064727
101,361,91,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,disease_to_no_disease,1024,6,-0.1685154139995575
101,362,68,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,disease_to_no_disease,1024,9,-0.2978037893772125
101,363,74,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,disease_to_no_disease,1024,2,-0.2152434885501861
