epoch,train_loss,valid_selection_score,valid_threshold
1,0.6403347087507766,0.293098128461244,0.4904574179649353
2,0.5268897037129782,0.3510310929209533,0.42226184988021853
3,0.48552202974954917,0.38238793293195983,0.4644174500465393
4,0.471924049091124,0.3901953228861519,0.44755983815193173
5,0.4670488361177607,0.39276389026258846,0.43436069712638853
6,0.46390124297138363,0.39578020525972635,0.4536342942714691
7,0.46223379393338165,0.39850164644766084,0.4467328213214873
8,0.4602368459839282,0.3997390802555024,0.431502526473999
9,0.4593098256583949,0.40113183322672663,0.45904655685424806
10,0.4579522320738013,0.4013759493335115,0.4797844803333282
11,0.4572408682606286,0.40237607148471627,0.45046759877204884
12,0.4570075136219306,0.4025551241137854,0.4367595164775848
13,0.4559806227833743,0.4036220168588991,0.47389359378814694
14,0.4552958717573891,0.4038052515509148,0.45861795754432677
15,0.4547589170764103,0.403615551638447,0.4754662203788757
16,0.4548949841915348,0.40396285482036975,0.4613696843624115
17,0.455110901091096,0.4048221775385271,0.45877293825149545
18,0.4541582467963366,0.40482799198482955,0.4210754997253418
19,0.45405530812220024,0.4048992886072621,0.46982688212394713
20,0.4538830727099541,0.4044646558800047,0.4536771075725555
21,0.45340188828675515,0.4047782153225693,0.4472119938850402
22,0.4538869519490248,0.4050431185098534,0.44967807860374415
23,0.4532863885094289,0.40497348599776484,0.43991923732757554
24,0.4529929565392752,0.4056453082664309,0.43596263003349306
25,0.45301583315833954,0.4050348640181147,0.44077900280952453
26,0.4531000168168784,0.405544818645634,0.4391976144790649
27,0.4525133419124865,0.4052474212312651,0.43774235520362853
28,0.4527171221390285,0.4055974751692991,0.44500933356285094
29,0.4525166591280652,0.40547151635782697,0.4377977020263671
30,0.4524181904388597,0.4052051767062742,0.4436533321380616
31,0.45212147400026814,0.4050101038827998,0.4315904131412506
32,0.4521060147588328,0.40575153108182055,0.42645178937912004
33,0.4519730702215677,0.405961280553335,0.4276561405658723
34,0.45197504073877953,0.4055786778711732,0.444007933139801
35,0.4520465874578436,0.40549497133342527,0.4287899104595183
36,0.45188242070799683,0.40570187767191573,0.44767895340919495
37,0.4515944893045905,0.40499946448173774,0.42758026576042174
38,0.45167039398876435,0.4061579376624713,0.43633952765464773
39,0.45172131130456644,0.4062198065639818,0.4502077042579651
40,0.45158810256194465,0.40591106955048895,0.4340984434127807
41,0.4511998728470268,0.40642854212720564,0.44055742273330667
42,0.4513168933795271,0.4061256764314209,0.4234277903556824
43,0.4514457750927267,0.4058678841147867,0.4277392441749573
44,0.4515401065891634,0.40601363914574506,0.42312036061286923
45,0.45091449131168504,0.4058939256031875,0.42236176271438597
46,0.45101713787301206,0.405392653150483,0.4192550201892849
47,0.45087619346823593,0.4061273527890994,0.4281029927730561
48,0.4509873239034728,0.40673094908737295,0.42836540412902835
49,0.450648459103813,0.4061117841896211,0.42735580945014956
50,0.45062369888948506,0.40608037306316447,0.46553164649009704
51,0.45071443762143437,0.40549035972236014,0.4327439764022826
52,0.4504643640611933,0.40566598934304743,0.4307548223495483
53,0.45033234427488217,0.40579595301622085,0.4321996779918671
54,0.450397320609839,0.40515618728168984,0.4325885778427123
55,0.450342021935502,0.40626525474789754,0.4530528299331665
56,0.45015351914165386,0.40557865110924635,0.41799744486808743
