dataset,variant,attack_seed,exact_match_rate,near_duplicate_rate_0_001,near_duplicate_rate_0_01,dcr_mean,dcr_median,dcr_p01,dcr_p05,nndr_mean,nndr_median,train_to_holdout_dcr_ratio_median
heartplus,countergan,101,0.0,0.0,0.002,0.12921533351872508,0.12097631309097426,0.03186286400028971,0.05686623341964268,0.8533538334456267,0.8935868608366326,0.9836539449027328
heartplus,dp_eps16,101,0.0,0.001,0.039,0.10071712585663829,0.08874483603491456,0.003253546600528809,0.013378218813312867,0.807248736175998,0.871832592653435,0.9942082361747253
heartplus,dp_eps8,101,0.0,0.005,0.05,0.0943740809321492,0.07688601882603907,0.001392320000295492,0.010273980787681625,0.8065326117502707,0.88230372967067,1.0108837362198573
heartplus,dp_eps4,101,0.0,0.004,0.036,0.10041687991888021,0.08996290582968197,0.0024129694894940894,0.013471090005374543,0.8034158970342018,0.8668850405393292,1.00737592527301
heartplus,dp_eps2,101,0.0,0.0,0.023,0.10292523110086128,0.086744269332577,0.006191757901412195,0.018060252555913682,0.8180530244223457,0.8771162346924155,0.9988074958580376
heartplus,countergan,202,0.0,0.0,0.0,0.1283880248179282,0.12359711425749892,0.032192250173290735,0.058977735955852394,0.8539548323182131,0.8906077629743788,0.9808516479361429
heartplus,dp_eps16,202,0.0,0.007,0.037,0.10180931810262285,0.08996919150693077,0.0019636147985725625,0.01744497773343022,0.8078596086962281,0.8702572711188186,1.0065824682379314
heartplus,dp_eps8,202,0.0,0.006,0.046,0.09141207380766822,0.07503253634990198,0.0014238158107591045,0.01104649191975697,0.801196584128111,0.8573158759019435,0.9735026658235003
heartplus,dp_eps4,202,0.0,0.007,0.041,0.09973568003846947,0.0874954652452859,0.001414675121733136,0.015251667247647208,0.7999914768565684,0.8589371828575578,1.0031649209590352
heartplus,dp_eps2,202,0.0,0.002,0.025,0.10122277418689199,0.0858157881146472,0.004018856963826203,0.018266521342640497,0.8063172728970669,0.8517404774757298,0.9682790994187215
heartplus,countergan,303,0.0,0.0,0.0,0.128437130277897,0.12081786928196526,0.032271017073061514,0.056553027723295395,0.8554109225006318,0.8963549071484833,0.9681359443220692
heartplus,dp_eps16,303,0.0,0.005,0.041,0.10057272451693891,0.0931246915919272,0.0024892083538818025,0.013305291985055525,0.811970643898153,0.871892992666095,0.9992383910978062
heartplus,dp_eps8,303,0.0,0.006,0.049,0.08978835605088901,0.07389226229757423,0.0017763082638252033,0.010317857176279475,0.793267575379418,0.865597325514854,0.9707117302937543
heartplus,dp_eps4,303,0.0,0.008,0.047,0.0992749726508651,0.09105568153890424,0.001692955833556492,0.011635699552427443,0.8040520369715031,0.8614657187897486,1.00287636738716
heartplus,dp_eps2,303,0.0,0.002,0.019,0.10055529868805434,0.08670520678469174,0.005446593555098569,0.017570594958092423,0.8194789413091274,0.8708566469499415,0.9631295029713643
heartplus,countergan,404,0.0,0.0,0.001,0.13216394669924708,0.12218315690852963,0.027559778685086005,0.055655926731452705,0.8636155431346462,0.9043323704668698,0.9908219467518729
heartplus,dp_eps16,404,0.0,0.004,0.039,0.09984706520611976,0.08893239964974449,0.0025777766534242573,0.015224975568187134,0.807504059210087,0.8594815759758481,0.9849519641724859
heartplus,dp_eps8,404,0.0,0.006,0.045,0.09423129985868815,0.074616180918851,0.0015369379603979905,0.011310609094528705,0.803694716528554,0.8725674891304058,0.9969340913784364
heartplus,dp_eps4,404,0.0,0.003,0.046,0.1000830930552285,0.08660816251503692,0.0017825806659597916,0.01087889282608737,0.8000729477580174,0.8591805247921456,1.0134644529387034
heartplus,dp_eps2,404,0.0,0.001,0.025,0.10407624487749328,0.08636991887964093,0.005698560582551177,0.01804163663566235,0.8241116626493606,0.8756126266567634,0.9950615747459153
heartplus,countergan,505,0.0,0.001,0.003,0.12827619537079168,0.12206085496692451,0.029512259676830653,0.05507729611788037,0.8503768662987434,0.8968624732945616,0.975923227266406
heartplus,dp_eps16,505,0.0,0.001,0.027,0.10219009749220959,0.09371958449227782,0.004903395145715256,0.017741102498010024,0.8111992762009292,0.8677429122049677,0.9982225281197538
heartplus,dp_eps8,505,0.0,0.011,0.048,0.0930267540634124,0.07799657650802203,0.0008147141882548359,0.010270565028555327,0.7967037840889288,0.8637302907457783,1.0066228158379866
heartplus,dp_eps4,505,0.0,0.005,0.038,0.10199791825571662,0.09282499248925292,0.0030529211879714952,0.015963978572018252,0.8121159735954825,0.8744538254883625,1.0165525841978638
heartplus,dp_eps2,505,0.0,0.002,0.018,0.10401584968985837,0.08824103729451464,0.004497946871637777,0.020362123725380547,0.821909942775771,0.877512550646104,0.9977374199185715
heartplus,countergan,606,0.0,0.0,0.003,0.12994644559426177,0.12375128890163406,0.03238186991610849,0.05571907650412089,0.8562872657257058,0.8921646661874446,0.9921929207653042
heartplus,dp_eps16,606,0.0,0.003,0.039,0.10204629724360484,0.09279364178068132,0.002689861613884663,0.01372005098458381,0.7992660861544659,0.8650131374236811,0.997210281525311
heartplus,dp_eps8,606,0.0,0.004,0.046,0.09522033437152334,0.07836483703144369,0.0021819939597083047,0.010899069329615608,0.7990654365717538,0.8678755528777744,0.9963241512506353
heartplus,dp_eps4,606,0.0,0.009,0.04,0.10286164666538668,0.09358701356238436,0.0012267557353959607,0.014078752648998017,0.8047139159003299,0.8654314358454422,1.0451918346194748
heartplus,dp_eps2,606,0.0,0.001,0.03,0.1038617014615693,0.0926744469459713,0.0043504802537917085,0.017649255019992614,0.8146662870588748,0.8639794521866129,0.9834688168198809
heartplus,countergan,707,0.0,0.0,0.001,0.12633681289462179,0.12130639348486885,0.02976296973972438,0.05490976184622837,0.8549128669465615,0.8921436279281562,0.9845720172856021
heartplus,dp_eps16,707,0.0,0.004,0.029,0.09981110787316853,0.0867101781557239,0.003616270785729616,0.017405926681840465,0.8093498660590747,0.864283812423195,1.0268056128016687
heartplus,dp_eps8,707,0.0,0.005,0.04,0.09183155300203759,0.0750659812485209,0.0017921281762593036,0.01277156112457578,0.8096045049290436,0.8716203804961485,0.9931004780445929
heartplus,dp_eps4,707,0.0,0.004,0.029,0.09959684873094513,0.08409472742727261,0.004177030773013779,0.017438690347272627,0.8087827609717333,0.8562881572483383,1.020443367626027
