epoch,d_loss,g_loss,classification_weight,proximity_weight,sparsity_weight,group_sparsity_weight,diversity_weight,margin_validity,margin_validity_disease_to_no_disease,margin_validity_no_disease_to_disease,proximity,constraint_validity,selection_score
24,0.5068776056170463,1.1419075727462769,8.0,0.04,0.01,0.0,0.0,0.95703125,0.9921875,0.921875,0.18405559659004211,1.0,1.147828470170498
25,0.5051007315516471,1.1297201812267303,8.0,0.04,0.01,0.0,0.0,0.88671875,0.9921875,0.78125,0.1979934647679329,1.0,1.0768190767616033
26,0.4885096251964569,1.0513726830482484,8.0,0.04,0.01,0.0,0.0,0.953125,0.9375,0.96875,0.1967695653438568,1.0,1.1432865217328072
27,0.5098389759659767,1.1547023743391036,8.0,0.04,0.01,0.0,0.0,0.90234375,1.0,0.8046875,0.1947728544473648,1.0,1.0926051072776317
28,0.4995219498872757,1.1756718546152114,8.0,0.04,0.01,0.0,0.0,0.89453125,0.9921875,0.796875,0.19108650088310242,1.0,1.0849769249558447
29,0.5184883132576943,1.1452854990959167,8.0,0.04,0.01,0.0,0.0,0.96875,0.953125,0.984375,0.18149202316999435,1.0,1.1596753988415003
30,0.5116754710674286,1.0754715353250504,8.0,0.04,0.01,0.0,0.0,0.91796875,1.0,0.8359375,0.2120690867304802,1.0,1.1073652956634759
31,0.5219492614269257,1.1919813305139542,8.022222222222222,0.04088888888888889,0.0105,0.0008333333333333334,0.00044444444444444447,0.96875,0.9921875,0.9453125,0.1656670868396759,1.0,1.1604666456580162
32,0.5499552145600319,1.1661723017692567,8.044444444444444,0.04177777777777778,0.011000000000000001,0.0016666666666666668,0.0008888888888888889,0.875,1.0,0.75,0.19359492510557175,1.0,1.0653202537447213
33,0.5321565195918083,1.0978790193796157,8.066666666666666,0.042666666666666665,0.0115,0.0025,0.0013333333333333333,0.9609375,0.9921875,0.9296875,0.16348621249198914,1.0,1.1527631893754005
34,0.5167732298374176,1.1388665676116942,8.088888888888889,0.043555555555555556,0.012,0.0033333333333333335,0.0017777777777777779,0.93359375,0.9921875,0.875,0.19047854095697403,1.0,1.1240698229521513
35,0.5404239743947983,1.1146628916263581,8.11111111111111,0.044444444444444446,0.0125,0.004166666666666667,0.0022222222222222222,0.86328125,0.984375,0.7421875,0.17457181215286255,1.0,1.0545526593923569
36,0.5307746455073357,1.051786532998085,8.133333333333333,0.04533333333333334,0.013000000000000001,0.005,0.0026666666666666666,0.9765625,0.9765625,0.9765625,0.21094807982444763,1.0,1.1660150960087776
37,0.49285598248243334,1.061472734808922,8.155555555555555,0.04622222222222222,0.013500000000000002,0.005833333333333334,0.0031111111111111114,0.85546875,0.9921875,0.71875,0.15804306417703629,1.0,1.047566596791148
38,0.5572045385837555,1.1225180804729462,8.177777777777777,0.04711111111111111,0.014000000000000002,0.006666666666666667,0.0035555555555555557,0.84375,0.9921875,0.6953125,0.1990152969956398,1.0,1.0337992351502179
39,0.5024051010608673,1.0954378694295883,8.2,0.048,0.0145,0.0075,0.004,0.91015625,0.9453125,0.875,0.16396140307188034,1.0,1.101958179846406
40,0.5337393432855606,1.0496969312429427,8.222222222222221,0.04888888888888889,0.015,0.008333333333333333,0.0044444444444444444,0.94140625,0.921875,0.9609375,0.2080131247639656,1.0,1.1310055937618018
41,0.5290991798043251,1.186038714647293,8.244444444444444,0.04977777777777778,0.0155,0.009166666666666667,0.004888888888888889,0.88671875,0.9921875,0.78125,0.16029682010412216,1.0,1.0787039089947938
42,0.5401148438453675,1.1778657644987107,8.266666666666667,0.050666666666666665,0.016,0.01,0.005333333333333333,0.90625,0.8203125,0.9921875,0.19183993339538574,1.0,1.0966580033302307
43,0.48411424458026886,1.1304145187139512,8.28888888888889,0.051555555555555556,0.0165,0.010833333333333332,0.0057777777777777775,0.8203125,0.9921875,0.6484375,0.177068829536438,0.99609375,1.010677808523178
44,0.5063193053007126,1.0936372458934784,8.311111111111112,0.052444444444444446,0.017,0.011666666666666667,0.006222222222222223,0.9140625,0.8359375,0.9921875,0.18859782814979553,1.0,1.1046326085925102
45,0.5206650495529175,1.190386739373207,8.333333333333334,0.05333333333333333,0.0175,0.012499999999999999,0.006666666666666666,0.91796875,0.9921875,0.84375,0.1868809387087822,1.0,1.1086247030645608
46,0.5204943791031837,1.167945858836174,8.355555555555556,0.05422222222222223,0.018000000000000002,0.013333333333333334,0.0071111111111111115,0.953125,0.9921875,0.9140625,0.18411065638065338,1.0,1.1439194671809674
47,0.48167666643857954,1.1101379841566086,8.377777777777778,0.05511111111111111,0.018500000000000003,0.014166666666666666,0.007555555555555556,0.984375,1.0,0.96875,0.18384823203086853,1.0,1.1751825883984566
48,0.4910117626190186,1.1143090814352035,8.4,0.056,0.019000000000000003,0.015,0.008,0.9765625,0.9921875,0.9609375,0.1730644702911377,1.0,1.167909276485443
49,0.4772588789463043,1.1112687200307847,8.422222222222222,0.05688888888888889,0.019500000000000003,0.01583333333333333,0.008444444444444445,0.98046875,0.96875,0.9921875,0.18933924287557602,1.0,1.171001787856221
50,0.49495719075202943,1.2182222664356233,8.444444444444445,0.057777777777777775,0.02,0.016666666666666666,0.008888888888888889,0.8984375,1.0,0.796875,0.17022736370563507,1.0,1.0899261318147182
51,0.487353141605854,1.2134447425603867,8.466666666666667,0.05866666666666667,0.0205,0.017499999999999998,0.009333333333333334,0.97265625,0.9453125,1.0,0.17592686414718628,1.0,1.1638599067926407
52,0.49594125598669053,1.1585811108350754,8.488888888888889,0.059555555555555556,0.021,0.018333333333333333,0.009777777777777778,0.859375,0.9921875,0.7265625,0.1587078645825386,1.0,1.0514396067708731
53,0.4649263575673103,1.044839194417,8.511111111111111,0.06044444444444444,0.0215,0.019166666666666665,0.010222222222222221,0.8984375,0.796875,1.0,0.18248897045850754,1.0,1.0893130514770746
54,0.4914473220705986,1.2147793531417848,8.533333333333333,0.06133333333333334,0.022000000000000002,0.02,0.010666666666666666,0.9453125,0.9921875,0.8984375,0.1398201435804367,1.0,1.1383214928209782
55,0.4957063436508179,1.1144834280014038,8.555555555555555,0.06222222222222222,0.022500000000000003,0.020833333333333332,0.011111111111111112,0.953125,1.0,0.90625,0.1739654466509819,1.0,1.144426727667451
56,0.4931222528219223,1.1544441282749176,8.577777777777778,0.06311111111111112,0.023,0.021666666666666664,0.011555555555555555,0.91015625,1.0,0.8203125,0.14188658446073532,1.0,1.1030619207769632
57,0.49535121768713,1.1490829974412917,8.6,0.064,0.0235,0.0225,0.012,0.94921875,1.0,0.8984375,0.16214265674352646,1.0,1.1411116171628237
58,0.48352000415325164,1.2263842314481734,8.622222222222222,0.06488888888888888,0.024,0.023333333333333334,0.012444444444444445,0.9453125,1.0,0.890625,0.13787277042865753,1.0,1.138418861478567
59,0.4834002822637558,1.2479945957660674,8.644444444444444,0.06577777777777778,0.0245,0.024166666666666666,0.01288888888888889,0.90625,0.9921875,0.8203125,0.1666344776749611,1.0,1.0979182761162518
60,0.48879960626363755,1.215429073572159,8.666666666666666,0.06666666666666667,0.025,0.024999999999999998,0.013333333333333332,0.97265625,0.9609375,0.984375,0.1421077698469162,1.0,1.1655508615076542
61,0.453164678812027,1.098727023601532,8.688888888888888,0.06755555555555556,0.025500000000000002,0.025833333333333333,0.013777777777777778,0.890625,1.0,0.78125,0.16796566545963287,1.0,1.0822267167270183
62,0.49016185402870177,1.2822263181209563,8.71111111111111,0.06844444444444445,0.026000000000000002,0.02666666666666667,0.014222222222222223,0.96875,1.0,0.9375,0.13190269470214844,1.0,1.1621548652648925
63,0.495369853079319,1.1197648376226426,8.733333333333333,0.06933333333333333,0.026500000000000003,0.027499999999999997,0.014666666666666666,0.8359375,1.0,0.671875,0.18886807560920715,1.0,1.0264940962195397
64,0.4944205805659294,1.2784694224596023,8.755555555555556,0.07022222222222223,0.027000000000000003,0.028333333333333332,0.015111111111111112,0.9765625,0.9921875,0.9609375,0.1323418915271759,1.0,1.1699454054236411
65,0.47099301367998125,1.1785775750875473,8.777777777777779,0.07111111111111111,0.027500000000000004,0.029166666666666667,0.015555555555555557,0.6640625,1.0,0.328125,0.16679945588111877,1.0,0.855722527205944
66,0.4731143057346344,1.2205316364765166,8.8,0.07200000000000001,0.028000000000000004,0.03,0.016,0.99609375,1.0,0.9921875,0.1312495619058609,1.0,1.1895312719047069
67,0.4502223715186119,1.0760389685630798,8.822222222222223,0.07288888888888889,0.028500000000000004,0.03083333333333333,0.016444444444444446,0.76953125,1.0,0.5390625,0.1779349520802498,1.0,0.9606345023959875
68,0.46229511201381684,1.2357433825731277,8.844444444444445,0.07377777777777778,0.029000000000000005,0.03166666666666666,0.01688888888888889,0.98828125,0.984375,0.9921875,0.13193294405937195,1.0,1.1816846027970314
69,0.49789020866155625,1.1835316300392151,8.866666666666667,0.07466666666666667,0.029500000000000005,0.0325,0.017333333333333336,0.80859375,1.0,0.6171875,0.17126284539699554,1.0,1.0000306077301502
70,0.45485492050647736,1.2458888351917268,8.88888888888889,0.07555555555555556,0.03,0.03333333333333333,0.017777777777777778,0.984375,0.9921875,0.9765625,0.1267625354230404,1.0,1.178036873228848
71,0.47129215598106383,1.1615383803844452,8.911111111111111,0.07644444444444445,0.0305,0.034166666666666665,0.018222222222222223,0.71484375,1.0,0.4296875,0.1814878284931183,1.0,0.905769358575344
72,0.47053391486406326,1.252699437737465,8.933333333333334,0.07733333333333334,0.031,0.034999999999999996,0.018666666666666668,0.94921875,1.0,0.8984375,0.13866180181503296,1.0,1.1422856599092484
73,0.4636827364563942,1.143949255347252,8.955555555555556,0.07822222222222222,0.03150000000000001,0.035833333333333335,0.019111111111111113,0.984375,1.0,0.96875,0.16648226231336594,1.0,1.1760508868843316
74,0.4611370891332626,1.2676115483045578,8.977777777777778,0.0791111111111111,0.032,0.03666666666666667,0.019555555555555555,0.8359375,1.0,0.671875,0.13669943809509277,1.0,1.0291025280952453
75,0.4795531123876572,1.2170884430408477,9.0,0.08,0.0325,0.0375,0.02,0.9921875,1.0,0.984375,0.15085773169994354,1.0,1.1846446134150028
76,0.48176968693733213,1.1829593181610107,9.022222222222222,0.08088888888888889,0.033,0.03833333333333333,0.020444444444444442,0.953125,0.9921875,0.9140625,0.14960582554340363,1.0,1.1456447087228299
77,0.4697807773947716,1.1772799789905548,9.044444444444444,0.08177777777777778,0.0335,0.03916666666666667,0.02088888888888889,0.99609375,1.0,0.9921875,0.17585375905036926,1.0,1.1873010620474815
78,0.46485842317342757,1.2490668326616288,9.066666666666666,0.08266666666666667,0.034,0.04,0.021333333333333333,0.72265625,1.0,0.4453125,0.13659890741109848,1.0,0.915826304629445
79,0.458008798956871,1.1275897294282913,9.088888888888889,0.08355555555555555,0.0345,0.040833333333333326,0.021777777777777778,0.99609375,1.0,0.9921875,0.17613757401704788,1.0,1.1872868712991476
80,0.43448829352855683,1.1759300142526627,9.11111111111111,0.08444444444444445,0.035,0.041666666666666664,0.022222222222222223,0.9765625,1.0,0.953125,0.13770417869091034,1.0,1.1696772910654545
81,0.4490009814500809,1.1240919649600982,9.133333333333333,0.08533333333333333,0.035500000000000004,0.042499999999999996,0.022666666666666665,0.9921875,1.0,0.984375,0.17163465172052383,1.0,1.1836057674139737
82,0.4524918496608734,1.2417643189430236,9.155555555555555,0.08622222222222223,0.036000000000000004,0.04333333333333333,0.02311111111111111,0.99609375,1.0,0.9921875,0.13189532607793808,1.0,1.189498983696103
83,0.424607814848423,1.1577672511339188,9.177777777777777,0.08711111111111111,0.036500000000000005,0.04416666666666667,0.023555555555555555,0.91796875,1.0,0.8359375,0.1672460064291954,1.0,1.1096064496785403
84,0.47885867953300476,1.304939866065979,9.2,0.088,0.037000000000000005,0.045,0.024,0.984375,1.0,0.96875,0.13823629915714264,1.0,1.1774631850421429
85,0.4402300760149956,1.1228560835123063,9.222222222222221,0.08888888888888889,0.037500000000000006,0.04583333333333334,0.024444444444444446,0.953125,1.0,0.90625,0.1570717617869377,1.0,1.145271411910653
86,0.44063426554203033,1.2004146367311477,9.244444444444444,0.08977777777777779,0.038000000000000006,0.04666666666666667,0.02488888888888889,0.98828125,1.0,0.9765625,0.16750343888998032,1.0,1.1799060780555009
87,0.47606747299432756,1.2625212520360947,9.266666666666666,0.09066666666666667,0.0385,0.047499999999999994,0.025333333333333333,0.99609375,0.9921875,1.0,0.1522911787033081,1.0,1.1884791910648345
88,0.45026523619890213,1.2603001117706298,9.28888888888889,0.09155555555555556,0.03900000000000001,0.04833333333333333,0.02577777777777778,0.9921875,1.0,0.984375,0.1759825274348259,1.0,1.1833883736282587
89,0.43096792250871657,1.1896537959575653,9.311111111111112,0.09244444444444444,0.0395,0.049166666666666664,0.026222222222222223,1.0,1.0,1.0,0.1442238688468933,1.0,1.1927888065576553
90,0.4680312484502792,1.2914115816354752,9.333333333333334,0.09333333333333332,0.04,0.049999999999999996,0.026666666666666665,0.99609375,1.0,0.9921875,0.17841403186321259,1.0,1.1871730484068392
91,0.4726776987314224,1.3316979825496673,9.355555555555556,0.09422222222222223,0.04050000000000001,0.050833333333333335,0.027111111111111114,0.99609375,0.9921875,1.0,0.14953124523162842,1.0,1.1886171877384186
92,0.45221820920705796,1.2837961703538894,9.377777777777778,0.09511111111111112,0.041,0.051666666666666666,0.027555555555555555,0.80859375,1.0,0.6171875,0.187673881649971,1.0,0.9992100559175014
93,0.4156363606452942,1.2647615224123,9.4,0.096,0.0415,0.0525,0.027999999999999997,1.0,1.0,1.0,0.13851571828126907,1.0,1.1930742140859365
94,0.4505714476108551,1.2733702063560486,9.422222222222222,0.09688888888888889,0.04200000000000001,0.05333333333333334,0.028444444444444446,0.84765625,1.0,0.6953125,0.17534883320331573,1.0,1.0388888083398342
95,0.4397468835115433,1.2733594596385955,9.444444444444445,0.09777777777777777,0.0425,0.05416666666666666,0.028888888888888888,1.0,1.0,1.0,0.14862585067749023,1.0,1.1925687074661255
96,0.4164374455809593,1.2142537176609038,9.466666666666667,0.09866666666666667,0.043000000000000003,0.05499999999999999,0.029333333333333333,0.82421875,1.0,0.6484375,0.1715787947177887,1.0,1.0156398102641104
97,0.4522770017385483,1.2934623897075652,9.488888888888889,0.09955555555555556,0.043500000000000004,0.05583333333333333,0.029777777777777778,1.0,1.0,1.0,0.15274445712566376,1.0,1.1923627771437169
98,0.41317379027605056,1.186208936572075,9.511111111111111,0.10044444444444445,0.044000000000000004,0.056666666666666664,0.030222222222222223,0.9453125,1.0,0.890625,0.18119174987077713,1.0,1.136252912506461
99,0.42595000863075255,1.1640107214450837,9.533333333333333,0.10133333333333333,0.04450000000000001,0.0575,0.03066666666666667,0.99609375,1.0,0.9921875,0.13534892350435257,1.0,1.1893263038247823
100,0.41142338141798973,1.1527177542448044,9.555555555555555,0.10222222222222223,0.045000000000000005,0.058333333333333334,0.031111111111111114,1.0,1.0,1.0,0.17268097400665283,1.0,1.1913659512996673
101,0.4806986331939697,1.3775558471679688,9.577777777777778,0.1031111111111111,0.045500000000000006,0.05916666666666666,0.03155555555555555,0.99609375,0.9921875,1.0,0.13694395124912262,1.0,1.1892465524375437
102,0.42211707681417465,1.181025531888008,9.6,0.10400000000000001,0.046000000000000006,0.06,0.032,0.98828125,1.0,0.9765625,0.1876746341586113,1.0,1.1788975182920693
103,0.415412662923336,1.2955527693033217,9.622222222222222,0.10488888888888889,0.04650000000000001,0.06083333333333333,0.03244444444444444,0.98828125,1.0,0.9765625,0.1434846818447113,1.0,1.1811070159077643
104,0.4483881503343582,1.2202384918928146,9.644444444444444,0.10577777777777778,0.04700000000000001,0.06166666666666666,0.03288888888888889,0.984375,0.96875,1.0,0.1932259052991867,1.0,1.1747137047350407
105,0.4334175676107407,1.2894151210784912,9.666666666666666,0.10666666666666666,0.04750000000000001,0.0625,0.03333333333333333,0.9921875,1.0,0.984375,0.14069044589996338,1.0,1.1851529777050018
106,0.43209198564291,1.1994921118021011,9.688888888888888,0.10755555555555557,0.04800000000000001,0.06333333333333332,0.03377777777777778,0.9765625,0.9609375,0.9921875,0.19464968889951706,1.0,1.1668300155550242
107,0.43336711823940277,1.3023013651371003,9.71111111111111,0.10844444444444445,0.0485,0.06416666666666666,0.03422222222222222,0.99609375,0.9921875,1.0,0.1502070426940918,1.0,1.1885833978652953
108,0.4700048595666885,1.2234450280666351,9.733333333333334,0.10933333333333334,0.04900000000000001,0.065,0.03466666666666667,0.99609375,0.9921875,1.0,0.20113690197467804,1.0,1.186036904901266
109,0.4185343474149704,1.2477231323719025,9.755555555555556,0.11022222222222222,0.04950000000000001,0.06583333333333333,0.035111111111111114,1.0,1.0,1.0,0.15440733730793,1.0,1.1922796331346035
110,0.4220874086022377,1.2106154620647431,9.777777777777779,0.1111111111111111,0.05,0.06666666666666667,0.035555555555555556,1.0,1.0,1.0,0.19389347732067108,1.0,1.1903053261339664
111,0.44136992245912554,1.2829791605472565,9.8,0.11200000000000002,0.05050000000000001,0.0675,0.036000000000000004,0.99609375,0.9921875,1.0,0.13651830703020096,1.0,1.18926783464849
112,0.4465474680066109,1.1752735018730163,9.822222222222223,0.1128888888888889,0.051000000000000004,0.06833333333333333,0.036444444444444446,0.97265625,0.953125,0.9921875,0.21257296949625015,1.0,1.1620276015251874
113,0.4226063475012779,1.2319483190774918,9.844444444444445,0.11377777777777778,0.05150000000000001,0.06916666666666667,0.036888888888888895,0.98046875,0.9609375,1.0,0.16154691576957703,1.0,1.172391404211521
114,0.48417552262544633,1.2335383415222168,9.866666666666667,0.11466666666666667,0.052000000000000005,0.06999999999999999,0.037333333333333336,0.98046875,0.984375,0.9765625,0.20556388050317764,1.0,1.1701905559748411
115,0.46896091401576995,1.3745192468166352,9.88888888888889,0.11555555555555555,0.052500000000000005,0.07083333333333333,0.03777777777777778,0.98828125,0.9765625,1.0,0.16962497681379318,1.0,1.1798000011593104
116,0.45030936002731325,1.2754063934087754,9.911111111111111,0.11644444444444446,0.05300000000000001,0.07166666666666667,0.03822222222222223,0.99609375,1.0,0.9921875,0.2133382186293602,1.0,1.1854268390685319
117,0.4052398815751076,1.309406465291977,9.933333333333334,0.11733333333333335,0.053500000000000006,0.0725,0.03866666666666667,0.98046875,0.96875,0.9921875,0.1429331973195076,1.0,1.1733220901340247
118,0.45672277063131334,1.3945124685764312,9.955555555555556,0.11822222222222223,0.054000000000000006,0.07333333333333333,0.03911111111111111,0.99609375,0.9921875,1.0,0.20179133117198944,1.0,1.1860041834414006
119,0.4181285187602043,1.3093511819839478,9.977777777777778,0.11911111111111111,0.05450000000000001,0.07416666666666667,0.03955555555555556,0.9921875,0.984375,1.0,0.13707371056079865,1.0,1.18533381447196
120,0.4624994024634361,1.3324792742729188,10.0,0.12,0.05500000000000001,0.075,0.04,0.984375,0.9921875,0.9765625,0.2075045108795166,1.0,1.1739997744560242
121,0.42333167642354963,1.3128669887781144,10.022222222222222,0.12088888888888888,0.05550000000000001,0.07583333333333332,0.04044444444444444,1.0,1.0,1.0,0.14089102298021317,1.0,1.1929554488509893
122,0.4265619471669197,1.1855771034955978,10.044444444444444,0.12177777777777776,0.056,0.07666666666666666,0.040888888888888884,0.98828125,1.0,0.9765625,0.18557310849428177,1.0,1.1790025945752858
123,0.4064674600958824,1.3592387557029724,10.066666666666666,0.12266666666666667,0.056500000000000015,0.0775,0.04133333333333334,0.99609375,1.0,0.9921875,0.13095428049564362,1.0,1.1895460359752177
124,0.4517169177532196,1.255391964316368,10.088888888888889,0.12355555555555556,0.05700000000000001,0.07833333333333334,0.04177777777777778,0.9921875,1.0,0.984375,0.17649105191230774,1.0,1.1833629474043845
125,0.4152635097503662,1.3634883165359497,10.11111111111111,0.12444444444444444,0.05750000000000001,0.07916666666666666,0.042222222222222223,0.9921875,1.0,0.984375,0.12083085626363754,1.0,1.186145957186818
126,0.4218319937586784,1.2746133625507354,10.133333333333333,0.12533333333333332,0.05800000000000001,0.08,0.042666666666666665,1.0,1.0,1.0,0.16774381697177887,1.0,1.191612809151411
127,0.4087453082203865,1.295058274269104,10.155555555555555,0.1262222222222222,0.0585,0.08083333333333333,0.04311111111111111,0.98828125,1.0,0.9765625,0.12393593043088913,1.0,1.1820844534784556
128,0.4365204766392708,1.3784297168254853,10.177777777777777,0.12711111111111112,0.059000000000000004,0.08166666666666665,0.043555555555555556,0.984375,0.96875,1.0,0.17343316972255707,1.0,1.175703341513872
129,0.42045482993125916,1.3116942465305328,10.2,0.128,0.05950000000000001,0.0825,0.044000000000000004,0.99609375,1.0,0.9921875,0.13805511593818665,1.0,1.1891909942030907
130,0.4021738857030869,1.2229615211486817,10.222222222222221,0.1288888888888889,0.06000000000000001,0.08333333333333333,0.044444444444444446,1.0,1.0,1.0,0.16381888091564178,1.0,1.1918090559542178
131,0.41729913651943207,1.3583325505256654,10.244444444444444,0.12977777777777777,0.060500000000000005,0.08416666666666667,0.04488888888888889,1.0,1.0,1.0,0.1505890116095543,1.0,1.1924705494195222
132,0.41850245743989944,1.4369372189044953,10.266666666666666,0.13066666666666665,0.061000000000000006,0.08499999999999999,0.04533333333333333,0.9921875,0.984375,1.0,0.15705454349517822,1.0,1.1843347728252411
133,0.43601146042346955,1.3805876672267914,10.288888888888888,0.13155555555555556,0.061500000000000006,0.08583333333333333,0.04577777777777778,0.99609375,0.9921875,1.0,0.15776211023330688,1.0,1.1882056444883347
134,0.4030214577913284,1.3746976971626281,10.31111111111111,0.13244444444444445,0.062000000000000006,0.08666666666666666,0.04622222222222222,0.99609375,0.9921875,1.0,0.16109392046928406,1.0,1.1880390539765358
135,0.4099915072321892,1.3786267936229706,10.333333333333334,0.13333333333333333,0.06250000000000001,0.08750000000000001,0.04666666666666667,1.0,1.0,1.0,0.14223302528262138,1.0,1.1928883487358688
136,0.3948976963758469,1.350054532289505,10.355555555555556,0.13422222222222221,0.063,0.08833333333333333,0.04711111111111111,0.99609375,1.0,0.9921875,0.15453039854764938,1.0,1.1883672300726176
137,0.40120405703783035,1.4219853401184082,10.377777777777778,0.13511111111111113,0.0635,0.08916666666666666,0.04755555555555556,0.9921875,0.984375,1.0,0.14984598010778427,1.0,1.1846952009946108
138,0.4229480609297752,1.3306365251541137,10.4,0.136,0.064,0.09,0.048,1.0,1.0,1.0,0.15680882334709167,1.0,1.1921595588326455
139,0.4015657350420952,1.4513038992881775,10.422222222222222,0.1368888888888889,0.0645,0.09083333333333332,0.04844444444444444,0.99609375,0.9921875,1.0,0.14990302175283432,1.0,1.1885985989123582
140,0.4189046025276184,1.3242040514945983,10.444444444444445,0.13777777777777778,0.06500000000000002,0.09166666666666667,0.04888888888888889,0.9453125,1.0,0.890625,0.14513912796974182,1.0,1.138055543601513
141,0.38666033297777175,1.3140947252511979,10.466666666666667,0.1386666666666667,0.0655,0.0925,0.04933333333333334,0.9921875,0.984375,1.0,0.1604444980621338,1.0,1.1841652750968932
142,0.4214427098631859,1.3095632910728454,10.488888888888889,0.13955555555555557,0.066,0.09333333333333334,0.04977777777777778,0.99609375,1.0,0.9921875,0.1637982428073883,1.0,1.1879038378596305
143,0.41984128952026367,1.4962730646133422,10.511111111111111,0.14044444444444446,0.0665,0.09416666666666666,0.050222222222222224,0.99609375,1.0,0.9921875,0.15766607969999313,1.0,1.1882104460150003
144,0.418914170563221,1.4185353934764862,10.533333333333333,0.14133333333333334,0.067,0.09499999999999999,0.050666666666666665,1.0,1.0,1.0,0.16538433730602264,1.0,1.1917307831346988
145,0.3928221523761749,1.2907316714525223,10.555555555555555,0.14222222222222222,0.0675,0.09583333333333333,0.05111111111111111,0.99609375,0.9921875,1.0,0.16684192419052124,1.0,1.187751653790474
146,0.43627759665250776,1.5298681616783143,10.577777777777778,0.14311111111111113,0.068,0.09666666666666666,0.05155555555555556,0.99609375,0.9921875,1.0,0.14951273053884506,1.0,1.1886181134730578
147,0.41827631890773775,1.406911128759384,10.6,0.14400000000000002,0.0685,0.0975,0.052000000000000005,1.0,1.0,1.0,0.15917406976222992,1.0,1.1920412965118885
148,0.38708970248699187,1.331754559278488,10.622222222222222,0.1448888888888889,0.069,0.09833333333333333,0.052444444444444446,1.0,1.0,1.0,0.15122127532958984,1.0,1.1924389362335204
