direction,method,method_family,cfe_logit,plaintext_logit_recomputed,he_logit,abs_logit_error,label_agreement
disease_to_no_disease,genetic_cfe,Baseline,-0.1219325065612793,-0.12193268567877702,-0.12192728516602745,5.400512749567654e-06,True
disease_to_no_disease,uniform_random,Baseline,-0.1219325065612793,-0.12193268567877702,-0.12192728867448901,5.397004288004714e-06,True
no_disease_to_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,0.12217378616333,0.1221732365232917,0.12217811018403393,4.8736607422272815e-06,True
disease_to_no_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,-0.1223435401916503,-0.12234328142097972,-0.1223382987433224,4.982677657319745e-06,True
no_disease_to_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,0.1228885650634765,0.12288879328727553,0.12289397749191376,5.184204638228329e-06,True
disease_to_no_disease,countergan_one_shot,Non-DP CounterGAN,-0.1235041618347168,-0.12350543537114955,-0.1234994957948357,5.939576313854222e-06,True
disease_to_no_disease,proposed_countergan,Non-DP CounterGAN,-0.1235108375549316,-0.12351064712319726,-0.123504740492105,5.906631092261749e-06,True
no_disease_to_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,0.1235756874084472,0.12357602076157637,0.1235810782083417,5.057446765335816e-06,True
disease_to_no_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,-0.1236324310302734,-0.1236324359212837,-0.12362758226824648,4.853653037220629e-06,True
disease_to_no_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,-0.1238627433776855,-0.12386362123355532,-0.12385845607361537,5.165159939951591e-06,True
no_disease_to_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,0.1239686012268066,0.12396731515361914,0.12397240847903891,5.093325419772143e-06,True
no_disease_to_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,0.1246013641357421,0.12460102570951648,0.12460585788750048,4.83217798399882e-06,True
no_disease_to_disease,countergan_sparse_diverse_no_dp,Non-DP CounterGAN,0.124887466430664,0.12488661424474046,0.12489150986468697,4.89561994651555e-06,True
disease_to_no_disease,proposed_countergan,Non-DP CounterGAN,-0.1249518394470214,-0.12495196326149838,-0.12494613980291289,5.823458585491048e-06,True
no_disease_to_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,0.1251120567321777,0.12511245607719967,0.12511743263221678,4.976555017105477e-06,True
disease_to_no_disease,uniform_random,Baseline,-0.1251196861267089,-0.12511975390734253,-0.12511437193790562,5.381969436918377e-06,True
disease_to_no_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,-0.1255850791931152,-0.12558520683976848,-0.12558006722291276,5.139616855720508e-06,True
no_disease_to_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,0.1262941360473632,0.1262939388092592,0.12629878649174925,4.847682490038974e-06,True
disease_to_no_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,-0.1267423629760742,-0.1267424232226375,-0.12673724955936455,5.173663272961537e-06,True
no_disease_to_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,0.126929759979248,0.12692982028927347,0.1269349358744807,5.115585207243756e-06,True
disease_to_no_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,-0.1274199485778808,-0.12741996163464275,-0.12741483394901723,5.127685625522238e-06,True
no_disease_to_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,0.1277852058410644,0.12778515062787488,0.1277900492806335,4.898652758628108e-06,True
disease_to_no_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,-0.1288442611694336,-0.12884358863730672,-0.1288382109706053,5.37766670141715e-06,True
no_disease_to_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,0.1288866996765136,0.12888641580467386,0.12889133229677321,4.916492099354963e-06,True
disease_to_no_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,-0.1292648315429687,-0.12926476581380708,-0.12925960342367235,5.162390134733075e-06,True
disease_to_no_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,-0.1293616294860839,-0.1293616396080699,-0.12935680473651812,4.834871551784303e-06,True
disease_to_no_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,-0.1296725273132324,-0.12967306193688177,-0.12966790427795372,5.157658928056641e-06,True
no_disease_to_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,0.1300907135009765,0.1300898652908309,0.130094978614216,5.113323385125268e-06,True
disease_to_no_disease,countergan_sparse_diverse_no_dp,Non-DP CounterGAN,-0.1302218437194824,-0.1302218711173202,-0.13021654277937064,5.328337949556117e-06,True
no_disease_to_disease,uniform_random,Baseline,0.1303491592407226,0.13034956228063965,0.1303544867416548,4.9244610151599755e-06,True
disease_to_no_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,-0.1305885314941406,-0.13058845345536252,-0.130583156390974,5.297064388509742e-06,True
no_disease_to_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,0.1307888031005859,0.13078790384265382,0.13079270968312412,4.8058404703010815e-06,True
no_disease_to_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,0.1308121681213379,0.1308114067908095,0.13081623014816673,4.823357357242042e-06,True
no_disease_to_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,0.1312546730041504,0.13125441516167502,0.13126006295655784,5.647794882823742e-06,True
disease_to_no_disease,proposed_countergan,Non-DP CounterGAN,-0.1312599182128906,-0.13125983594536272,-0.13125491708251838,4.918862844344174e-06,True
disease_to_no_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,-0.1315407752990722,-0.1315402263921932,-0.1315349530544251,5.273337768091357e-06,True
no_disease_to_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,0.1319222450256347,0.13192225882320852,0.1319273648359583,5.106012749778177e-06,True
disease_to_no_disease,uniform_random,Baseline,-0.1322150230407714,-0.13221498398204368,-0.13220984974894473,5.134233098946783e-06,True
disease_to_no_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,-0.1326613426208496,-0.13266158428689678,-0.1326567521715567,4.832115340080989e-06,True
disease_to_no_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,-0.1330304145812988,-0.13303032609446852,-0.13302462134537638,5.70474909214469e-06,True
disease_to_no_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,-0.1333651542663574,-0.1333656219913637,-0.1333608009166597,4.821074704008943e-06,True
no_disease_to_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,0.1334543228149414,0.13345465228742803,0.1334601556114322,5.503324004174637e-06,True
disease_to_no_disease,uniform_random,Baseline,-0.1339554786682129,-0.1339557196777621,-0.1339504573914486,5.262286313506559e-06,True
no_disease_to_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,0.13413667678833,0.13413683531056808,0.13414234746273318,5.512152165099149e-06,True
no_disease_to_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,0.1342120170593261,0.13421213577670876,0.13421706170273345,4.92592602469033e-06,True
no_disease_to_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,0.134315013885498,0.13431492305478265,0.13432056458233693,5.6415275542787136e-06,True
no_disease_to_disease,countergan_sparse_diverse_no_dp,Non-DP CounterGAN,0.1344304084777832,0.13443113031571663,0.13443602270352562,4.89238780898571e-06,True
no_disease_to_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,0.1345295906066894,0.13452885209802368,0.1345338211665075,4.96906848382328e-06,True
no_disease_to_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,0.1347055435180664,0.1347058331758868,0.13471108988455296,5.256708666162568e-06,True
disease_to_no_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,-0.1358704566955566,-0.13587109771534145,-0.13586569078214616,5.406933195284402e-06,True
no_disease_to_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,0.1359806060791015,0.13598033912946672,0.1359854801097116,5.140980244872084e-06,True
disease_to_no_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,-0.1366100311279297,-0.13660996342933096,-0.1366049005800514,5.062849279563464e-06,True
disease_to_no_disease,uniform_random,Baseline,-0.1370854377746582,-0.13708519857370582,-0.13707949207277853,5.706500927293856e-06,True
no_disease_to_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,0.1371760368347168,0.13717624438678477,0.13718132458878382,5.080201999047018e-06,True
disease_to_no_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,-0.1372160911560058,-0.1372163013873715,-0.1372114171895273,4.8841978441960254e-06,True
no_disease_to_disease,genetic_cfe,Baseline,0.1373400688171386,0.13733982099354947,0.13734549832634835,5.677332798881274e-06,True
no_disease_to_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,0.1373915672302246,0.13739181245346277,0.13739658228993964,4.769836476875566e-06,True
no_disease_to_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,0.1374645233154297,0.13746463041531065,0.13746942626891495,4.7958536043002375e-06,True
no_disease_to_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,0.1374983787536621,0.1374987110047865,0.13750401551662886,5.304511842357806e-06,True
disease_to_no_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,-0.1378779411315918,-0.13787784218200816,-0.13787276910767826,5.0730743298976755e-06,True
no_disease_to_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,0.1379504203796386,0.13795043046410616,0.1379552700520806,4.839587974453385e-06,True
no_disease_to_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,0.138195514678955,0.13819611243329621,0.13820100143160713,4.888998310914605e-06,True
no_disease_to_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,0.138218879699707,0.13821872854777073,0.13822353296641585,4.804418645115716e-06,True
no_disease_to_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,0.1392359733581543,0.1392355186907812,0.13924029760499357,4.778914212355545e-06,True
no_disease_to_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,0.1393089294433593,0.13930886812338095,0.1393137104260186,4.842302637642071e-06,True
disease_to_no_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,-0.140573501586914,-0.1405742172044313,-0.14056895704407418,5.2601603571234e-06,True
disease_to_no_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,-0.1407122611999511,-0.14071244944187455,-0.14070672101601778,5.728425856776909e-06,True
no_disease_to_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,0.1407890319824218,0.14078875301767635,0.14079429400709084,5.540989414493103e-06,True
disease_to_no_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,-0.1408772468566894,-0.14087688473071935,-0.14087201588607676,4.86884464259707e-06,True
disease_to_no_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,-0.1411185264587402,-0.1411184943800352,-0.14111362585127582,4.868528759388591e-06,True
disease_to_no_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,-0.1413874626159668,-0.14138724454554819,-0.14138206558794703,5.178957601159606e-06,True
disease_to_no_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,-0.141392707824707,-0.14139249088853312,-0.14138721825710554,5.272631427577501e-06,True
no_disease_to_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,0.1416001319885254,0.14160098748427963,0.14160583295822882,4.845473949188772e-06,True
no_disease_to_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,0.1420636177062988,0.14206378799248398,0.14206900558179406,5.217589310074766e-06,True
disease_to_no_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,-0.1422219276428222,-0.14222207746731286,-0.14221679661656736,5.280850745498222e-06,True
no_disease_to_disease,uniform_random,Baseline,0.1423249244689941,0.14232488795025322,0.14232981413594428,4.926185691062068e-06,True
no_disease_to_disease,uniform_random,Baseline,0.1426138877868652,0.14261377367418682,0.1426188214452172,5.04777103038645e-06,True
no_disease_to_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,0.1431813240051269,0.1431819251341082,0.14318721849548086,5.293361372643579e-06,True
disease_to_no_disease,countergan_sparse_diverse_no_dp,Non-DP CounterGAN,-0.1433882713317871,-0.14338851699654231,-0.1433835732337691,4.943762773212956e-06,True
no_disease_to_disease,uniform_random,Baseline,0.1435956954956054,0.14359580188848664,0.1436005459037907,4.744015304064542e-06,True
disease_to_no_disease,countergan_one_shot,Non-DP CounterGAN,-0.144115924835205,-0.14411496343553054,-0.14410947397552806,5.489460002477964e-06,True
no_disease_to_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,0.1442608833312988,0.14426076121630693,0.1442658566180739,5.095401766963548e-06,True
disease_to_no_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,-0.1445927619934082,-0.1445930934417099,-0.14458795070457478,5.142737135116482e-06,True
disease_to_no_disease,countergan_sparse_diverse_no_dp,Non-DP CounterGAN,-0.1446380615234375,-0.14463802128786085,-0.14463312799717487,4.8932906859811e-06,True
disease_to_no_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,-0.1446380615234375,-0.14463802128786085,-0.14463313083199733,4.890455863520993e-06,True
disease_to_no_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,-0.1446380615234375,-0.14463802128786085,-0.14463312209495766,4.89919290319607e-06,True
disease_to_no_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,-0.1446380615234375,-0.14463802128786085,-0.14463312046151816,4.900826342690845e-06,True
disease_to_no_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,-0.1446380615234375,-0.14463802128786085,-0.14463312795414526,4.893333715588755e-06,True
disease_to_no_disease,genetic_cfe,Baseline,-0.1448245048522949,-0.1448245650416773,-0.1448189953891424,5.569652534898051e-06,True
no_disease_to_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,0.1454057693481445,0.1454061739498833,0.14541119755439008,5.023604506770862e-06,True
no_disease_to_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,0.1457152366638183,0.14571633743738133,0.14572213001206458,5.792574683249896e-06,True
disease_to_no_disease,proposed_countergan,Non-DP CounterGAN,-0.1466116905212402,-0.146612292372593,-0.14660641915105738,5.87322153561276e-06,True
disease_to_no_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,-0.1466913223266601,-0.14669105454386422,-0.1466862694488477,4.7850950165295725e-06,True
no_disease_to_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,0.1468830108642578,0.14688338245217203,0.14688852999715185,5.147544979822172e-06,True
no_disease_to_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,0.147038459777832,0.1470394156564101,0.14704418204555988,4.766389149785111e-06,True
no_disease_to_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,0.1475052833557129,0.14750535765080297,0.1475104874800474,5.12982924441574e-06,True
disease_to_no_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,-0.1476893424987793,-0.14768906520570457,-0.14768332838070264,5.736825001934065e-06,True
no_disease_to_disease,countergan_sparse_diverse_no_dp,Non-DP CounterGAN,0.1477522850036621,0.1477522041441972,0.14775739658936005,5.192445162838233e-06,True
disease_to_no_disease,countergan_sparse_diverse_no_dp,Non-DP CounterGAN,-0.1478781700134277,-0.14787805198684545,-0.14787274200744505,5.309979400403009e-06,True
disease_to_no_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,-0.1492128372192382,-0.14921293399294733,-0.1492078490200946,5.084972852731351e-06,True
disease_to_no_disease,countergan_one_shot,Non-DP CounterGAN,-0.1494073867797851,-0.14940743568244663,-0.1494017311716871,5.704510759541037e-06,True
no_disease_to_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,0.1496376991271972,0.14963798368590453,0.14964305229623442,5.068610329894696e-06,True
no_disease_to_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,0.1500430107116699,0.15004271543400094,0.15004779335686982,5.077922868884643e-06,True
no_disease_to_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,0.1501650810241699,0.1501647313624428,0.150169565805683,4.834443240203656e-06,True
no_disease_to_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,0.1503081321716308,0.15030832618941758,0.15031319999473416,4.873805316579771e-06,True
disease_to_no_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,-0.1503124237060547,-0.1503124000232905,-0.1503072095206166,5.190502673890762e-06,True
no_disease_to_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,0.1503520011901855,0.15035147831435225,0.1503563162484365,4.837934084261919e-06,True
