population,candidate_cohort_seeds,timing_repetitions_total,profile_name,poly_modulus_degree,slot_count,slot_utilization,coeff_mod_bit_sizes,coeff_mod_total_bits,tc128_max_coeff_mod_bits,global_scale_bits,feature_ciphertexts_uploaded,logit_ciphertexts_downloaded,encryption_seconds_median,encryption_seconds_q25,encryption_seconds_q75,upload_serialization_seconds_median,upload_serialization_seconds_q25,upload_serialization_seconds_q75,server_deserialization_seconds_median,server_deserialization_seconds_q25,server_deserialization_seconds_q75,server_inference_seconds_per_round_median,server_inference_seconds_per_round_q25,server_inference_seconds_per_round_q75,download_serialization_seconds_median,download_serialization_seconds_q25,download_serialization_seconds_q75,decryption_seconds_median,decryption_seconds_q25,decryption_seconds_q75,client_total_seconds_per_round_median,client_total_seconds_per_round_q25,client_total_seconds_per_round_q75,server_total_seconds_per_round_median,server_total_seconds_per_round_q25,server_total_seconds_per_round_q75,total_latency_seconds_per_round_median,total_latency_seconds_per_round_q25,total_latency_seconds_per_round_q75,time_per_candidate_seconds_median,time_per_candidate_seconds_q25,time_per_candidate_seconds_q75,throughput_candidates_per_second_median,throughput_candidates_per_second_q25,throughput_candidates_per_second_q75,server_inference_throughput_candidates_per_second_median,server_inference_throughput_candidates_per_second_q25,server_inference_throughput_candidates_per_second_q75,upload_ciphertext_mb_median,upload_ciphertext_mb_q25,upload_ciphertext_mb_q75,download_ciphertext_mb_median,download_ciphertext_mb_q25,download_ciphertext_mb_q75,total_communication_mb_per_round_median,total_communication_mb_per_round_q25,total_communication_mb_per_round_q75,public_context_mb_one_time_median,public_context_mb_one_time_q25,public_context_mb_one_time_q75,peak_rss_mb_median,peak_rss_mb_q25,peak_rss_mb_q75,peak_rss_delta_mb_median,peak_rss_delta_mb_q25,peak_rss_delta_mb_q75,mean_abs_logit_error_median,mean_abs_logit_error_q25,mean_abs_logit_error_q75,max_abs_logit_error_median,max_abs_logit_error_q25,max_abs_logit_error_q75,plaintext_he_label_agreement_median,plaintext_he_label_agreement_q25,plaintext_he_label_agreement_q75,plaintext_he_margin_state_agreement_median,plaintext_he_margin_state_agreement_q25,plaintext_he_margin_state_agreement_q75,minimum_abs_plaintext_logit_median,minimum_abs_plaintext_logit_q25,minimum_abs_plaintext_logit_q75,all_repetitions_pass_gate
16,3,15,poly_n16384_scale45,16384,8192,0.001953125,"[55, 45, 45, 45, 45, 45, 55]",335,438,45,20,1,0.44948836200001097,0.4469396270002335,0.4536731624998538,0.08556061099989165,0.08419980299998997,0.08902937350001139,0.06960089599942876,0.06813917249974111,0.0708471030001192,81.84677332099989,81.6980616455001,82.27769517350009,0.0010249339998154028,0.000991583999791601,0.0010515214999031741,0.0021505830000023707,0.002139858000020922,0.0022475275000033434,0.5412749569995867,0.535566471999573,0.5455473519991756,81.91918706399986,81.76860321749979,82.35253033699996,82.46266478099994,82.30399365449938,82.89258205750025,5.1539165488124965,5.143999603406211,5.180786378593766,0.19402720058212972,0.1930209653695589,0.19440125983554074,0.19548724220622135,0.19446345670068382,0.19584308001029493,26.960805,26.960504,26.9610855,0.246936,0.246925,0.246952,27.207749,27.207439,27.208012,11.16384,11.163451,11.164004,1345.72032,1321.39008,1349.05856,0.004096,0.004096,0.004096,4.389931184636819e-06,4.287638193581703e-06,5.107008269722435e-06,1.0666314615548345e-05,5.718700717527447e-06,1.2193442234575969e-05,1.0,1.0,1.0,1.0,1.0,1.0,0.28364935397145175,0.2647500161933891,1.0601517090782,True
32,3,15,poly_n16384_scale45,16384,8192,0.00390625,"[55, 45, 45, 45, 45, 45, 55]",335,438,45,20,1,0.4513708720005525,0.4479044115000761,0.45591031450021546,0.08344861900013711,0.08233331349993023,0.08676546250012507,0.06903995299944654,0.06794423549990825,0.07090801499987265,81.72596878199965,81.34050750299957,82.1952643510001,0.0009987949997594114,0.0009664345000146568,0.0010345904998985134,0.002192248999790536,0.00212044149986923,0.0022199125000952336,0.5399526880009944,0.5356490574998816,0.5420321725000576,81.7950087349991,81.41076846899978,82.26171782949996,82.33699006099869,81.94359523450021,82.81124876599961,2.573030939406209,2.5607373510781315,2.5878515239374877,0.38864670637453547,0.3864209345762327,0.3905131303182253,0.39155240955734105,0.38931683577308096,0.39340855071051417,26.960475,26.960285,26.9606815,0.246954,0.2469405,0.246959,27.207446,27.207235,27.2076495,11.16384,11.163451,11.164004,1345.724416,1323.6981759999999,1349.062656,0.004096,0.004096,0.008192,4.953812264376668e-06,4.750538581567779e-06,5.048098352593983e-06,1.219449761080682e-05,8.121239831737626e-06,1.4834106099925748e-05,1.0,1.0,1.0,1.0,1.0,1.0,0.2647500161933891,0.24176455727010193,0.28364935397145175,True
64,3,15,poly_n16384_scale45,16384,8192,0.0078125,"[55, 45, 45, 45, 45, 45, 55]",335,438,45,20,1,0.495855322999887,0.45886995849969026,0.49887164699975983,0.0856331830000272,0.08317652499999895,0.08961452899984579,0.06955943000048137,0.06710394550020737,0.07245307100015452,82.432718131,81.82717704699962,82.9506634364999,0.0010125460003109765,0.0009647984998082393,0.0010511670001278617,0.0021395359999587527,0.002112207000095623,0.0021728355000050215,0.5819665509998231,0.5503250144996628,0.5877435549999745,82.50416561800012,81.89622625299944,83.02169356049978,83.08918291300051,82.44133956799942,83.58765042200002,1.298268483015633,1.288145930749991,1.3060570378437504,0.7702567019706036,0.7656638416538578,0.7763097455458715,0.7763907517679183,0.7715438487061763,0.782136432472539,26.960414,26.9601225,26.9609505,0.246937,0.2469245,0.2469535,27.207333,27.207102,27.20789,11.16384,11.163451,11.164004,1345.724416,1325.221888,1349.062656,0.004096,0.004096,0.004096,5.071397140090283e-06,4.905258478238089e-06,5.223331235781588e-06,1.2938767444126142e-05,1.221224582614866e-05,1.4831764659106739e-05,1.0,1.0,1.0,1.0,1.0,1.0,0.2107954760015076,0.10628730128013508,0.24176455727010193,True
128,3,15,poly_n16384_scale45,16384,8192,0.015625,"[55, 45, 45, 45, 45, 45, 55]",335,438,45,20,1,0.500304638999296,0.4956848395003135,0.5065589240002737,0.0859612369995375,0.08434727400015163,0.08857179600045129,0.06920695099961449,0.06819267599985324,0.07476220149965229,82.11581246700007,81.57131498000012,82.3847600790001,0.0010429469998598506,0.0010017619999871386,0.001061564999872644,0.002252747000056843,0.0021546735001720663,0.002338447000056476,0.5881502040001578,0.5822773335003149,0.5981525555002918,82.18465448799998,81.64050348749993,82.45440979000034,82.7659836390003,82.22769102200004,83.0387833740009,0.6466092471796898,0.6424038361093753,0.648740495109382,1.5465290735659778,1.5414496022443283,1.5566605085247365,1.558774079613953,1.553686390138603,1.5691873144051098,26.960198,26.959962,26.9608385,0.246936,0.2469245,0.24696449999999998,27.207123,27.206922,27.207787,11.16384,11.163451,11.164004,1345.724416,1326.73536,1349.062656,0.004096,0.004096,0.004096,5.2173844250853665e-06,5.013701299030676e-06,5.321962585972599e-06,1.5140478453190553e-05,1.2963562785017757e-05,1.6220354439155926e-05,1.0,1.0,1.0,1.0,1.0,1.0,0.1445930934417099,0.10628730128013508,0.24176455727010193,True
256,3,15,poly_n16384_scale45,16384,8192,0.03125,"[55, 45, 45, 45, 45, 45, 55]",335,438,45,20,1,0.5008243570000559,0.4983414329999505,0.5077574470001309,0.08647028599989426,0.0845449229998394,0.08972503750010219,0.07151521099967795,0.06826653550024275,0.07516656749953654,82.35974243599958,82.11521010399997,82.56881279350046,0.0010044589998869924,0.0009668384996075474,0.0010456900004101044,0.0021747090004282654,0.0021433609997529857,0.002337719500246749,0.5905133720002596,0.5874273759998232,0.6001579490007316,82.43564929399963,82.18590050999956,82.64438270100072,83.02224077299888,82.77680033999923,83.2415911940011,0.3243056280195269,0.323346876328122,0.3251624656015668,3.0835110883113894,3.0753873021853835,3.092653970430149,3.1083147230448596,3.100445794884595,3.117571034307579,26.960382,26.959966,26.960915999999997,0.246953,0.24692750000000002,0.246955,27.207326,27.2069135,27.207854,11.16384,11.163451,11.164004,1345.724416,1327.366144,1349.0667520000002,0.004096,0.004096,0.004096,5.269475936662009e-06,5.0439281949535004e-06,5.367212800700636e-06,1.646587973880287e-05,1.6096779400953665e-05,1.7015109694540342e-05,1.0,1.0,1.0,1.0,1.0,1.0,0.10628730128013508,0.1033989054569675,0.12234328142097972,True
512,3,15,poly_n16384_scale45,16384,8192,0.0625,"[55, 45, 45, 45, 45, 45, 55]",335,438,45,20,1,0.5068212350006434,0.5018535395001891,0.5088321489997725,0.08523635599976842,0.08404748699990705,0.0863120425001398,0.0689706949997344,0.06841835300019738,0.07205133249999562,82.65844450300028,82.27854961349976,82.86805055449986,0.0010202419998677215,0.0009845245003816672,0.0011346634996698413,0.0022713169996677607,0.002226233499868613,0.0024765110001681023,0.5969107839991921,0.5895684659999461,0.6006332264992125,82.72860476200003,82.34736612849974,82.93978634349969,83.34135911299836,82.9433275324991,83.5304118150002,0.16277609201757492,0.1619986865869123,0.16314533557617228,6.143408332299992,6.129508913082551,6.172892666861158,6.194164468960165,6.178500557601531,6.222767401980779,26.960525,26.9603695,26.960810000000002,0.246939,0.246931,0.246956,27.207487,27.2073095,27.207757,11.16384,11.163451,11.164004,1345.724416,1327.742976,1349.070848,0.004096,0.004096,0.004096,5.271575092339497e-06,5.090751449043731e-06,5.304128204086455e-06,1.671402943514977e-05,1.6480288156373035e-05,1.7014968044293255e-05,1.0,1.0,1.0,1.0,1.0,1.0,0.10628730128013508,0.1033989054569675,0.12234328142097972,True
