direction,method,method_family,candidate_cohort_seed,plaintext_logit,he_logit,abs_logit_error,label_agreement
disease_to_no_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,101,-14.060739736692753,-14.060737991082213,1.7456105396718158e-06,True
disease_to_no_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,101,-0.21374243545831284,-0.21373720143375366,5.234024559180872e-06,True
disease_to_no_disease,countergan_sparse_diverse_no_dp,Non-DP CounterGAN,101,-19.032421822903345,-19.032420312887464,1.5100158812231257e-06,True
no_disease_to_disease,genetic_cfe,Baseline,101,15.864270045688684,15.864279041722908,8.99603422332973e-06,True
no_disease_to_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,101,27.486103178510653,27.486115084487974,1.1905977320481043e-05,True
no_disease_to_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,101,1.7660643188095548,1.7660698526380803,5.533828525416951e-06,True
no_disease_to_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,101,4.885322837196977,4.885329120008264,6.282811287228185e-06,True
no_disease_to_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,101,1.935589543145987,1.9355949784061006,5.435260113539897e-06,True
no_disease_to_disease,proposed_countergan,Non-DP CounterGAN,101,4.881368513891745,4.881374508382413,5.9944906674047616e-06,True
disease_to_no_disease,uniform_random,Baseline,101,-10.34593849631501,-10.345935700231712,2.796083299116958e-06,True
disease_to_no_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,101,-38.86325960504407,-38.8632627898907,3.184846626425042e-06,True
disease_to_no_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,101,-18.614196575973445,-18.614195591391496,9.845819484155527e-07,True
disease_to_no_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,101,-10.101684202263682,-10.10168144234756,2.759916121419792e-06,True
disease_to_no_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,101,-15.89483323207378,-15.894831777915298,1.454158482516732e-06,True
disease_to_no_disease,countergan_sparse_diverse_no_dp,Non-DP CounterGAN,101,-0.1302218711173202,-0.13021656710532287,5.304011997331326e-06,True
no_disease_to_disease,uniform_random,Baseline,101,3.242509278027587,3.2425150380399588,5.760012371958112e-06,True
no_disease_to_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,101,0.9849382207786075,0.984944049871719,5.829093111531236e-06,True
no_disease_to_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,101,5.669857542493309,5.66986389464887,6.352155560662709e-06,True
no_disease_to_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,101,10.685557548720908,10.685565122751017,7.5740301088700335e-06,True
no_disease_to_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,101,5.8591625305250545,5.859168973948352,6.443423297142203e-06,True
no_disease_to_disease,countergan_one_shot,Non-DP CounterGAN,101,5.393626546474676,5.393633005688406,6.459213729215207e-06,True
disease_to_no_disease,genetic_cfe,Baseline,101,-16.580286727674032,-16.580285367452593,1.3602214394836665e-06,True
disease_to_no_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,101,-10.12170606871857,-10.121702867698525,3.2010200445853343e-06,True
disease_to_no_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,101,-4.855404011056068,-4.855399813518871,4.197537196937162e-06,True
disease_to_no_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,101,-13.773830856892147,-13.77382894277067,1.9141214764317738e-06,True
disease_to_no_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,101,-4.726168005711964,-4.726163869297215,4.136414748501238e-06,True
disease_to_no_disease,countergan_sparse_diverse_no_dp,Non-DP CounterGAN,101,-40.08328424851892,-40.08328757974456,3.331225634894963e-06,True
no_disease_to_disease,uniform_random,Baseline,101,4.192758251898097,4.192763932168148,5.6802700516556115e-06,True
no_disease_to_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,101,2.6563023255221374,2.656308100682106,5.775159968468557e-06,True
no_disease_to_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,101,11.444612076959828,11.444620537070907,8.460111079244825e-06,True
no_disease_to_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,101,0.6211921792887196,0.6211978460986772,5.666809957616259e-06,True
no_disease_to_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,101,0.801388166915725,0.801393205423851,5.038508125942975e-06,True
no_disease_to_disease,countergan_one_shot,Non-DP CounterGAN,101,5.986358358284297,5.986364603231358,6.244947060807249e-06,True
disease_to_no_disease,uniform_random,Baseline,101,-1.354376797720402,-1.3543719362837012,4.861436700753785e-06,True
disease_to_no_disease,proposed_dp_eps16_sparse_diverse,DP-CounterGAN eps=16,101,-4.393259567884892,-4.39325492127092,4.6466139718148725e-06,True
disease_to_no_disease,proposed_dp_eps2_sparse_diverse,DP-CounterGAN eps=2,101,-4.673402354436192,-4.673398501797954,3.8526382377668256e-06,True
disease_to_no_disease,proposed_dp_eps4_sparse_diverse,DP-CounterGAN eps=4,101,-7.505731835966666,-7.505727979067706,3.856898959320176e-06,True
disease_to_no_disease,proposed_dp_eps8_sparse_diverse,DP-CounterGAN eps=8,101,-3.6162889363724933,-3.616284797079188,4.139293305449598e-06,True
disease_to_no_disease,countergan_one_shot,Non-DP CounterGAN,101,-3.0168675786871413,-3.016862425939322,5.152747819092696e-06,True
