epoch,d_loss,g_loss,classification_weight,proximity_weight,sparsity_weight,group_sparsity_weight,diversity_weight,margin_validity,proximity,margin_validity_disease_to_no_disease,margin_validity_no_disease_to_disease,constraint_validity,selection_score
1,0.6584070473909378,63.097117042541505,8.0,0.04,0.01,0.0,0.0,,,,,,
2,0.6754662841558456,26.812174701690672,8.0,0.04,0.01,0.0,0.0,,,,,,
3,0.6758747369050979,17.545891094207764,8.0,0.04,0.01,0.0,0.0,,,,,,
4,0.6786929607391358,12.813005685806274,8.0,0.04,0.01,0.0,0.0,,,,,,
5,0.6666327178478241,8.600881099700928,8.0,0.04,0.01,0.0,0.0,,,,,,
6,0.6746321558952332,7.194243907928467,8.0,0.04,0.01,0.0,0.0,,,,,,
7,0.6700839251279831,6.067500495910645,8.0,0.04,0.01,0.0,0.0,,,,,,
8,0.6672441989183426,5.28602249622345,8.0,0.04,0.01,0.0,0.0,,,,,,
9,0.6644680678844452,4.694448781013489,8.0,0.04,0.01,0.0,0.0,,,,,,
10,0.6590310871601105,4.6233880639076235,8.0,0.04,0.01,0.0,0.0,,,,,,
11,0.6652636736631393,4.1020897150039675,8.0,0.04,0.01,0.0,0.0,,,,,,
12,0.6610964179039002,4.360098564624787,8.0,0.04,0.01,0.0,0.0,,,,,,
13,0.6655741155147552,4.273021960258484,8.0,0.04,0.01,0.0,0.0,,,,,,
14,0.6609497249126435,4.409457552433014,8.0,0.04,0.01,0.0,0.0,,,,,,
15,0.683750981092453,4.373209702968597,8.0,0.04,0.01,0.0,0.0,,,,,,
16,0.676281750202179,4.59027132987976,8.0,0.04,0.01,0.0,0.0,,,,,,
17,0.6805342167615891,4.829859793186188,8.0,0.04,0.01,0.0,0.0,,,,,,
18,0.6742379367351532,4.657999742031097,8.0,0.04,0.01,0.0,0.0,,,,,,
19,0.6850171893835068,4.530148756504059,8.0,0.04,0.01,0.0,0.0,,,,,,
20,0.6752918362617493,5.399353551864624,8.0,0.04,0.01,0.0,0.0,,,,,,
21,0.6669924527406692,3.9963138341903686,8.0,0.04,0.01,0.0,0.0,,,,,,
22,0.6544105589389801,4.005446654558182,8.0,0.04,0.01,0.0,0.0,,,,,,
23,0.6675042033195495,4.0989908337593075,8.0,0.04,0.01,0.0,0.0,,,,,,
24,0.6615056157112121,3.288468736410141,8.0,0.04,0.01,0.0,0.0,,,,,,
25,0.6528577089309693,3.1682472229003906,8.0,0.04,0.01,0.0,0.0,,,,,,
26,0.6469536572694778,2.8285644173622133,8.0,0.04,0.01,0.0,0.0,,,,,,
27,0.656654280424118,2.9360191583633424,8.0,0.04,0.01,0.0,0.0,,,,,,
28,0.6459198534488678,2.9491378366947174,8.0,0.04,0.01,0.0,0.0,,,,,,
29,0.64222511947155,2.8055840909481047,8.0,0.04,0.01,0.0,0.0,,,,,,
30,0.6298366993665695,2.458200806379318,8.0,0.04,0.01,0.0,0.0,,,,,,
31,0.6490983992815018,2.7960062265396117,8.022222222222222,0.04088888888888889,0.0105,0.0008333333333333334,0.00044444444444444447,,,,,,
32,0.6346701502799987,2.860916405916214,8.044444444444444,0.04177777777777778,0.011000000000000001,0.0016666666666666668,0.0008888888888888889,,,,,,
33,0.6560628294944764,2.6610123753547668,8.066666666666666,0.042666666666666665,0.0115,0.0025,0.0013333333333333333,,,,,,
34,0.6366824120283127,2.9058883786201477,8.088888888888889,0.043555555555555556,0.012,0.0033333333333333335,0.0017777777777777779,,,,,,
35,0.6353086680173874,2.7719276905059815,8.11111111111111,0.044444444444444446,0.0125,0.004166666666666667,0.0022222222222222222,,,,,,
36,0.6566158980131149,2.873899537324905,8.133333333333333,0.04533333333333334,0.013000000000000001,0.005,0.0026666666666666666,,,,,,
37,0.6249484956264496,2.6682926297187803,8.155555555555555,0.04622222222222222,0.013500000000000002,0.005833333333333334,0.0031111111111111114,,,,,,
38,0.6453575283288956,3.0283414840698244,8.177777777777777,0.04711111111111111,0.014000000000000002,0.006666666666666667,0.0035555555555555557,,,,,,
39,0.6333397567272187,2.566098213195801,8.2,0.048,0.0145,0.0075,0.004,,,,,,
40,0.6403565406799316,2.8171000599861147,8.222222222222221,0.04888888888888889,0.015,0.008333333333333333,0.0044444444444444444,,,,,,
41,0.638205948472023,2.9775871455669405,8.244444444444444,0.04977777777777778,0.0155,0.009166666666666667,0.004888888888888889,,,,,,
42,0.6342530637979508,2.786462676525116,8.266666666666667,0.050666666666666665,0.016,0.01,0.005333333333333333,,,,,,
43,0.6293122291564941,2.788416934013367,8.28888888888889,0.051555555555555556,0.0165,0.010833333333333332,0.0057777777777777775,,,,,,
44,0.6300020426511764,2.784577649831772,8.311111111111112,0.052444444444444446,0.017,0.011666666666666667,0.006222222222222223,,,,,,
45,0.63568414747715,2.9558770835399626,8.333333333333334,0.05333333333333333,0.0175,0.012499999999999999,0.006666666666666666,,,,,,
46,0.6322305858135223,2.991196924448013,8.355555555555556,0.05422222222222223,0.018000000000000002,0.013333333333333334,0.0071111111111111115,,,,,,
