variant,release_scenario,released_checkpoints,basic_composed_epsilon,basic_composed_delta
dp_eps16,single_checkpoint_seed11,1,15.998592956198307,1e-05
dp_eps8,single_checkpoint_seed11,1,7.998816845031543,1e-05
dp_eps4,single_checkpoint_seed11,1,3.9992008168723885,1e-05
dp_eps2,single_checkpoint_seed11,1,1.9993408645206674,1e-05
dp_eps16,joint_release_all_training_seeds,1,15.998592956198307,1e-05
dp_eps2,joint_release_all_training_seeds,1,1.9993408645206674,1e-05
dp_eps4,joint_release_all_training_seeds,1,3.9992008168723885,1e-05
dp_eps8,joint_release_all_training_seeds,1,7.998816845031543,1e-05
