epoch,train_loss,valid_selection_score,valid_threshold
1,0.32382350264593773,0.8727720130036241,0.8899470249414443
2,0.1409656249866784,0.898271851134878,0.9936960734844208
3,0.09444803831427406,0.9167271153403429,0.996779993712902
4,0.06881568014357058,0.9293542150508805,0.9995327049255371
5,0.059615739222492414,0.9280796795923467,0.9996526124477386
6,0.053525948843922935,0.9265323935363021,0.9997185136556626
7,0.05272096417556194,0.9296293905568522,0.999601776599884
8,0.050382619360205064,0.9292750714474194,0.9995837759971619
9,0.0480805846130355,0.9261894219705695,0.9997670841217041
10,0.04709246910934921,0.9236935972608706,0.9996516140460968
11,0.04630424810120285,0.9244346960397407,0.9996441223144531
12,0.04604671109772847,0.9260422452339853,0.9997104502201081
13,0.044481471577122254,0.9234845563120291,0.9996176197052002
14,0.043167587635680044,0.9187338318897207,0.9998066528320313
15,0.043368204925214954,0.9185276036050544,0.9998498503208161
